BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,610,31,0.0002201
,,,,,,611,117,0.0008307
,,,,,,612,158,0.0011218
,,,,,,613,552,0.0039192
,,,,,,614,103,0.0007313
,,,,,,615,561,0.0039831
,,,,,,616,565,0.0040115
,,,,,,617,55,0.0003905
,,,,,,618,272,0.0019312
,,,,,,619,318,0.0022578
,,,,,,620,154,0.0010934
,,,,,,621,25,0.0001775
,,,,,,622,319,0.0022649
,,,,,,623,227,0.0016117
,,,,,,624,141,0.0010011
,,,,,,625,725,0.0051475
,,,,,,626,334,0.0023714
,,,,,,627,221,0.0015691
,,,,,,628,353,0.0025063
,,,,,,629,192,0.0013632
,,,,,,630,82,0.0005822
,,,,,,631,63,0.0004473
,,,,,,632,32,0.0002272
,,,,,,633,39,0.0002769
,,,,,,634,19,0.0001349
,,,,,,635,3,0.0000213
,,,,,,636,1,0.0000071
,,,,,,637,17,0.0001207
,,,,,,638,42,0.0002982
,,,,,,639,39,0.0002769
,,,,,,640,25,0.0001775
,,,,,,641,27,0.0001917
,,,,,,642,14,0.0000994
,,,,,,643,3,0.0000213
,,,,,,644,45,0.0003195
,,,,,,645,25,0.0001775
,,,,,,646,4,0.0000284
,,,,,,649,33,0.0002343
,,,,,,650,32,0.0002272
,,,,,,651,40,0.000284
,,,,,,652,30,0.000213
,,,,,,653,24,0.0001704
,,,,,,654,18,0.0001278
,,,,,,655,175,0.0012425
,,,,,,656,154,0.0010934
,,,,,,657,11,0.0000781
,,,,,,701,262,0.0018602
,,,,,,702,101,0.0007171
,,,,,,703,206,0.0014626
,,,,,,704,471,0.0033441
,,,,,,705,109,0.0007739
,,,,,,706,352,0.0024992
,,,,,,707,134,0.0009514
,,,,,,708,203,0.0014413
,,,,,,709,387,0.0027477
,,,,,,710,87,0.0006177
,,,,,,711,136,0.0009656
,,,,,,712,555,0.0039405
,,,,,,713,283,0.0020093
,,,,,,714,218,0.0015478
,,,,,,715,270,0.001917
,,,,,,716,222,0.0015762
,,,,,,717,100,0.00071
,,,,,,718,309,0.0021939
,,,,,,719,275,0.0019525
,,,,,,720,929,0.0065959
,,,,,,721,514,0.0036494
,,,,,,722,310,0.002201
,,,,,,723,473,0.0033583
,,,,,,724,27,0.0001917
,,,,,,725,240,0.001704
,,,,,,726,130,0.000923
,,,,,,727,811,0.0057581
,,,,,,728,99,0.0007029
,,,,,,729,51,0.0003621
,,,,,,730,205,0.0014555
,,,,,,731,17,0.0001207
,,,,,,732,10,0.000071
,,,,,,733,54,0.0003834
,,,,,,734,216,0.0015336
,,,,,,735,73,0.0005183
,,,,,,736,71,0.0005041
,,,,,,737,142,0.0010082
,,,,,,738,287,0.0020377
,,,,,,739,42,0.0002982
,,,,,,740,12,0.0000852
,,,,,,741,232,0.0016472
,,,,,,742,398,0.0028258
,,,,,,743,258,0.0018318
,,,,,,744,325,0.0023075
,,,,,,745,261,0.0018531
,,,,,,746,1,0.0000071
,,,,,,747,465,0.0033015
,,,,,,748,96,0.0006816
,,,,,,750,7,0.0000497
,,,,,,751,72,0.0005112
,,,,,,752,100,0.00071
,,,,,,753,473,0.0033583
,,,,,,754,58,0.0004118
,,,,,,755,146,0.0010366
,,,,,,756,507,0.0035997
,,,,,,757,9,0.0000639
,,,,,,758,65,0.0004615
,,,,,,759,239,0.0016969
,,,,,,760,162,0.0011502
,,,,,,761,203,0.0014413
,,,,,,762,493,0.0035003
,,,,,,764,278,0.0019738
,,,,,,803,33,0.0002343
,,,,,,804,746,0.0052966
,,,,,,805,12,0.0000852
,,,,,,806,471,0.0033441
,,,,,,808,324,0.0023004
,,,,,,809,94,0.0006674
,,,,,,810,404,0.0028684
,,,,,,811,210,0.001491
,,,,,,812,819,0.0058149
,,,,,,813,278,0.0019738
,,,,,,814,35,0.0002485
,,,,,,816,106,0.0007526
,,,,,,817,867,0.0061557
,,,,,,818,54,0.0003834
,,,,,,819,173,0.0012283
,,,,,,820,245,0.0017395
,,,,,,821,335,0.0023785
,,,,,,823,471,0.0033441
,,,,,,824,280,0.001988
,,,,,,825,348,0.0024708
,,,,,,826,623,0.0044233
,,,,,,827,85,0.0006035
,,,,,,828,982,0.0069722
,,,,,,829,310,0.002201
,,,,,,830,516,0.0036636
,,,,,,831,443,0.0031453
,,,,,,832,1214,0.0086194
,,,,,,833,365,0.0025915
,,,,,,834,215,0.0015265
,,,,,,835,402,0.0028542
,,,,,,836,505,0.0035855
,,,,,,837,631,0.0044801
,,,,,,838,268,0.0019028
,,,,,,839,109,0.0007739
,,,,,,840,95,0.0006745
,,,,,,841,198,0.0014058
,,,,,,842,843,0.0059853
,,,,,,843,265,0.0018815
,,,,,,844,45,0.0003195
,,,,,,845,680,0.004828
,,,,,,846,184,0.0013064
,,,,,,847,3,0.0000213
,,,,,,848,21,0.0001491
,,,,,,849,219,0.0015549
,,,,,,850,491,0.0034861
