BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,751,1,0.0003531
,,,,,,752,2,0.0007062
,,,,,,753,1,0.0003531
,,,,,,756,7,0.0024717
,,,,,,758,19,0.0067089
,,,,,,759,6,0.0021186
,,,,,,760,1,0.0003531
,,,,,,762,1,0.0003531
,,,,,,763,5,0.0017655
,,,,,,802,4,0.0014124
,,,,,,803,5,0.0017655
,,,,,,804,29,0.0102399
,,,,,,805,47,0.0165957
,,,,,,806,38,0.0134178
,,,,,,807,2,0.0007062
,,,,,,808,75,0.0264825
,,,,,,809,124,0.0437844
,,,,,,810,64,0.0225984
,,,,,,811,54,0.0190674
,,,,,,812,96,0.0338976
,,,,,,813,1,0.0003531
,,,,,,814,7,0.0024717
,,,,,,816,11,0.0038841
,,,,,,817,29,0.0102399
,,,,,,818,5,0.0017655
,,,,,,819,219,0.0773289
,,,,,,820,154,0.0543774
,,,,,,821,41,0.0144771
,,,,,,823,40,0.014124
,,,,,,824,53,0.0187143
,,,,,,825,83,0.0293073
,,,,,,826,40,0.014124
,,,,,,827,38,0.0134178
,,,,,,828,117,0.0413127
,,,,,,829,62,0.0218922
,,,,,,830,121,0.0427251
,,,,,,831,63,0.0222453
,,,,,,832,120,0.042372
,,,,,,833,23,0.0081213
,,,,,,834,63,0.0222453
,,,,,,835,77,0.0271887
,,,,,,836,136,0.0480216
,,,,,,837,75,0.0264825
,,,,,,838,27,0.0095337
,,,,,,839,93,0.0328383
,,,,,,841,12,0.0042372
,,,,,,842,62,0.0218922
,,,,,,843,40,0.014124
,,,,,,844,3,0.0010593
,,,,,,845,30,0.010593
,,,,,,846,33,0.0116523
,,,,,,847,1,0.0003531
,,,,,,848,28,0.0098868
,,,,,,849,3,0.0010593
,,,,,,850,57,0.0201267
,,,,,,851,2,0.0007062
,,,,,,852,12,0.0042372
,,,,,,854,44,0.0155364
,,,,,,855,24,0.0084744
,,,,,,856,19,0.0067089
,,,,,,857,176,0.0621456
,,,,,,859,70,0.024717
,,,,,,860,35,0.0123585
,,,,,,861,28,0.0098868
