BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,917,9,0.003177
,,,,,,918,6,0.002118
,,,,,,919,10,0.00353
,,,,,,920,19,0.006707
,,,,,,922,11,0.003883
,,,,,,923,20,0.00706
,,,,,,925,22,0.007766
,,,,,,926,1,0.000353
,,,,,,928,3,0.001059
,,,,,,929,6,0.002118
,,,,,,930,7,0.002471
,,,,,,933,3,0.001059
,,,,,,934,7,0.002471
,,,,,,935,53,0.018709
,,,,,,936,6,0.002118
,,,,,,937,13,0.004589
,,,,,,938,27,0.009531
,,,,,,941,7,0.002471
,,,,,,943,8,0.002824
,,,,,,945,7,0.002471
,,,,,,1001,14,0.004942
,,,,,,1002,8,0.002824
,,,,,,1003,12,0.004236
,,,,,,1004,26,0.009178
,,,,,,1005,7,0.002471
,,,,,,1006,13,0.004589
,,,,,,1007,56,0.019768
,,,,,,1008,36,0.012708
,,,,,,1009,41,0.014473
,,,,,,1010,1,0.000353
,,,,,,1011,30,0.01059
,,,,,,1012,30,0.01059
,,,,,,1013,72,0.025416
,,,,,,1014,23,0.008119
,,,,,,1015,69,0.024357
,,,,,,1016,15,0.005295
,,,,,,1017,22,0.007766
,,,,,,1018,5,0.001765
,,,,,,1019,21,0.007413
,,,,,,1020,32,0.011296
,,,,,,1021,50,0.01765
,,,,,,1022,18,0.006354
,,,,,,1023,28,0.009884
,,,,,,1024,17,0.006001
,,,,,,1025,14,0.004942
,,,,,,1026,56,0.019768
,,,,,,1027,60,0.02118
,,,,,,1029,114,0.040242
,,,,,,1031,3,0.001059
,,,,,,1032,12,0.004236
,,,,,,1033,9,0.003177
,,,,,,1034,160,0.05648
,,,,,,1035,6,0.002118
,,,,,,1036,18,0.006354
,,,,,,1037,50,0.01765
,,,,,,1038,27,0.009531
,,,,,,1039,28,0.009884
,,,,,,1040,1,0.000353
,,,,,,1041,12,0.004236
,,,,,,1042,5,0.001765
,,,,,,1043,16,0.005648
,,,,,,1044,16,0.005648
,,,,,,1045,18,0.006354
,,,,,,1046,31,0.010943
,,,,,,1047,67,0.023651
,,,,,,1048,79,0.027887
,,,,,,1049,48,0.016944
,,,,,,1050,61,0.021533
,,,,,,1051,23,0.008119
,,,,,,1052,132,0.046596
,,,,,,1053,40,0.01412
,,,,,,1054,9,0.003177
,,,,,,1055,43,0.015179
,,,,,,1056,121,0.042713
,,,,,,1057,48,0.016944
,,,,,,1058,28,0.009884
,,,,,,1059,29,0.010237
,,,,,,1060,23,0.008119
,,,,,,1061,23,0.008119
,,,,,,1062,5,0.001765
,,,,,,1063,71,0.025063
,,,,,,1064,16,0.005648
,,,,,,1065,83,0.029299
,,,,,,1066,5,0.001765
,,,,,,1067,48,0.016944
,,,,,,1068,71,0.025063
,,,,,,1069,39,0.013767
,,,,,,1070,54,0.019062
,,,,,,1071,100,0.0353
,,,,,,1072,40,0.01412
,,,,,,1073,39,0.013767
,,,,,,1075,7,0.002471
,,,,,,1101,2,0.000706
,,,,,,1104,13,0.004589
,,,,,,1106,2,0.000706
,,,,,,1107,5,0.001765
,,,,,,1108,2,0.000706
,,,,,,1109,5,0.001765
,,,,,,1110,8,0.002824
,,,,,,1111,3,0.001059
,,,,,,1113,4,0.001412
,,,,,,1115,25,0.008825
,,,,,,1116,4,0.001412
,,,,,,1117,1,0.000353
,,,,,,1118,2,0.000706
,,,,,,1119,1,0.000353
,,,,,,1121,2,0.000706
,,,,,,1123,1,0.000353
,,,,,,1125,1,0.000353
,,,,,,1126,13,0.004589
,,,,,,1127,39,0.013767
,,,,,,1128,12,0.004236
,,,,,,1129,5,0.001765
,,,,,,1130,17,0.006001
,,,,,,1131,3,0.001059
,,,,,,1132,9,0.003177
,,,,,,1133,7,0.002471
,,,,,,1134,20,0.00706
,,,,,,1135,12,0.004236
,,,,,,1136,1,0.000353
,,,,,,1137,1,0.000353
,,,,,,1138,4,0.001412
,,,,,,1139,15,0.005295
,,,,,,1140,17,0.006001
,,,,,,1141,22,0.007766
,,,,,,1142,1,0.000353
,,,,,,1143,6,0.002118
,,,,,,1144,10,0.00353
,,,,,,1145,10,0.00353
,,,,,,1146,17,0.006001
,,,,,,1147,14,0.004942
,,,,,,1148,9,0.003177
,,,,,,1149,13,0.004589
,,,,,,1150,9,0.003177
,,,,,,1151,12,0.004236
,,,,,,1152,5,0.001765
,,,,,,1153,8,0.002824
,,,,,,1154,2,0.000706
,,,,,,1155,5,0.001765
,,,,,,1156,30,0.01059
,,,,,,1157,35,0.012355
,,,,,,1158,121,0.042713
,,,,,,1159,98,0.034594
,,,,,,1160,32,0.011296
,,,,,,1161,45,0.015885
,,,,,,1162,17,0.006001
,,,,,,1164,38,0.013414
,,,,,,1165,1,0.000353
,,,,,,1167,19,0.006707
,,,,,,1168,18,0.006354
,,,,,,1169,3,0.001059
,,,,,,1170,3,0.001059
,,,,,,1171,1,0.000353
,,,,,,1172,1,0.000353
,,,,,,1173,15,0.005295
,,,,,,1174,8,0.002824
,,,,,,1175,15,0.005295
,,,,,,1176,9,0.003177
,,,,,,1201,3,0.001059
,,,,,,1202,1,0.000353
,,,,,,1203,65,0.022945
,,,,,,1204,1,0.000353
,,,,,,1205,18,0.006354
,,,,,,1206,4,0.001412
,,,,,,1207,21,0.007413
,,,,,,1208,64,0.022592
,,,,,,1209,31,0.010943
,,,,,,1210,22,0.007766
,,,,,,1211,1,0.000353
,,,,,,1212,31,0.010943
,,,,,,1213,11,0.003883
,,,,,,1214,36,0.012708
,,,,,,1215,21,0.007413
,,,,,,1216,6,0.002118
,,,,,,1217,5,0.001765
,,,,,,1218,10,0.00353
,,,,,,1219,38,0.013414
,,,,,,1220,23,0.008119
,,,,,,1221,59,0.020827
,,,,,,1222,4,0.001412
,,,,,,1223,5,0.001765
,,,,,,1224,5,0.001765
,,,,,,1225,25,0.008825
,,,,,,1226,2,0.000706
,,,,,,1227,25,0.008825
,,,,,,1228,18,0.006354
,,,,,,1230,1,0.000353
,,,,,,1231,11,0.003883
,,,,,,1232,76,0.026828
,,,,,,1233,11,0.003883
,,,,,,1234,22,0.007766
,,,,,,1235,15,0.005295
,,,,,,1236,12,0.004236
,,,,,,1237,6,0.002118
,,,,,,1238,25,0.008825
,,,,,,1239,40,0.01412
,,,,,,1240,11,0.003883
,,,,,,1241,13,0.004589
,,,,,,1242,22,0.007766
,,,,,,1243,8,0.002824
,,,,,,1244,5,0.001765
,,,,,,1245,41,0.014473
,,,,,,1246,13,0.004589
,,,,,,1247,31,0.010943
,,,,,,1248,22,0.007766
,,,,,,1249,10,0.00353
,,,,,,1250,22,0.007766
,,,,,,1251,12,0.004236
,,,,,,1252,51,0.018003
,,,,,,1253,4,0.001412
,,,,,,1254,114,0.040242
,,,,,,1255,27,0.009531
,,,,,,1256,1,0.000353
,,,,,,1257,7,0.002471
,,,,,,1258,24,0.008472
,,,,,,1259,30,0.01059
,,,,,,1260,25,0.008825
,,,,,,1261,4,0.001412
,,,,,,1262,41,0.014473
,,,,,,1263,56,0.019768
,,,,,,1264,46,0.016238
,,,,,,1266,13,0.004589
,,,,,,1267,8,0.002824
,,,,,,1268,31,0.010943
,,,,,,1269,16,0.005648
,,,,,,1270,20,0.00706
,,,,,,1271,17,0.006001
,,,,,,1272,20,0.00706
,,,,,,1273,26,0.009178
,,,,,,1274,7,0.002471
,,,,,,1275,36,0.012708
,,,,,,1276,30,0.01059
,,,,,,1277,8,0.002824
,,,,,,1278,10,0.00353
