BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
,,,,,,614,33,0.340009022
,,,,,,615,153,3.990187373
,,,,,,616,6,0.055402676
,,,,,,617,1,0.016523185
,,,,,,618,12,0.249360297
,,,,,,619,29,0.817608495
,,,,,,620,110,1.6574724586
,,,,,,621,15,0.191408881
,,,,,,622,133,3.219152476
,,,,,,623,9,0.092164471
,,,,,,624,35,0.831197964
,,,,,,625,135,3.7076737017
,,,,,,626,38,0.830380822
,,,,,,627,25,1.154168882
,,,,,,628,23,1.126622331
,,,,,,629,9,0.120755619
,,,,,,630,23,0.11240029
,,,,,,631,1,0.01148532
,,,,,,632,5,0.041767539
,,,,,,634,3,0.150925421
,,,,,,635,3,0.056230674
,,,,,,637,1,0.007818836
,,,,,,638,8,0.011247914
,,,,,,640,2,0.002310643
,,,,,,645,24,0.0139792055
,,,,,,655,46,0.166365527
,,,,,,657,6,0.041049864
,,,,,,702,3,0.072758913
,,,,,,703,2,0.070864862
,,,,,,705,4,0.124459681
,,,,,,712,2,0.059740608
,,,,,,714,2,0.010006285
,,,,,,717,2,0.009936233
,,,,,,718,8,0.191840623
,,,,,,719,19,0.3411085114
,,,,,,720,10,0.038427221
,,,,,,721,15,0.100352306
,,,,,,722,23,0.358228364
,,,,,,723,21,0.091100153
,,,,,,724,14,0.05665708
,,,,,,725,3,0.026992397
,,,,,,726,1,0.005952366
,,,,,,727,11,0.095071661
,,,,,,728,14,0.240848892
,,,,,,729,4,0.042930153
,,,,,,730,12,0.18527084
,,,,,,731,2,0.00278402
,,,,,,732,3,0.097707034
,,,,,,733,4,0.034976045
,,,,,,734,16,0.176985978
,,,,,,735,20,0.448109416
,,,,,,736,3,0.033735386
,,,,,,737,7,0.087994333
,,,,,,738,9,0.109763057
,,,,,,739,2,0.518588354
,,,,,,740,2,0.017385431
,,,,,,741,7,0.037368134
,,,,,,742,3,0.008706738
,,,,,,743,4,0.021039506
,,,,,,744,12,0.15333881
,,,,,,745,3,0.01892925
,,,,,,747,10,0.128942179
,,,,,,748,8,0.093479793
,,,,,,750,3,0.138775434
,,,,,,751,1,0.002731527
,,,,,,752,3,0.052448372
,,,,,,753,4,0.039500442
,,,,,,754,2,0.013374608
,,,,,,755,3,0.040855729
,,,,,,756,2,0.00387334
,,,,,,757,1,0.044300603
,,,,,,758,3,0.021816594
,,,,,,759,4,0.035669202
,,,,,,761,9,0.1361732
,,,,,,762,6,0.039526692
,,,,,,763,4,0.03230682
,,,,,,764,2,0.008344561
,,,,,,801,1,0.113788619
,,,,,,804,57,0.638763864
,,,,,,805,21,0.448432342
,,,,,,806,19,0.100595926
,,,,,,807,4,0
,,,,,,808,12,0.13873513
,,,,,,809,19,0.207909659
,,,,,,810,32,0.129500686
,,,,,,811,6,0.074826566
,,,,,,812,56,0.449436865
,,,,,,813,10,0.056851854
,,,,,,814,4,0.013122808
,,,,,,816,42,0.4192669954
,,,,,,817,28,0.214292369
,,,,,,818,2,0.042278418
,,,,,,819,50,0.204917739
,,,,,,820,35,0.163078986
,,,,,,821,23,0.106088638
,,,,,,822,1,0.023903203
,,,,,,823,12,0.182442736
,,,,,,824,14,0.207820837
,,,,,,825,26,0.088406078
,,,,,,826,22,0.149628595
,,,,,,827,21,0.154309725
,,,,,,828,38,0.501344568
,,,,,,829,19,0.091054803
,,,,,,830,36,0.513121189
,,,,,,831,60,0.412810365
,,,,,,832,52,1.222962979
,,,,,,833,29,0.424593711
,,,,,,834,37,0.545429725
,,,,,,835,36,0.185925262
,,,,,,836,48,0.512403451
,,,,,,837,23,0.181576263
,,,,,,838,12,0.185769428
,,,,,,839,23,0.098001831
,,,,,,840,9,0.197821578
,,,,,,841,11,0.269733129
,,,,,,842,21,0.290675341
,,,,,,843,21,0.188794476
,,,,,,845,35,0.462115093
,,,,,,846,9,0.153195806
,,,,,,848,13,0.086219681
,,,,,,849,2,0.019582364
,,,,,,850,20,0.255195115
,,,,,,851,11,0.165386056
,,,,,,852,11,0.200934461
,,,,,,853,4,0.093240469
,,,,,,854,20,0.116404322
,,,,,,855,11,0.135908038
,,,,,,857,55,0.295477864
,,,,,,858,4,0.097318178
,,,,,,859,29,0.141678029
,,,,,,860,16,0.193778193
,,,,,,861,15,0.204951737
,,,,,,862,19,0.433052324
,,,,,,901,68,0.271605955
,,,,,,902,102,0.146902985
,,,,,,903,52,0.144256375
,,,,,,904,108,0.4663623885
,,,,,,905,43,0.0041834925
,,,,,,906,19,0.1226904045
,,,,,,907,38,0.115096838
,,,,,,908,19,0.000995731
,,,,,,909,100,0.5419130155
,,,,,,910,80,0.19397902
,,,,,,911,25,0.274026732
,,,,,,913,34,0.052087647
,,,,,,914,68,0.162284544
,,,,,,915,17,0.065746602
,,,,,,916,31,0.043088769
,,,,,,917,28,0.2498507595
,,,,,,918,47,0.266049668
,,,,,,919,42,0.039823515
,,,,,,920,47,0.463221314
,,,,,,922,1,0.011750904
,,,,,,923,57,0.077967168
,,,,,,924,24,0.065116709
,,,,,,925,18,0.228106039
,,,,,,926,49,0.163084939
,,,,,,927,56,0.202318025
,,,,,,928,15,0.17607988
,,,,,,929,2,0
,,,,,,930,42,0.113503674
,,,,,,932,3,0.028004499
,,,,,,933,4,0.047748451
,,,,,,934,19,0.109891055
,,,,,,935,1,0.022355617
,,,,,,937,24,0.173209008
,,,,,,943,1,0.022682772
,,,,,,945,6,0.033771262
,,,,,,1001,1,0.230428162
,,,,,,1002,5,0.05754244
,,,,,,1003,39,0.0919508105
,,,,,,1004,165,0.9903881952
,,,,,,1005,25,0.174828512
,,,,,,1006,10,0.058535999
,,,,,,1007,30,0.0557216555
,,,,,,1008,121,0.3277740933
,,,,,,1009,146,1.154273319
,,,,,,1011,37,0.285620201
,,,,,,1012,99,0.505073544
,,,,,,1013,33,0.760905068
,,,,,,1014,149,0.4018129296
,,,,,,1015,166,0.5417941957
,,,,,,1016,132,0.3136362894
,,,,,,1017,47,0.644982702
,,,,,,1019,61,0.065772432
,,,,,,1020,15,0.155604497
,,,,,,1021,164,2.2925053663
,,,,,,1022,116,0.1366659624
,,,,,,1023,140,0.368619545
,,,,,,1024,47,0.0455717012
,,,,,,1025,222,0.2124429374
,,,,,,1026,194,0.2828986163
,,,,,,1027,64,0.0722643393
,,,,,,1028,6,0.0009962154
,,,,,,1029,390,0.3499620708
,,,,,,1031,3,0.0002113105
,,,,,,1032,6,0.010294704
,,,,,,1033,10,0.012041413
,,,,,,1034,42,0.414060674
,,,,,,1035,62,0.267180079
,,,,,,1036,29,0.084175876
,,,,,,1037,28,0.368857603
,,,,,,1038,59,0.6235296692
,,,,,,1039,51,0.404101754
,,,,,,1040,1,0.00451786
,,,,,,1041,11,0.13989999
,,,,,,1042,68,0.217217164
,,,,,,1043,45,0.223264841
,,,,,,1044,78,0.684373343
,,,,,,1045,80,0.8357084345
,,,,,,1046,99,0.6533965522
,,,,,,1047,60,0.484199204
,,,,,,1048,58,0.760606705
