1,315,0.1112265
2,430,0.151833
3,416,0.1468896
4,610,0.215391
5,1322,0.4667982
6,1865,0.6585315
7,850,0.300135
8,502,0.1772562
9,1426,0.5035206
10,888,0.3135528
11,72,0.0254232
12,243,0.0858033
13,19,0.0067089
14,354,0.1249974
15,218,0.0769758
16,213,0.0752103
17,134,0.0473154
18,124,0.0437844
19,134,0.0473154
27,24,0.0084744
28,13,0.0045903
29,49,0.0173019
30,56,0.0197736
31,67,0.0236577
33,43,0.0151833
37,146,0.0515526
38,6,0.0021186
39,50,0.017655
40,68,0.0240108
41,31,0.0109461
42,154,0.0543774
44,305,0.1076955
45,3055,1.0787205
46,1867,0.6592377
48,7,0.0024717
49,237,0.0836847
50,26,0.0091806
52,1,0.0003531
53,39,0.0137709
55,9,0.0031779
56,84,0.0296604
57,1144,0.4039464
58,70,0.024717
59,688,0.2429328
60,526,0.1857306
61,540,0.190674
62,49,0.0173019
63,978,0.3453318
64,609,0.2150379
65,1681,0.5935611
66,1139,0.4021809
67,2455,0.8668605
69,1708,0.6030948
71,5944,2.0988264
72,365,0.1288815
73,150,0.052965
74,359,0.1267629
76,118,0.0416658
77,13,0.0045903
78,177,0.0624987
79,448,0.1581888
80,40,0.014124
81,1269,0.4480839
