Raghavampalli;1217331003010100;15.02.2017;759;5000;4;20;
Muddanapalli;1217331011041200;17.02.2017;973;5000;7;35;
D.Cherlopalli;1217331011011100;06.02.2017;869;5000;12;60;
Garisalapalli;;17.2.2017;;;5;25;
Rangachedu ( Chowluru); 1216819008011100;30.08.2016;2420;5000;5;25;
Kalugodu;1216819007011000;11.02.2017;2910;5000;3;15;
Adiguppa;1216819002060400;20.02.2017;411;500;3;15;
SC colony,1st street & 2nd street,Railway gate;1216138015041400;15.11.2016;340;5000;4;20;
Chinthalanaidu street, Radamma hotel,front of police station;1216138015041400;15.11.2016;950;5000;4;20;
Bramhanadevamarri;1216138007010600;01.12.2016;629;5000;4;20;
VALLEMCHERLO PALLE;1216138012031100;15.11.2016;792;5000;4;20;
High School, Boys & Girls and  old town(mudigubba);1216138015041400;15.11.2016;758;5000;4;20;
Masid backside(mudigubba);1216138015041400;15.11.2016;850;5000;4;20;
Mudigubba  town, dorigallarord (mudigubba);1216138015041400;1.11.2016;459;5000;4;20;
Mudigubba old town, Zphs School(mudigubba);1216138015041400;1.11.2016;369;5000;4;20;
Ramaswamynaik thanda ; 1216138017041600;1.11.2016;673;5000;4;20;
Sankepalli; 1216138012011100;1.11.2016;1262;5000;4;20;
Gunjepalli; 1216138015011300;1.11.2016;960;5000;4;20;
Mangalala colony,(mudigubba);1216138015041400;1.11.2016;680;5000;4;20;
Budanempalli; 1216138002010200;1.11.2016;453;5000;4;20;
Mukthapuram,Mukthapuram Thanda & Nallaikuntapalli; 1216138011040900;1.11.2016;2216;5000;13;65;
Andhra Bank Back Side;1216138015041400;1.11.2016;786;5000;4;20;
Petrol bank back side 1,2,13rd ward ;1216138014071200;1.11.2016;458;500;4;20;
Podharallapalli, Pujarinaik thanda; 1216338017061600;1.11.2016;1528;5000;4;20;
Kotireddipalli; 1216138027021900;1.11.2016;654;5000;4;20;
Maddannagaripalli; 1216138026041900;10.12.2016;689;5000;4;20;
jkpalli, Rallanantapuram cross,Ralla AnantapuramThanda; 1216138011021000;12/01/2016;758;5000;8;40;
Guddam palli thanda; 1216138015031300;01.09.2016;988;5000;4;20;
Edulapalli; 1216138003040400;28.01.2017;958;5000;4;20;
Akuthotapalli & Ahuthotapalli thanda ;;03.03.2017;950;5000;4;20;
Dighuvapalli,Mallipalli SC Colony and School; 1216138024032000;03.03.2017;1050;5000;4;20;
Thimmalapuram;1216801012020800;17.10.2016;627;5000;5;25;
Mallikethi;1216801011030700;12.12.2016;1685;5000;5;25;
Ekkapadampalli; 1217330001050200;02.02.2017;980;5000;5;25;
Chillavaripalli; 1217330003010500;01.03.2017;1417;5000;10;50;
Marrimakulapalli; 1217330012021400;22.02.2017;1815;5000;8;40;
Hanumantanahalli;1216563003020300;1.11.2016;237;5000;1;5;
Kodagarlagutta;1216563003140300;1.11.2016;313;5000;2;10;
M.R Gollahatti;1216563001030100;7.1.2017;487;5000;2;10;
somagatta gate;1216563001020100;7.01.2017;137;5000;1;5;
H.T Halli;1216563002100200;4.01.2017;1319;5000;4;20;
Bandrepalli;1216563001050100;11.2.2017;462;5000;1;5;
Velichelamala H.W;124200805;18.11.2016;1208;5000;3;15;
;;;1208;;3;;
HBN Colony;;4.02.2016;480;5000;2;10;
Thammadepalli;;19.02.2017;1821;5000;6;30;
Bullanahalli;;19.02.2017;169;5000;1;5;
;;;2470;;9;;
k k palyam;;4.02.2016;969;5000;4;20;
Maddanakunta;;19.02.2017;784;5000;2;10;
Pasaluru; 1217226014031800;01.04.16;1113;5000;5;25;
P.Kothapalli; 1217226001040300;01.04.16;426;5000;2;10;
Badrampalli; 1217226009031000;01.04.16;568;5000;3;15;
Danduvaripalli; 1217126013011600;01.04.16;1049;5000;5;25;
;;;3156;;15;75;
Singnamala BC Colony; 1217111019011600;05.04.16;871;5000;5;25;
P. Matlagondi; 1217111015011200;13.04.16;1363;5000;6;30;
Akuledu; 1217111021011700;14.04.16;2078;5000;6;30;
Nagulaguddam tanda; 1217111013031100;20.30.16;952;5000;4;20;
Lolur - Pamulolla Colony;1217111022011800;18.4.16;275;5000;3;15;
;;;5539;;24;120;
Gaddam Nagepalli; 1217127002020400;1.2.16;1926;5000;4;20;
Durgam; 1217127009011300;05.04.16;866;5000;7;35;
Jangam Reddy palli; 1217127005040900;19.04.16;274;5000;4;20;
;;;3066;;15;75;
Arakata Vemula; 1217328002010200;05.04.16;1269;5000;5;25;
Balapuram;1217328005030600 ;01.01.2016;561;5000;6;30;
C.Venganapalli Main Village;1217111014011100;01.01.2016;762;5000;5;25;
C.Venganapalli                                     SC Colony;1217111014011100;01.01.2016;762;5000;1;5;
Cherlopalli; 1217328009011300;01.04.2016;1486;5000;5;25;
Gollapalli;1217328001020100;01.01.2016;500;5000;5;25;
Goparajupalli;1217328007041100 ;01.01.2016;670;5000;4;20;
Goparajupalli;1217328007041100 ;01.01.2016;670;5000;2;10;
Kadavakallu;1217328010011500 ;01.01.2016;2982;5000;6;30;
Komatikuntla - SC & BC Colony; 1217328008011200;15.03.2016;1929;5000;7;35;
Komatikuntla Main Village; 1217328008011200;15.03.2016;1929;5000;7;35;
Kondugarikunta; 1217328014042000;01.01.2016;462;5000;4;20;
Kothapalli;   ;01.01.2016;47;3000;1;3;
Nagireddipalli;1217328050050600;01.01.2016;462;5000;4;20;
P.Chintalapalli; 1217328005050600;01.04.2016;987;5000;8;40;
Putlur - SC & BC Colony; 1217328005010500;01.03.2016;3741;5000;13;65;
Surepalli; 1217328001010100;01.03.2016;1108;5000;5;25;
Thurakavaripalli; 1217328014022000;01.04.2016;118;5000;1;5;
;;;20445;;89;443;
Boppepalli;1217329012011100;01.01.2016;630;5000;5;25;
Thimmampalli; 1217329017021700;01.01.2016;2367;5000;9;45;
G.Lakshmampalli;1217329018021900 ;01.01.2016;163;5000;2;10;
Pathapalli; 1217329008010800;01.01.2016;937;5000;6;30;
S.Thirumalapuram; 1217329005010500;01.01.2016;790;5000;8;40;
Yellanur;1217329006010600;01.01.2016;5947;5000;19;95;
Bukkapuram; 1217329013011300;01.03.2016;1320;5000;5;25;
Kodumurthy; 1217329010011000;24.03.2016;644;5000;6;30;
Kuchivaripalli; 1217329012031200;01.03.2016;1379;5000;5;25;
Achuthapuramu; 1217329011021000;01.03.2016;470;5000;6;30;
;;;14647;;71;355;
Chiyyedu;1217225020012400;01.03.2012;2676;5000;16;80;
Itikalapalle;1217225016012000;16.12.2013;1960;5000;11;55;
Pulakunta;1217225020022500;21.02.2015;2339;5000;11;45;
M.B.Palli; 1217225010021100;05.05.2016;394;5000;2;10;
Chinnakunta; 1217225016022000;05.05.2016;887;5000;2;10;
Akuthotapalli; 1217225016042100;05.05.2016;3983;5000;5;25;
;;;12239;;47;225;
Mamillapalli ;1216633009011500;10.05.2015;1551;5000;5;25;
Chandracherla; 1216633010021700;04.04.2016;1472;5000;9;45;
Nemalivaram;1216633006021000;1.05.2016;650;5000;2;10;
Kurlapalli Thanda;1216633010041700;1.05.2016;534;5000;3;15;
;;;3023;;14;70;
C.K.Palli;1216636003010300;14.02.2016;5130;5000;8;25;
Pylaboilapalli; 1216636007040800;19.03.2016;572;5000;2;10;
Nyamaddala; 1216636002010200;19.03.2016;4198;5000;13;40;
Basinepalli; 1216636004020500;21.03.2016;990;5000;3;15;
Brahmanapalli; 1216636011011400;21.03.2016;247;5000;2;10;
Pallenagaripalli; 1216636004050400;26.04.2016;405;5000;2;10;
;;;11542;;30;110;
Narapuram;-;20.02.2016;562;5000;2;10;
c.chikkepalli;-;24.04.2013 ;1071;5000;4;20;
;;;1633;;6;30;
Bandarlapalli;-;01.04.2016;759;5000;5;25;
;;;759;;5;25;
Yadiki;-;09.04.2016;22500;5000;4;20;
;;;22500;;4;20;
Venkatareddypalli;;01.05.2016;1947;5000;3;15;
;;;;;3;15;
