,,,,BADVEL,392,0.002744,,Addam,5,0.000035,,39,12054,0.084378,,48,30,0.00021,,221,1261,0.008827
,,,,BAIREDDIPALLE,260,0.00182,,Addanki (North) (U),2,0.000014,,40,16,0.000112,,49,3910,0.02737,,222,113,0.000791
,,,,BALAYAPALLE,550,0.00385,,Addanki (PT),69,0.000483,,,,,,50,5236,0.036652,,223,614,0.004298
,,,,BALIJIPETA,382,0.002674,,Addanki (South) (U),129,0.000903,,,,,,52,668,0.004676,,311,497,0.003479
,,,,BALLIKURAVA,365,0.002555,,Addapuseela,4,0.000028,,,,,,53,542,0.003794,,312,942,0.006594
,,,,BANAGANAPALLE,156,0.001092,,Addasaram,21,0.000147,,,,,,54,1385,0.009695,,313,490,0.00343
,,,,BANDI ATMAKUR,54,0.000378,,Addepalli,39,0.000273,,,,,,55,7444,0.052108,,314,68,0.000476
,,,,BANGARUPALEM,518,0.003626,,Adduru,2,0.000014,,,,,,56,7817,0.054719,,315,528,0.003696
,,,,BANTUMILLI,31,0.000217,,Adenapalle,21,0.000147,,,,,,57,1897,0.013279,,316,111,0.000777
,,,,BAPATLA,385,0.002695,,Adilakshmamba Puram,41,0.000287,,,,,,58,2221,0.015547,,317,50,0.00035
,,,,BAPULAPADU,248,0.001736,,Adivi,23,0.000161,,,,,,59,1934,0.013538,,318,69,0.000483
,,,,BATHALAPALLE,1026,0.007182,,Adivigollapalle,9,0.000063,,,,,,60,2707,0.018949,,319,477,0.003339
,,,,BELLAMKONDA,212,0.001484,,Adivinekkalam,10,0.00007,,,,,,61,3758,0.026306,,320,762,0.005334
,,,,BELUGUPPA,764,0.005348,,Adiviram,2,0.000014,,,,,,62,452,0.003164,,321,341,0.002387
,,,,BESTAWARIPETA,426,0.002982,,Adoni,16,0.000112,,,,,,63,3361,0.023527,,322,639,0.004473
,,,,BETHAMCHERLA,146,0.001022,,Adoni (M),53,0.000371,,,,,,64,2661,0.018627,,323,33,0.000231
,,,,BHAMINI,146,0.001022,,Adurupalle,3,0.000021,,,,,,65,7909,0.055363,,324,42,0.000294
,,,,BHATTIPROLU,219,0.001533,,Adusumalle,3,0.000021,,,,,,66,6371,0.044597,,326,7,0.000049
,,,,BHEEMUNIPATNAM,81,0.000567,,Advi Agraharam,4,0.000028,,,,,,67,16524,0.115668,,327,165,0.001155
,,,,BHIMADOLE,659,0.004613,,Agadur,4,0.000028,,,,,,69,7055,0.049385,,328,671,0.004697
,,,,BHOGAPURAM,539,0.003773,,Agali,12,0.000084,,,,,,71,7770,0.05439,,329,474,0.003318
,,,,BICCAVOLU,29,0.000203,,Agarala,2,0.000014,,,,,,72,4849,0.033943,,330,584,0.004088
,,,,BOBBILI,1781,0.012467,,Agaram,91,0.000637,,,,,,73,4627,0.032389,,331,825,0.005775
,,,,BOGOLE,91,0.000637,,Agaramangalam,4,0.000028,,,,,,74,3429,0.024003,,332,205,0.001435
,,,,BOLLAPALLE,41,0.000287,,Agasanur,14,0.000098,,,,,,75,74,0.000518,,333,978,0.006846
,,,,BOMMANAHAL,802,0.005614,,Agaveli,4,0.000028,,,,,,76,1799,0.012593,,334,143,0.001001
,,,,BONDAPALLE,2256,0.015792,,Aggichenupalle,2,0.000014,,,,,,77,667,0.004669,,335,292,0.002044
,,,,BRAHMAMGARIMATTAM,469,0.003283,,Agiripalle,113,0.000791,,,,,,78,3713,0.025991,,336,4,0.000028
,,,,BRAHMASAMUDRAM,769,0.005383,,Agnigundala,18,0.000126,,,,,,79,3455,0.024185,,337,385,0.002695
,,,,BUCHINAIDU  KANDRIGA,454,0.003178,,Agraharam,32,0.000224,,,,,,80,16,0.000112,,338,2,0.000014
,,,,BUCHIREDDIPALEM,31,0.000217,,Agraharampalle,3,0.000021,,,,,,81,12054,0.084378,,339,13,0.000091
,,,,BUKKAPATNAM,475,0.003325,,Aguru,905,0.006335,,,,,,,,,,340,270,0.00189
,,,,BUKKARAYA  SAMUDRAM,501,0.003507,,Ainampudi,2,0.000014,,,,,,,,,,341,6,0.000042
,,,,BURJA,118,0.000826,,Ainavilli,5,0.000035,,,,,,,,,,401,740,0.00518
,,,,BUTCHAYYAPETA,577,0.004039,,Aithampudi,1,0.000007,,,,,,,,,,402,817,0.005719
,,,,BUTTAYAGUDEM,62,0.000434,,Ajjaram,7,0.000049,,,,,,,,,,403,292,0.002044
,,,,C.BELAGAL,110,0.00077,,Akanambattu,8,0.000056,,,,,,,,,,404,353,0.002471
,,,,CHAGALAMARRI,339,0.002373,,Akaveedu,84,0.000588,,,,,,,,,,405,694,0.004858
,,,,CHAKRAYAPET,165,0.001155,,Akbarabad,10,0.00007,,,,,,,,,,413,967,0.006769
,,,,CHALLAPALLE,16,0.000112,,Akepadu,7,0.000049,,,,,,,,,,414,947,0.006629
,,,,CHANDARLAPADU,185,0.001295,,Akilavalasa,6,0.000042,,,,,,,,,,415,250,0.00175
,,,,CHANDRAGIRI,727,0.005089,,Akka Cheruvu,26,0.000182,,,,,,,,,,416,990,0.00693
,,,,CHANDRASEKHARA PURAM,414,0.002898,,Akkacheruvu,1,0.000007,,,,,,,,,,419,14,0.000098
,,,,CHAPAD,206,0.001442,,Akkagaladevarahalli,2,0.000014,,,,,,,,,,422,848,0.005936
,,,,CHATRAI,320,0.00224,,Akkajampalle,8,0.000056,,,,,,,,,,423,2,0.000014
,,,,CHEBROLU,398,0.002786,,Akkalreddipalle,4,0.000028,,,,,,,,,,424,2,0.000014
,,,,CHEEDIKADA,250,0.00175,,Akkamambapuram,22,0.000154,,,,,,,,,,427,2,0.000014
,,,,CHEEPURUPALLE,1451,0.010157,,Akkampet,37,0.000259,,,,,,,,,,428,9,0.000063
,,,,CHEJERLA,219,0.001533,,Akkampeta,3,0.000021,,,,,,,,,,429,14,0.000098
,,,,CHENNEKOTHAPALLE,1208,0.008456,,Akkapalem,7,0.000049,,,,,,,,,,430,1,0.000007
,,,,CHENNUR,10,0.00007,,Akkemgundla,10,0.00007,,,,,,,,,,431,46,0.000322
,,,,CHERUKUPALLE,631,0.004417,,Akkivaram,4,0.000028,,,,,,,,,,432,2,0.000014
,,,,CHILAKALURIPET,607,0.004249,,Akkurada,11,0.000077,,,,,,,,,,433,10,0.00007
,,,,CHILAMATHUR,813,0.005691,,Akkurthy,23,0.000161,,,,,,,,,,434,9,0.000063
,,,,CHILLAKUR,130,0.00091,,Akulakatta,30,0.00021,,,,,,,,,,435,4,0.000028
,,,,CHIMAKURTHI,522,0.003654,,Akulamannadu,1,0.000007,,,,,,,,,,437,23,0.000161
,,,,CHINAGANJAM,59,0.000413,,Akularaghunadha Puram,4,0.000028,,,,,,,,,,438,32,0.000224
,,,,CHINNAGOTTIGALLU,216,0.001512,,Akulatampara,9,0.000063,,,,,,,,,,439,1,0.000007
,,,,CHINNAMANDEM,238,0.001666,,Akuledu,36,0.000252,,,,,,,,,,440,4,0.000028
,,,,CHINTALAPUDI,424,0.002968,,Akumalla,29,0.000203,,,,,,,,,,441,115,0.000805
,,,,CHINTHAKOMMADINNE,284,0.001988,,Akurajupalle,4,0.000028,,,,,,,,,,442,11,0.000077
,,,,CHINTUR,74,0.000518,,Alaganur,1,0.000007,,,,,,,,,,443,108,0.000756
,,,,CHIPPAGIRI,148,0.001036,,Alajangi,27,0.000189,,,,,,,,,,444,20,0.00014
,,,,CHIRALA,17,0.000119,,Alamanda,14,0.000098,,,,,,,,,,445,5,0.000035
,,,,CHITTAMUR,26,0.000182,,Alamandakoduru,1,0.000007,,,,,,,,,,446,36,0.000252
,,,,CHITTOOR,586,0.004102,,Alamkonda,8,0.000056,,,,,,,,,,447,4,0.000028
,,,,CHITVEL,326,0.002282,,Alampur,15,0.000105,,,,,,,,,,448,38,0.000266
,,,,CHODAVARAM,338,0.002366,,Alamur,28,0.000196,,,,,,,,,,449,164,0.001148
,,,,CHOWDEPALLE,584,0.004088,,Alamuru,71,0.000497,,,,,,,,,,450,23,0.000161
,,,,CUMBUM,298,0.002086,,Alapadu,21,0.000147,,,,,,,,,,451,30,0.00021
,,,,D.HIREHAL,552,0.003864,,Alapakam,1,0.000007,,,,,,,,,,452,714,0.004998
,,,,DACHEPALLE,221,0.001547,,Alathur,122,0.000854,,,,,,,,,,454,5,0.000035
,,,,DAGADARTHI,121,0.000847,,Alavala,28,0.000196,,,,,,,,,,455,6,0.000042
,,,,DAKKILI,316,0.002212,,Alavalapadu,47,0.000329,,,,,,,,,,456,50,0.00035
,,,,DARSI,248,0.001736,,Alidena,3,0.000021,,,,,,,,,,459,3,0.000021
,,,,DATTIRAJERU,2063,0.014441,,Alimelu Manga Puram,8,0.000056,,,,,,,,,,460,11,0.000077
,,,,DENDULURU,280,0.00196,,Alireddipalle,13,0.000091,,,,,,,,,,461,21,0.000147
,,,,DENKADA,573,0.004011,,Alladapalem,4,0.000028,,,,,,,,,,501,193,0.001351
,,,,DEVANAKONDA,48,0.000336,,Alladapeta,1,0.000007,,,,,,,,,,502,869,0.006083
,,,,DEVARAPALLE,438,0.003066,,Alladupalle,13,0.000091,,,,,,,,,,503,2649,0.018543
,,,,DEVIPATNAM,3,0.000021,,Allagadda,21,0.000147,,,,,,,,,,504,609,0.004263
,,,,DHARMAVARAM,1072,0.007504,,Allamadugu,26,0.000182,,,,,,,,,,505,146,0.001022
,,,,DHONE,589,0.004123,,Allamcherlarajupalem,2,0.000014,,,,,,,,,,506,105,0.000735
,,,,DONAKONDA,431,0.003017,,Allampadu,57,0.000399,,,,,,,,,,507,203,0.001421
,,,,DORAVARISATRAM,137,0.000959,,Allapalle,41,0.000287,,,,,,,,,,508,51,0.000357
,,,,DORNALA,584,0.004088,,Allaparru,25,0.000175,,,,,,,,,,509,90,0.00063
,,,,DORNIPADU,30,0.00021,,Allavaram,13,0.000091,,,,,,,,,,510,919,0.006433
,,,,DUGGIRALA,89,0.000623,,Allimadugu,8,0.000056,,,,,,,,,,511,52,0.000364
,,,,DURGI,311,0.002177,,Allinagaram,23,0.000161,,,,,,,,,,512,698,0.004886
,,,,DUTTALUR,305,0.002135,,Alliveedu,14,0.000098,,,,,,,,,,513,71,0.000497
,,,,DUVVUR,271,0.001897,,Allugundu,81,0.000567,,,,,,,,,,514,626,0.004382
,,,,DWARAKA TIRUMALA,1451,0.010157,,Allur,60,0.00042,,,,,,,,,,515,1925,0.013475
,,,,EDLAPADU,269,0.001883,,Alluru,24,0.000168,,,,,,,,,,516,1970,0.01379
,,,,ELURU,53,0.000371,,Alluru Kotha Patnam,63,0.000441,,,,,,,,,,517,333,0.002331
,,,,ETCHERLA,207,0.001449,,Allurupadu,1,0.000007,,,,,,,,,,518,149,0.001043
,,,,G.KONDURU,436,0.003052,,Althurthi,2,0.000014,,,,,,,,,,519,1,0.000007
,,,,GADIVEMULA,47,0.000329,,Althurupadu,1,0.000007,,,,,,,,,,534,4,0.000028
,,,,GAJAPATHINAGARAM,1892,0.013244,,Alugolu,47,0.000329,,,,,,,,,,535,1,0.000007
,,,,GAJUWAKA,8,0.000056,,Alugubilli,13,0.000091,,,,,,,,,,536,3,0.000021
,,,,GALIVEEDU,584,0.004088,,Alugumanipalle,31,0.000217,,,,,,,,,,601,30,0.00021
,,,,GAMPALAGUDEM,572,0.004004,,Alukurupalle,7,0.000049,,,,,,,,,,602,493,0.003451
,,,,GANDEPALLE,524,0.003668,,Alur,72,0.000504,,,,,,,,,,603,476,0.003332
,,,,GANDLAPENTA,722,0.005054,,Alvakonda,9,0.000063,,,,,,,,,,604,328,0.002296
,,,,GANGADHARANELLORE,702,0.004914,,Alwala,7,0.000049,,,,,,,,,,605,181,0.001267
,,,,GANGAVARAM,469,0.003283,,Amadagur,269,0.001883,,,,,,,,,,606,299,0.002093
,,,,GANGUVARISIGADAM,180,0.00126,,Amadalavalasa,49,0.000343,,,,,,,,,,608,16,0.000112
,,,,GANNAVARAM,214,0.001498,,Amagondapalem,80,0.00056,,,,,,,,,,610,27,0.000189
,,,,GANTYADA,984,0.006888,,Amakathadu,23,0.000161,,,,,,,,,,611,117,0.000819
,,,,GARA,96,0.000672,,Amalakudia,3,0.000021,,,,,,,,,,612,152,0.001064
,,,,GARIVIDI,1464,0.010248,,Amalapuram,14,0.000098,,,,,,,,,,613,552,0.003864
,,,,GARLADINNE,653,0.004571,,Amalapuram (M),2,0.000014,,,,,,,,,,614,102,0.000714
,,,,GARUGUBILLI,560,0.00392,,Amalapuram (Rural),11,0.000077,,,,,,,,,,615,556,0.003892
,,,,GHANTASALA,27,0.000189,,Amalladinne,9,0.000063,,,,,,,,,,616,565,0.003955
,,,,GIDDALUR,844,0.005908,,Amancherla,2,0.000014,,,,,,,,,,617,46,0.000322
,,,,GOKAVARAM,663,0.004641,,Amani Jammala Madaka,12,0.000084,,,,,,,,,,618,271,0.001897
,,,,GOLLAPROLU,333,0.002331,,Amanichiruvella,44,0.000308,,,,,,,,,,619,318,0.002226
,,,,GOLUGONDA,403,0.002821,,Amarapuram,176,0.001232,,,,,,,,,,620,154,0.001078
,,,,GONEGANDLA,288,0.002016,,Amaravalli,36,0.000252,,,,,,,,,,621,25,0.000175
,,,,GOOTY,1064,0.007448,,Amaravathi,86,0.000602,,,,,,,,,,622,319,0.002233
,,,,GOPALAPURAM,664,0.004648,,Amarayavalasa,15,0.000105,,,,,,,,,,624,141,0.000987
,,,,GOPAVARAM,473,0.003311,,Amatam Ravivalasa,5,0.000035,,,,,,,,,,625,725,0.005075
,,,,GORANTLA,978,0.006846,,Ambada,1,0.000007,,,,,,,,,,626,561,0.003927
,,,,GOSPADU,228,0.001596,,Ambadipudi,1,0.000007,,,,,,,,,,627,221,0.001547
,,,,GUDIBANDA,806,0.005642,,Ambakam,12,0.000084,,,,,,,,,,628,353,0.002471
,,,,GUDIPALA,567,0.003969,,Ambalavalasa,1,0.000007,,,,,,,,,,629,192,0.001344
,,,,GUDIVADA,1,0.000007,,Ambapuram,7,0.000049,,,,,,,,,,630,82,0.000574
,,,,GUDLAVALLERU,28,0.000196,,Ambativalasa,7,0.000049,,,,,,,,,,631,63,0.000441
,,,,GUDLURU,636,0.004452,,Ambavaram,91,0.000637,,,,,,,,,,632,32,0.000224
,,,,GUDUPALLE,898,0.006286,,Amberpeta,118,0.000826,,,,,,,,,,633,39,0.000273
,,,,GUDUR,423,0.002961,,Amberupuram,2,0.000014,,,,,,,,,,634,19,0.000133
,,,,GUDURU,18,0.000126,,Ambodharapalle,3,0.000021,,,,,,,,,,635,3,0.000021
,,,,GUMMAGATTA,683,0.004781,,Ambugam,2,0.000014,,,,,,,,,,636,1,0.000007
,,,,GUNTAKAL,738,0.005166,,Ambur,1,0.000007,,,,,,,,,,637,17,0.000119
,,,,GUNTUR,74,0.000518,,Ameenpalle,12,0.000084,,,,,,,,,,638,42,0.000294
