,,,,BELUGUPPA,148,0.052244,,Agadala,7,0.002471,,40,27,0.009531,,53,39,0.013767,,222,56,0.019768
,,,,BESTAWARIPETA,161,0.056833,,Agadur,5,0.001765,,,,,,55,96,0.033888,,223,78,0.027534
,,,,BETHAMCHERLA,133,0.046949,,Agali,6,0.002118,,,,,,56,1077,0.380181,,224,78,0.027534
,,,,BHAMINI,115,0.040595,,Agarala,1,0.000353,,,,,,57,132,0.046596,,302,1,0.000353
,,,,BHEEMUNIPATNAM,27,0.009531,,Agaram,15,0.005295,,,,,,58,688,0.242864,,305,9,0.003177
,,,,BHIMADOLE,4,0.001412,,Agaveli,3,0.001059,,,,,,59,526,0.185678,,306,5,0.001765
,,,,BHOGAPURAM,66,0.023298,,Aggichenupalle,1,0.000353,,,,,,60,303,0.106959,,311,60,0.02118
,,,,BOBBILI,62,0.021886,,Agiripalle,3,0.001059,,,,,,61,422,0.148966,,312,24,0.008472
,,,,BOGOLE,2,0.000706,,Agraharam,36,0.012708,,,,,,62,41,0.014473,,313,44,0.015532
,,,,BOLLAPALLE,29,0.010237,,Aguru,2,0.000706,,,,,,63,778,0.274634,,314,67,0.023651
,,,,BOMMANAHAL,30,0.01059,,Ahobilam,4,0.001412,,,,,,64,504,0.177912,,315,53,0.018709
,,,,BONDAPALLE,165,0.058245,,Ajjaram,5,0.001765,,,,,,65,1770,0.62481,,316,7,0.002471
,,,,BRAHMAMGARIMATTAM,108,0.038124,,Akanambattu,1,0.000353,,,,,,66,1153,0.407009,,317,9,0.003177
,,,,BRAHMASAMUDRAM,132,0.046596,,Akaveedu,12,0.004236,,,,,,67,2437,0.860261,,319,48,0.016944
,,,,BUCHINAIDU  KANDRIGA,24,0.008472,,Akbarabad,1,0.000353,,,,,,69,1720,0.60716,,320,69,0.024357
,,,,BUKKAPATNAM,104,0.036712,,Akepadu,10,0.00353,,,,,,71,2855,1.007815,,321,29,0.010237
,,,,BUKKARAYA  SAMUDRAM,143,0.050479,,Akka Cheruvu,5,0.001765,,,,,,72,375,0.132375,,322,50,0.01765
,,,,BURJA,236,0.083308,,Akkagaladevarahalli,8,0.002824,,,,,,73,335,0.118255,,323,12,0.004236
,,,,BUTCHAYYAPETA,42,0.014826,,Akkajampalle,2,0.000706,,,,,,74,356,0.125668,,324,23,0.008119
,,,,BUTTAYAGUDEM,94,0.033182,,Akkalreddipalle,7,0.002471,,,,,,76,118,0.041654,,326,4,0.001412
,,,,C.BELAGAL,199,0.070247,,Akkamamba Puram,2,0.000706,,,,,,77,46,0.016238,,327,22,0.007766
,,,,CHAGALAMARRI,67,0.023651,,Akkampet,1,0.000353,,,,,,78,143,0.050479,,328,48,0.016944
,,,,CHAKRAYAPET,147,0.051891,,Akkarapalle,1,0.000353,,,,,,79,451,0.159203,,329,69,0.024357
,,,,CHANDARLAPADU,34,0.012002,,Akkavaram,6,0.002118,,,,,,80,27,0.009531,,330,18,0.006354
,,,,CHANDRAGIRI,43,0.015179,,Akkayapalem,4,0.001412,,,,,,81,1280,0.45184,,331,53,0.018709
,,,,CHANDRASEKHARA PURAM,91,0.032123,,Akkayapalle,1,0.000353,,,,,,,,,,332,22,0.007766
,,,,CHAPAD,16,0.005648,,Akkayyavalasa,6,0.002118,,,,,,,,,,333,108,0.038124
,,,,CHATRAI,29,0.010237,,Akkemgundla,3,0.001059,,,,,,,,,,334,36,0.012708
,,,,CHEEDIKADA,13,0.004589,,Akkireddigudem,3,0.001059,,,,,,,,,,335,9,0.003177
,,,,CHEEPURUPALLE,400,0.1412,,Akkivalasa,2,0.000706,,,,,,,,,,336,1,0.000353
,,,,CHENNEKOTHAPALLE,113,0.039889,,Akkivaram,15,0.005295,,,,,,,,,,337,46,0.016238
,,,,CHENNUR,10,0.00353,,Akkulapeta,1,0.000353,,,,,,,,,,338,1,0.000353
,,,,CHILAKALURIPET,1,0.000353,,Akkupalle,3,0.001059,,,,,,,,,,339,3,0.001059
,,,,CHILAMATHUR,159,0.056127,,Akkurada,3,0.001059,,,,,,,,,,340,25,0.008825
,,,,CHILLAKUR,5,0.001765,,Akulakatta,2,0.000706,,,,,,,,,,341,5,0.001765
,,,,CHIMAKURTHI,52,0.018356,,Akularaghunadha Puram,2,0.000706,,,,,,,,,,342,1,0.000353
,,,,CHINAGANJAM,6,0.002118,,Akuledu,9,0.003177,,,,,,,,,,401,5,0.001765
,,,,CHINNAGOTTIGALLU,59,0.020827,,Akumalla,8,0.002824,,,,,,,,,,403,5,0.001765
,,,,CHINNAMANDEM,184,0.064952,,Alaganur,1,0.000353,,,,,,,,,,404,31,0.010943
