location_id,name,lat,long,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
1426,PAKALA Station1,13.448666,79.117317,3.25,0.0,0.0,0.0,0.0,0.0,8.100000000000001,0.0,3.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.200000000000001,0.30000000000000004,1.6500000000000001,3.3000000000000003,47.400000000000006,0.0,0.0,0.0,7.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6420,SR-ii_Siddeswaram_ARG,17.670423,83.206964,1.0,0.0,0.0,0.25,0.0,28.09367088607595,0.10384615384615384,0.75,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-99999.999,0.25,1.3329113924050633,1.3329113924050633,0.5,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
1803,DARSI Station1,15.770656,79.684379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,0.0,-99999.999,-99999.999,-99999.999,0.0,0.0,13.5,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
2321,AMADALAVALASA Station2,18.407778,83.908056,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.2000000000000002,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6413,Padmanabhapuram,Ramalayam_ARG,17.762755,83.205301,5.25,0.0,0.0,0.0,0.0,16.523529411764706,0.103921568627451,0.0,0.0,1.25,0.25,0.0,0.75,0.25,0.0,0.0,0.0,0.30576923076923074,0.0,1.0392156862745099,0.5,0.0,0.0,10.25,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6590,Nellipaka(Ethapaka)_ARG,18.907443,83.815255,0.0,7.25,0.0,0.0,0.0,109.6,109.6,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6570,Karvetinagar_ARG,13.409551,79.441232,0.0,0.0,0.0,0.0,0.0,0.0,11.399999999999999,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6467,Muthukur_ARG,14.296564,80.089747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
1571,KAVITI Station1,19.011838,84.690702,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.5,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
2464,PEDAMANTURU,14.018611,77.430556,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.30000000000000004,0.0,0.6,2.7,16.5,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6444,Govt_PolytechnicCollege_ARG,14.4788,79.987569,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42500000000000004,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.11333333333333334,0.33999999999999997,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
2279,KOTHAKOTA Station1,17.754167,82.702222,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,47.6,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,0.0,0.13333333333333333,0.0,0.7999999999999999,0.0,22.266666666666666,0.0,5.5,0.0,1.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
1783,OJILI Station1,14.003429,79.905311,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6477,Thadi_Village_40KL_Reservoir_ARG,17.685565,83.094007,-99999.999,0.25,0.0,0.0,0.0,16.523529411764706,0.103921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30576923076923074,0.0,1.0392156862745099,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
1815,MARRIPUDI Station1,15.513214,79.653786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,21.25,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
2170,BHUPASAMUDRAM,14.630278,76.974722,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,3.375,-99999.999,-99999.999,-99999.999,0.0,0.0,-99999.999,-99999.999,-99999.999,2.75,-99999.999,0.0,0.0,-99999.999,-99999.999,-99999.999,2.25,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6816,Kalluru_ARG,14.111,78.005967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1333333333333333,1.5,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
1833,VOLETIVARIPALEM Station1,15.162297,79.729065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.050000000000004,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6549,Nidamarru_ARG,16.726016,81.417777,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
2013,MUDINAPALLE Station1,16.418509,81.109711,1.0,1.25,0.0,0.0,0.0,0.0,3.1500000000000004,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
6577,Lingapalem_ARG,16.951792,80.988877,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,41.5,-99999.999,0.0,0.0,0.0,0.0,0.0,-99999.999,-99999.999,-99999.999,-99999.999,-99999.999
