District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
,,,,C.BELAGAL,4,0.001412,,Allapalle,1,0.000353,,,,,,65,301,0.106253,,326,1,0.000353
,,,,CHAGALAMARRI,3,0.001059,,Allipoolagunta,2,0.000706,,,,,,66,169,0.059657,,327,2,0.000706
,,,,CHAKRAYAPET,43,0.015179,,Allugundu,6,0.002118,,,,,,67,650,0.22945,,328,3,0.001059
,,,,CHANDARLAPADU,4,0.001412,,Allur,4,0.001412,,,,,,69,542,0.191326,,329,3,0.001059
,,,,CHANDRAGIRI,20,0.00706,,Althurthi,2,0.000706,,,,,,71,1185,0.418305,,330,3,0.001059
,,,,CHANDRASEKHARA PURAM,69,0.024357,,Alugumanipalle,2,0.000706,,,,,,72,187,0.066011,,331,2,0.000706
,,,,CHATRAI,4,0.001412,,Alur,3,0.001059,,,,,,73,128,0.045184,,333,5,0.001765
,,,,CHEEDIKADA,3,0.001059,,Alvakonda,1,0.000353,,,,,,74,380,0.13414,,337,1,0.000353
,,,,CHEEPURUPALLE,11,0.003883,,Amagondapalem,4,0.001412,,,,,,75,60,0.02118,,403,4,0.001412
,,,,CHEJERLA,8,0.002824,,Amakathadu,2,0.000706,,,,,,76,65,0.022945,,404,17,0.006001
,,,,CHENNEKOTHAPALLE,26,0.009178,,Amalladinne,2,0.000706,,,,,,77,31,0.010943,,405,1,0.000353
,,,,CHENNUR,2,0.000706,,Amanichiruvella,1,0.000353,,,,,,78,194,0.068482,,412,7,0.002471
,,,,CHILAMATHUR,141,0.049773,,Amarapuram,3,0.001059,,,,,,79,265,0.093545,,413,4,0.001412
,,,,CHILLAKUR,3,0.001059,,Ambavaram,11,0.003883,,,,,,80,7,0.002471,,414,2,0.000706
,,,,CHIMAKURTHI,5,0.001765,,Ambodharapalle,2,0.000706,,,,,,81,886,0.312758,,415,1,0.000353
,,,,CHINNAGOTTIGALLU,40,0.01412,,Amidala,2,0.000706,,,,,,(blank),,,,416,9,0.003177
,,,,CHINNAMANDEM,74,0.026122,,Amidalagondi,1,0.000353,,,,,,Grand Total,9179,3.240187,,418,10,0.00353
,,,,CHINTHAKOMMADINNE,2,0.000706,,Aminabada,1,0.000353,,,,,,,,,,419,2,0.000706
,,,,CHINTUR,1,0.000353,,Ammagaripalle,4,0.001412,,,,,,,,,,420,4,0.001412
,,,,CHIPPAGIRI,1,0.000353,,Ammapalem,4,0.001412,,,,,,,,,,421,8,0.002824
,,,,CHITTAMUR,64,0.022592,,Ammavari Palem,2,0.000706,,,,,,,,,,422,1,0.000353
