District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
,,,,NARAYANAVANAM,25,0.008825,,Bhogasamudram,1,0.000353,,,,,,,,,,1038,27,0.009531
,,,,NARPALA,12,0.004236,,Bhoolokapathivarakattu,1,0.000353,,,,,,,,,,1039,28,0.009884
,,,,NATHAVARAM,2,0.000706,,Bhoomireddipalle,1,0.000353,,,,,,,,,,1040,1,0.000353
,,,,NELLIMARLA,3,0.001059,,Bhubandavalasa,3,0.001059,,,,,,,,,,1041,13,0.004589
,,,,NIMMANAPALLE,5,0.001765,,Bhumanapalle,1,0.000353,,,,,,,,,,1042,5,0.001765
,,,,NINDRA,65,0.022945,,Bhupana Guntla,1,0.000353,,,,,,,,,,1043,16,0.005648
,,,,NUZVID,1,0.000353,,Bhupathi Palle,1,0.000353,,,,,,,,,,1044,16,0.005648
,,,,OBULADEVARACHERUVU,28,0.009884,,Bidinamcherla,2,0.000706,,,,,,,,,,1045,18,0.006354
,,,,OBULAVARIPALLE,10,0.00353,,Bilehal,1,0.000353,,,,,,,,,,1046,31,0.010943
,,,,OJILI,3,0.001059,,Billalavalasa,3,0.001059,,,,,,,,,,1047,67,0.023651
,,,,ONGOLE,3,0.001059,,Billanapalle,2,0.000706,,,,,,,,,,1048,79,0.027887
,,,,ORVAKAL,15,0.005295,,Biradawada,1,0.000353,,,,,,,,,,1049,48,0.016944
,,,,OWK,4,0.001412,,Birlangi,3,0.001059,,,,,,,,,,1050,61,0.021533
,,,,PACHIPENTA,93,0.032829,,Bisanatham,1,0.000353,,,,,,,,,,1051,23,0.008119
,,,,PADMANABHAM,1,0.000353,,Bobbe Palle,3,0.001059,,,,,,,,,,1052,132,0.046596
,,,,PAKALA,39,0.013767,,Bodabandla,1,0.000353,,,,,,,,,,1053,40,0.01412
,,,,PALAKONDA,2,0.000706,,Bodaguttapalle,1,0.000353,,,,,,,,,,1054,9,0.003177
,,,,PALASA,25,0.008825,,Bodanampadu,3,0.001059,,,,,,,,,,1055,43,0.015179
,,,,PALASAMUDRAM,9,0.003177,,Bodapalem,1,0.000353,,,,,,,,,,1056,121,0.042713
,,,,PAMIDI,13,0.004589,,Bodavada,1,0.000353,,,,,,,,,,1057,48,0.016944
,,,,PAMULAPADU,2,0.000706,,Bodduru,4,0.001412,,,,,,,,,,1058,33,0.011649
,,,,PAMUR,62,0.021886,,Bodduvani Palem,7,0.002471,,,,,,,,,,1059,29,0.010237
,,,,PANYAM,4,0.001412,,Bodevandlapalle,30,0.01059,,,,,,,,,,1060,23,0.008119
,,,,PARAVADA,3,0.001059,,Bodiguttapalle,1,0.000353,,,,,,,,,,1061,23,0.008119
,,,,PARCHUR,12,0.004236,,Bodireddigaripalle,2,0.000706,,,,,,,,,,1063,71,0.025063
,,,,PARIGI,10,0.00353,,Bodumalluvaripalle,3,0.001059,,,,,,,,,,1064,16,0.005648
,,,,PARVATHIPURAM,1,0.000353,,Boganampadu,6,0.002118,,,,,,,,,,1065,83,0.029299
,,,,PATHAPATNAM,18,0.006354,,Bogolu,2,0.000706,,,,,,,,,,1066,5,0.001765
,,,,PATTIKONDA,55,0.019415,,Bolla Palle,1,0.000353,,,,,,,,,,1067,48,0.016944
,,,,PEAPALLY,11,0.003883,,Bollanaguddam,6,0.002118,,,,,,,,,,1068,71,0.025063
,,,,PEDA  ARAVEEDU,13,0.004589,,Bollu Palle,2,0.000706,,,,,,,,,,1069,39,0.013767
,,,,PEDABAYALU,1,0.000353,,Bolugota,1,0.000353,,,,,,,,,,1070,54,0.019062
,,,,PEDACHERLO PALLE,109,0.038477,,Bommagundanahalli,2,0.000706,,,,,,,,,,1071,100,0.0353
,,,,PEDDA THIPPASAMUDRAM,43,0.015179,,Bommaiahgari Palle,9,0.003177,,,,,,,,,,1072,40,0.01412
,,,,PEDDAMANDYAM,76,0.026828,,Bommanahal,1,0.000353,,,,,,,,,,1073,39,0.013767
,,,,PEDDAMUDIUM,1,0.000353,,Bommarajupalle,4,0.001412,,,,,,,,,,1075,7,0.002471
,,,,PEDDAPANJANI,93,0.032829,,Bommireddi Palle,3,0.001059,,,,,,,,,,1101,2,0.000706
,,,,PEDDAPAPPUR,24,0.008472,,Bommuluru,1,0.000353,,,,,,,,,,1104,13,0.004589
,,,,PEDDAVADUGUR,28,0.009884,,Bonamala,2,0.000706,,,,,,,,,,1106,2,0.000706
,,,,PELLAKUR,3,0.001059,,Bondala Padu,1,0.000353,,,,,,,,,,1107,5,0.001765
,,,,PENAGALUR,10,0.00353,,Bondalakunta,3,0.001059,,,,,,,,,,1108,2,0.000706
,,,,PENDLIMARRI,19,0.006707,,Bondalawada,1,0.000353,,,,,,,,,,1109,5,0.001765
,,,,PENUKONDA,19,0.006707,,Bondapalle,1,0.000353,,,,,,,,,,1110,8,0.002824
,,,,PENUMURU,42,0.014826,,Bondimadugula,3,0.001059,,,,,,,,,,1111,3,0.001059
,,,,PICHATUR,28,0.009884,,Bontha Vari Palle,4,0.001412,,,,,,,,,,1113,4,0.001412
,,,,PILERU,86,0.030358,,Bonthagunta Palle,1,0.000353,,,,,,,,,,1115,25,0.008825
,,,,PODALAKUR,22,0.007766,,Bonthu,2,0.000706,,,,,,,,,,1116,4,0.001412
,,,,PODILI,33,0.011649,,Bonupalle,2,0.000706,,,,,,,,,,1117,1,0.000353
,,,,POLAVARAM,11,0.003883,,Booragamanda,7,0.002471,,,,,,,,,,1118,2,0.000706
,,,,PONDURU,16,0.005648,,Boorlapalle,3,0.001059,,,,,,,,,,1119,1,0.000353
,,,,PONNALURU,46,0.016238,,Boppapuram,2,0.000706,,,,,,,,,,1121,2,0.000706
,,,,PORUMAMILLA,22,0.007766,,Boppepalle,6,0.002118,,,,,,,,,,1123,1,0.000353
,,,,PRATHIPADU,2,0.000706,,Borramamidi,1,0.000353,,,,,,,,,,1125,1,0.000353
,,,,PRODDATUR,1,0.000353,,Borrampeta,3,0.001059,,,,,,,,,,1126,13,0.004589
,,,,PULICHERLA,9,0.003177,,Botikarlapadu,1,0.000353,,,,,,,,,,1127,39,0.013767
,,,,PULIVENDLA,8,0.002824,,Botla Gudur,4,0.001412,,,,,,,,,,1128,12,0.004236
,,,,PULLALACHERUVU,36,0.012708,,Botlacheruvu,3,0.001059,,,,,,,,,,1129,5,0.001765
,,,,PULLAMPETA,8,0.002824,,Boyada Gumpula,2,0.000706,,,,,,,,,,1130,17,0.006001
,,,,PUNGANUR,37,0.013061,,Boyala Palle,3,0.001059,,,,,,,,,,1131,3,0.001059
,,,,PUSAPATIREGA,1,0.000353,,Boyala Palle (S.H.O),1,0.000353,,,,,,,,,,1132,9,0.003177
,,,,PUTHALAPATTU,74,0.026122,,Boyala Tadipatri,1,0.000353,,,,,,,,,,1133,7,0.002471
,,,,PUTLUR,44,0.015532,,Boyalapalle,1,0.000353,,,,,,,,,,1134,20,0.00706
,,,,PUTTAPARTHI,30,0.01059,,Boyamadugula,3,0.001059,,,,,,,,,,1135,12,0.004236
,,,,PUTTUR,14,0.004942,,Boyanapalle,1,0.000353,,,,,,,,,,1136,1,0.000353
,,,,RACHERLA,21,0.007413,,Brahmana Palle,4,0.001412,,,,,,,,,,1137,1,0.000353
,,,,RAJAMPET,26,0.009178,,Brahmana Yerragudi,1,0.000353,,,,,,,,,,1138,4,0.001412
,,,,RAJAVOMMANGI,3,0.001059,,Brahmanakraka,1,0.000353,,,,,,,,,,1139,15,0.005295
,,,,RAMACHANDRAPURAM,149,0.052597,,Brahmanapalle,12,0.004236,,,,,,,,,,1140,17,0.006001
,,,,RAMAGIRI,70,0.02471,,Brahmasamudram,1,0.000353,,,,,,,,,,1141,22,0.007766
,,,,RAMAKUPPAM,73,0.025769,,Bramhanapalle,1,0.000353,,,,,,,,,,1142,1,0.000353
,,,,RAMAPURAM,66,0.023298,,Buchivanatham,1,0.000353,,,,,,,,,,1143,6,0.002118
,,,,RAMASAMUDRAM,51,0.018003,,Buchupalle,1,0.000353,,,,,,,,,,1144,10,0.00353
,,,,RAMBILLI,2,0.000706,,Budagavi,1,0.000353,,,,,,,,,,1145,10,0.00353
,,,,RAMPACHODAVARAM,6,0.002118,,Budatanapalle,8,0.002824,,,,,,,,,,1146,17,0.006001
,,,,RANASTALAM,32,0.011296,,Budawada,1,0.000353,,,,,,,,,,1147,14,0.004942
,,,,RAPTADU,2,0.000706,,Budedu,2,0.000706,,,,,,,,,,1148,9,0.003177
,,,,RAPUR,9,0.003177,,Budidavedu,7,0.002471,,,,,,,,,,1149,13,0.004589
,,,,RAVIKAMATAM,3,0.001059,,Budigumma,5,0.001765,,,,,,,,,,1150,9,0.003177
,,,,RAYACHOTI,41,0.014473,,Budili,24,0.008472,,,,,,,,,,1151,12,0.004236
,,,,RAYADURG,26,0.009178,,Budithireddipalle,2,0.000706,,,,,,,,,,1152,5,0.001765
,,,,REDDIGUDEM,3,0.001059,,Bukka Puram,2,0.000706,,,,,,,,,,1153,8,0.002824
,,,,REGIDIAMADALAVALASA,34,0.012002,,Bukkapatnam,3,0.001059,,,,,,,,,,1154,2,0.000706
,,,,RENIGUNTA,20,0.00706,,Bukkapuram,5,0.001765,,,,,,,,,,1155,5,0.001765
,,,,RODDAM,13,0.004589,,Bullasamudram,8,0.002824,,,,,,,,,,1156,30,0.01059
,,,,ROLLA,14,0.004942,,Buradapadu,2,0.000706,,,,,,,,,,1157,35,0.012355
,,,,ROMPICHERLA,47,0.016591,,Buradapeta,1,0.000353,,,,,,,,,,1158,121,0.042713
,,,,ROWTHULAPUDI,2,0.000706,,Burakayalakota,2,0.000706,,,,,,,,,,1159,98,0.034594
,,,,RUDRAVARAM,2,0.000706,,Burandoddi,2,0.000706,,,,,,,,,,1160,32,0.011296
,,,,S.MYDUKUR,4,0.001412,,Burjapadu,1,0.000353,,,,,,,,,,1161,45,0.015885
,,,,SALUR,37,0.013061,,Burugupalem,1,0.000353,,,,,,,,,,1162,17,0.006001
,,,,SAMBEPALLE,45,0.015885,,Butalakarrivalasa,2,0.000706,,,,,,,,,,1164,38,0.013414
,,,,SANGAM,2,0.000706,,Buttayagudem,2,0.000706,,,,,,,,,,1165,1,0.000353
,,,,SANJAMALA,5,0.001765,,Byluppala,1,0.000353,,,,,,,,,,1167,19,0.006707
,,,,SANKHAVARAM,1,0.000353,,Byrapuram,2,0.000706,,,,,,,,,,1168,18,0.006354
,,,,SANTHABOMMALI,1,0.000353,,C G Mamidalavarikhandrika,3,0.001059,,,,,,,,,,1169,3,0.001059
,,,,SANTHAKAVITI,19,0.006707,,C.Belagal,1,0.000353,,,,,,,,,,1170,3,0.001059
,,,,SANTHAMAGULURU,11,0.003883,,C.Kodigepalle,3,0.001059,,,,,,,,,,1171,1,0.000353
,,,,SANTHANUTHALA PADU,29,0.010237,,Chabali,1,0.000353,,,,,,,,,,1172,1,0.000353
,,,,SANTHIPURAM,130,0.04589,,Chabolu,2,0.000706,,,,,,,,,,1173,15,0.005295
,,,,SARAVAKOTA,12,0.004236,,Chadalla,2,0.000706,,,,,,,,,,1174,8,0.002824
,,,,SARUBUJJILI,27,0.009531,,Chadam,2,0.000706,,,,,,,,,,1175,15,0.005295
,,,,SATYAVEDU,24,0.008472,,Chagaleru,2,0.000706,,,,,,,,,,1176,9,0.003177
,,,,SEETHAMPETA,95,0.033535,,Chagallu,4,0.001412,,,,,,,,,,1201,3,0.001059
,,,,SEETHANAGARAM,4,0.001412,,Chagaluru,40,0.01412,,,,,,,,,,1202,1,0.000353
,,,,SEETHARAMAPURAM,3,0.001059,,Chaganam,2,0.000706,,,,,,,,,,1203,65,0.022945
,,,,SETTUR,55,0.019415,,Chakalakonda,6,0.002118,,,,,,,,,,1204,1,0.000353
,,,,SIDHOUT,2,0.000706,,Chaki Cherla,4,0.001412,,,,,,,,,,1205,18,0.006354
,,,,SIMHADRIPURAM,23,0.008119,,Chakirala,9,0.003177,,,,,,,,,,1206,4,0.001412
,,,,SINGANAMALA,9,0.003177,,Chakkaralla,1,0.000353,,,,,,,,,,1207,21,0.007413
,,,,SINGARAYAKONDA,5,0.001765,,Chalamangalam,4,0.001412,,,,,,,,,,1208,64,0.022592
,,,,SODAM,33,0.011649,,Chalamcherla,1,0.000353,,,,,,,,,,1209,31,0.010943
,,,,SOMALA,25,0.008825,,Chalarlapalle,1,0.000353,,,,,,,,,,1210,22,0.007766
,,,,SOMANDEPALLE,29,0.010237,,Chalavemula,4,0.001412,,,,,,,,,,1211,1,0.000353
,,,,SOMPETA,1,0.000353,,Chalivendala,12,0.004236,,,,,,,,,,1212,31,0.010943
,,,,SRI AVADHUTHA KASINAYANA,30,0.01059,,Challagirigala,1,0.000353,,,,,,,,,,1213,11,0.003883
,,,,SRIKAKULAM,6,0.002118,,Challagirigella,3,0.001059,,,,,,,,,,1214,36,0.012708
,,,,SRIKALAHASTI,22,0.007766,,Challapalem,4,0.001412,,,,,,,,,,1215,21,0.007413
,,,,SRIRANGARAJAPURAM,52,0.018356,,Chamachenubylu,6,0.002118,,,,,,,,,,1216,6,0.002118
,,,,SULLURPETA,15,0.005295,,Chamadala,1,0.000353,,,,,,,,,,1217,5,0.001765
,,,,SYDAPURAM,9,0.003177,,Chamalagondi,3,0.001059,,,,,,,,,,1218,10,0.00353
,,,,T SUNDUPALLE,76,0.026828,,Chamaneru,1,0.000353,,,,,,,,,,1219,38,0.013414
,,,,T.NARASAPURAM,1,0.000353,,Chandakacherela,9,0.003177,,,,,,,,,,1220,23,0.008119
,,,,TADA,2,0.000706,,Chandaluru,1,0.000353,,,,,,,,,,1221,59,0.020827
,,,,TADIMARRI,17,0.006001,,Chandana,4,0.001412,,,,,,,,,,1222,4,0.001412
,,,,TADPATRI,10,0.00353,,Chandavaram,2,0.000706,,,,,,,,,,1223,5,0.001765
,,,,TALUPULA,20,0.00706,,Chandrapadu,1,0.000353,,,,,,,,,,1224,5,0.001765
,,,,TANAKAL,81,0.028593,,Chandrayyapeta,1,0.000353,,,,,,,,,,1225,25,0.008825
,,,,TANGUTUR,13,0.004589,,Chandrupatla,4,0.001412,,,,,,,,,,1226,2,0.000706
,,,,TARLUPADU,51,0.018003,,Chandulurupadu,1,0.000353,,,,,,,,,,1227,25,0.008825
,,,,TEKKALI,1,0.000353,,Chanugondla,5,0.001765,,,,,,,,,,1228,18,0.006354
,,,,THALLUR,10,0.00353,,Chapiri,5,0.001765,,,,,,,,,,1230,1,0.000353
,,,,THAMBALLAPALLE,42,0.014826,,Charala,2,0.000706,,,,,,,,,,1231,11,0.003883
,,,,THAVANAMPALLE,14,0.004942,,Charupalle,1,0.000353,,,,,,,,,,1232,76,0.026828
,,,,THERLAM,1,0.000353,,Chathram,6,0.002118,,,,,,,,,,1233,11,0.003883
,,,,THONDUR,38,0.013414,,Chattevaripalem,1,0.000353,,,,,,,,,,1234,22,0.007766
,,,,THOTTAMBEDU,22,0.007766,,Chatukupadu,3,0.001059,,,,,,,,,,1235,15,0.005295
,,,,TIRUPATI (RURAL),2,0.000706,,Chavarambakam,4,0.001412,,,,,,,,,,1236,12,0.004236
,,,,TIRUVURU,8,0.002824,,Chavvaripalle,1,0.000353,,,,,,,,,,1237,6,0.002118
,,,,TRIPURANTHAKAM,43,0.015179,,Cheekalaguriki,1,0.000353,,,,,,,,,,1238,25,0.008825
,,,,TUGGALI,27,0.009531,,Cheekatimanipalle,5,0.001765,,,,,,,,,,1239,40,0.01412
,,,,UDAYAGIRI,22,0.007766,,Cheekatipalle,6,0.002118,,,,,,,,,,1240,11,0.003883
,,,,ULAVAPADU,32,0.011296,,Cheekavolu,1,0.000353,,,,,,,,,,1241,13,0.004589
,,,,URAVAKONDA,21,0.007413,,Cheekirenipalle,1,0.000353,,,,,,,,,,1242,22,0.007766
,,,,UYYALAWADA,15,0.005295,,Cheemalapenta,1,0.000353,,,,,,,,,,1243,8,0.002824
,,,,VADAMALAPETA,29,0.010237,,Cheemanapalle,1,0.000353,,,,,,,,,,1244,5,0.001765
,,,,VAJRAKARUR,31,0.010943,,Cheepinapi,1,0.000353,,,,,,,,,,1245,41,0.014473
,,,,VAJRAPUKOTHURU,1,0.000353,,Chekkapuram,2,0.000706,,,,,,,,,,1246,13,0.004589
,,,,VALLUR,1,0.000353,,Chekkunatham,2,0.000706,,,,,,,,,,1247,31,0.010943
,,,,VARADAIAHPALEM,5,0.001765,,Cheldiganipalle,2,0.000706,,,,,,,,,,1248,22,0.007766
,,,,VARIKUNTAPADU,4,0.001412,,Chellelichelimala,3,0.001059,,,,,,,,,,1249,10,0.00353
,,,,VATSAVAI,5,0.001765,,Chellur,1,0.000353,,,,,,,,,,1250,22,0.007766
,,,,VAYALPAD,56,0.019768,,Chenchugudi,1,0.000353,,,,,,,,,,1251,12,0.004236
,,,,VEDURUKUPPAM,93,0.032829,,Chengambakam,1,0.000353,,,,,,,,,,1252,51,0.018003
,,,,VEERABALLE,83,0.029299,,Chenna Reddi Palle,4,0.001412,,,,,,,,,,1253,4,0.001412
,,,,VEERAGHATTAM,5,0.001765,,Chennampalle,7,0.002471,,,,,,,,,,1254,114,0.040242
,,,,VEERAPUNAYUNIPALLE,20,0.00706,,Chennapanayuni Palle,2,0.000706,,,,,,,,,,1255,27,0.009531
,,,,VELDURTHI,4,0.001412,,Chennekothapalle,1,0.000353,,,,,,,,,,1256,1,0.000353
,,,,VELIGANDLA,50,0.01765,,Chennipadu,4,0.001412,,,,,,,,,,1257,7,0.002471
,,,,VEMPALLE,11,0.003883,,Chennupalle,1,0.000353,,,,,,,,,,1258,24,0.008472
,,,,VEMULA,7,0.002471,,Chennuru - I,1,0.000353,,,,,,,,,,1259,30,0.01059
,,,,VENKATAGIRI,1,0.000353,,Cherivi,4,0.001412,,,,,,,,,,1260,25,0.008825
,,,,VENKATAGIRIKOTA,47,0.016591,,Cherlopalle,20,0.00706,,,,,,,,,,1261,4,0.001412
,,,,VIDAPANAKAL,9,0.003177,,Cherlopalli,3,0.001059,,,,,,,,,,1262,41,0.014473
,,,,VIJAYAPURAM,33,0.011649,,Cherukulapadu,3,0.001059,,,,,,,,,,1263,56,0.019768
,,,,VIJAYAWADA (URBAN),1,0.000353,,Cherukur,1,0.000353,,,,,,,,,,1264,46,0.016238
,,,,VINJAMUR,29,0.010237,,Cherukuru,12,0.004236,,,,,,,,,,1266,13,0.004589
,,,,VINUKONDA,7,0.002471,,Cherukuvaripalle,1,0.000353,,,,,,,,,,1267,8,0.002824
,,,,VISSANNAPET,38,0.013414,,Cheruvu Komma Palem,1,0.000353,,,,,,,,,,1268,31,0.010943
,,,,VOLETIVARIPALEM,53,0.018709,,Chettupodilam,7,0.002471,,,,,,,,,,1269,16,0.005648
,,,,VONTIMITTA,2,0.000706,,Chevuru,7,0.002471,,,,,,,,,,1270,20,0.00706
,,,,YADAMARRI,14,0.004942,,Chevuturu,1,0.000353,,,,,,,,,,1271,17,0.006001
,,,,YADIKI,35,0.012355,,Chigarapalle,1,0.000353,,,,,,,,,,1272,20,0.00706
,,,,YEDDANAPUDI,43,0.015179,,Chigathurpi,3,0.001059,,,,,,,,,,1273,26,0.009178
,,,,YELESWARAM,1,0.000353,,Chigicherla,1,0.000353,,,,,,,,,,1274,7,0.002471
,,,,YELLANUR,28,0.009884,,Chilakalapalem,10,0.00353,,,,,,,,,,1275,36,0.012708
,,,,YEMMIGANUR,3,0.001059,,Chilakapadu,5,0.001765,,,,,,,,,,1276,30,0.01059
,,,,YERPEDU,47,0.016591,,Chilamathur,15,0.005295,,,,,,,,,,1277,8,0.002824
,,,,YERRAGONDAPALEM,29,0.010237,,Chilamathur  @  Bangala,2,0.000706,,,,,,,,,,1278,10,0.00353
,,,,YERRAGUNTLA,1,0.000353,,Chilamkur,1,0.000353,,,,,,,,,,1279,20,0.00706
,,,,YERRAVARIPALEM,101,0.035653,,Chilamkuru,5,0.001765,,,,,,,,,,1280,9,0.003177
,,,,ZARUGUMILLI,66,0.023298,,Chilekampalle,13,0.004589,,,,,,,,,,1281,12,0.004236
,,,,(blank),,,,Chillakur,1,0.000353,,,,,,,,,,1282,13,0.004589
,,,,Grand Total,9179,3.240187,,Chillamuru,4,0.001412,,,,,,,,,,1283,17,0.006001
,,,,,,,,Chillavaripalle,1,0.000353,,,,,,,,,,1284,17,0.006001
,,,,,,,,Chimata,3,0.001059,,,,,,,,,,1285,6,0.002118
,,,,,,,,China Annaluru,7,0.002471,,,,,,,,,,1287,19,0.006707
,,,,,,,,China Cumbum,1,0.000353,,,,,,,,,,1288,11,0.003883
,,,,,,,,China Dornala,2,0.000706,,,,,,,,,,1289,19,0.006707
,,,,,,,,China Gopavaram,4,0.001412,,,,,,,,,,1290,25,0.008825
,,,,,,,,China Irlapadu,2,0.000706,,,,,,,,,,1291,28,0.009884
,,,,,,,,China Thayyur,2,0.000706,,,,,,,,,,1292,22,0.007766
,,,,,,,,China Uyyalawada,1,0.000353,,,,,,,,,,1293,9,0.003177
,,,,,,,,China Venkana Palem,1,0.000353,,,,,,,,,,1294,5,0.001765
,,,,,,,,Chinaalavala Padu,1,0.000353,,,,,,,,,,1295,20,0.00706
,,,,,,,,Chinagandlapalle,1,0.000353,,,,,,,,,,1296,8,0.002824
,,,,,,,,Chinaganipalle,1,0.000353,,,,,,,,,,1297,14,0.004942
,,,,,,,,Chinagolla Palle,6,0.002118,,,,,,,,,,1298,1,0.000353
,,,,,,,,Chinakada,1,0.000353,,,,,,,,,,1299,22,0.007766
,,,,,,,,Chinakandla Gunta,9,0.003177,,,,,,,,,,1301,1,0.000353
,,,,,,,,Chinakotha Palle,1,0.000353,,,,,,,,,,1303,3,0.001059
,,,,,,,,Chinala Trapi,4,0.001412,,,,,,,,,,1305,3,0.001059
,,,,,,,,Chinamachanur,1,0.000353,,,,,,,,,,1306,4,0.001412
,,,,,,,,Chinapavani,1,0.000353,,,,,,,,,,1307,4,0.001412
,,,,,,,,Chinarama,2,0.000706,,,,,,,,,,1308,13,0.004589
,,,,,,,,Chinarikatla,3,0.001059,,,,,,,,,,1309,6,0.002118
,,,,,,,,Chinavari Madugu,1,0.000353,,,,,,,,,,1310,5,0.001765
,,,,,,,,Chinayerasala,1,0.000353,,,,,,,,,,1313,3,0.001059
,,,,,,,,Chinna Bangarunatham,1,0.000353,,,,,,,,,,1316,4,0.001412
,,,,,,,,Chinna Hulthi,17,0.006001,,,,,,,,,,1317,12,0.004236
,,,,,,,,Chinna Musturu,1,0.000353,,,,,,,,,,1320,2,0.000706
,,,,,,,,Chinnabammidi,1,0.000353,,,,,,,,,,1321,5,0.001765
,,,,,,,,Chinnachigullarevu,2,0.000706,,,,,,,,,,1323,2,0.000706
,,,,,,,,Chinnadimili,2,0.000706,,,,,,,,,,1325,2,0.000706
,,,,,,,,Chinnadudyala,6,0.002118,,,,,,,,,,1326,1,0.000353
,,,,,,,,Chinnagollapalle,1,0.000353,,,,,,,,,,1327,8,0.002824
,,,,,,,,Chinnagotti Gallu,2,0.000706,,,,,,,,,,1328,7,0.002471
,,,,,,,,Chinnaguruvuru,1,0.000353,,,,,,,,,,1329,4,0.001412
,,,,,,,,Chinnahyta,2,0.000706,,,,,,,,,,1330,4,0.001412
,,,,,,,,Chinnajimedu,1,0.000353,,,,,,,,,,1331,2,0.000706
,,,,,,,,Chinnajonnavalasa,1,0.000353,,,,,,,,,,1332,3,0.001059
,,,,,,,,Chinnamallepalle,1,0.000353,,,,,,,,,,1333,6,0.002118
,,,,,,,,Chinnamallipuram,1,0.000353,,,,,,,,,,1334,1,0.000353
,,,,,,,,Chinnamandem,14,0.004942,,,,,,,,,,1335,1,0.000353
,,,,,,,,Chinnamareddi Khandriga,3,0.001059,,,,,,,,,,1336,4,0.001412
,,,,,,,,Chinnaobba,2,0.000706,,,,,,,,,,1338,5,0.001765
,,,,,,,,Chinnapadmapuram,1,0.000353,,,,,,,,,,1339,1,0.000353
,,,,,,,,Chinnaparthikunta,1,0.000353,,,,,,,,,,1340,9,0.003177
,,,,,,,,Chinnaponguppalle,1,0.000353,,,,,,,,,,1342,2,0.000706
,,,,,,,,Chinnaramannagaripalle,4,0.001412,,,,,,,,,,1343,1,0.000353
,,,,,,,,Chinnasunnapuram,1,0.000353,,,,,,,,,,1344,2,0.000706
,,,,,,,,Chinnavadugur,2,0.000706,,,,,,,,,,1345,4,0.001412
,,,,,,,,Chinnavepanjeri,1,0.000353,,,,,,,,,,1347,5,0.001765
,,,,,,,,Chinnavullagallu,2,0.000706,,,,,,,,,,1348,10,0.00353
,,,,,,,,Chinnayapalle,1,0.000353,,,,,,,,,,1349,3,0.001059
,,,,,,,,Chintacheruvu,1,0.000353,,,,,,,,,,1350,3,0.001059
,,,,,,,,Chintada,1,0.000353,,,,,,,,,,1351,3,0.001059
,,,,,,,,Chintagunta,1,0.000353,,,,,,,,,,1352,8,0.002824
,,,,,,,,Chintakunta,4,0.001412,,,,,,,,,,1353,1,0.000353
,,,,,,,,Chintala Palem,2,0.000706,,,,,,,,,,1354,10,0.00353
,,,,,,,,Chintalapalem,3,0.001059,,,,,,,,,,1355,16,0.005648
,,,,,,,,Chintalapalle,1,0.000353,,,,,,,,,,1356,5,0.001765
,,,,,,,,Chintalapudi,1,0.000353,,,,,,,,,,1357,4,0.001412
,,,,,,,,Chintapalle,1,0.000353,,,,,,,,,,1358,8,0.002824
,,,,,,,,Chintaparthi,7,0.002471,,,,,,,,,,1359,9,0.003177
,,,,,,,,Chintarlapalle,7,0.002471,,,,,,,,,,1360,28,0.009884
,,,,,,,,Chinthagum Palle,7,0.002471,,,,,,,,,,1361,11,0.003883
,,,,,,,,Chinthakampalle,2,0.000706,,,,,,,,,,1365,2,0.000706
,,,,,,,,Chinthakunta,5,0.001765,,,,,,,,,,1366,11,0.003883
,,,,,,,,Chinthala Palle,2,0.000706,,,,,,,,,,1367,10,0.00353
,,,,,,,,Chinthalabadavanja,1,0.000353,,,,,,,,,,1370,15,0.005295
,,,,,,,,Chinthalavaripalle,11,0.003883,,,,,,,,,,1371,11,0.003883
,,,,,,,,Chinthapudi,1,0.000353,,,,,,,,,,1373,32,0.011296
,,,,,,,,Chiramana,13,0.004589,,,,,,,,,,1374,6,0.002118
,,,,,,,,Chirla Dinne,7,0.002471,,,,,,,,,,1375,3,0.001059
,,,,,,,,Chirrikura Padu,7,0.002471,,,,,,,,,,1377,5,0.001765
,,,,,,,,Chitipiralla,4,0.001412,,,,,,,,,,1378,11,0.003883
,,,,,,,,Chitlur,6,0.002118,,,,,,,,,,1379,1,0.000353
,,,,,,,,Chitrakota Boddavalasa,1,0.000353,,,,,,,,,,(blank),,
,,,,,,,,Chittaluru,1,0.000353,,,,,,,,,,Grand Total,9179,3.240187
,,,,,,,,Chittamur,15,0.005295,,,,,,,,,,,,
,,,,,,,,Chittapara,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chittathur Kale  Palle,13,0.004589,,,,,,,,,,,,
,,,,,,,,Chittecherla,6,0.002118,,,,,,,,,,,,
,,,,,,,,Chittiboyanapalle,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chittipuram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chittivalasa,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chittodu,5,0.001765,,,,,,,,,,,,
,,,,,,,,Chitvel,4,0.001412,,,,,,,,,,,,
,,,,,,,,Chityala,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chiyyedu,2,0.000706,,,,,,,,,,,,
,,,,,,,,Chodavaram,2,0.000706,,,,,,,,,,,,
,,,,,,,,Cholasamudram,1,0.000353,,,,,,,,,,,,
,,,,,,,,Chorlangi,1,0.000353,,,,,,,,,,,,
,,,,,,,,Choutaputhedu,1,0.000353,,,,,,,,,,,,
