District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,MUNAGAPAKA,10,0.00353,,Beniavooru,1,0.000353,,,,,,,,,,1021,37,0.013061
,,,,MUNDLAMURU,53,0.018709,,Benkili,1,0.000353,,,,,,,,,,1022,21,0.007413
,,,,MUSUNURU,7,0.002471,,Bennayanuru,1,0.000353,,,,,,,,,,1023,19,0.006707
,,,,MYLAVARAM,16,0.005648,,Besiramachandrapuram,1,0.000353,,,,,,,,,,1024,22,0.007766
,,,,NAGALAPURAM,9,0.003177,,Bestharapalle,14,0.004942,,,,,,,,,,1025,22,0.007766
,,,,NAGARI,15,0.005295,,Bethalapuram,3,0.001059,,,,,,,,,,1026,84,0.029652
,,,,NAGULUPPALAPADU,6,0.002118,,Bethamcherla,8,0.002824,,,,,,,,,,1027,57,0.020121
,,,,NAKKAPALLI,8,0.002824,,Bethapalle,1,0.000353,,,,,,,,,,1028,2,0.000706
,,,,NALLACHERUVU,72,0.025416,,Bevanapalle,3,0.001059,,,,,,,,,,1029,67,0.023651
,,,,NALLAMADA,91,0.032123,,Bevina Halli,5,0.001765,,,,,,,,,,1030,1,0.000353
,,,,NAMBULIPULIKUNTA,63,0.022239,,Bhakarapet,5,0.001765,,,,,,,,,,1031,3,0.001059
,,,,NANDALUR,4,0.001412,,Bhamini,1,0.000353,,,,,,,,,,1033,3,0.001059
,,,,NANDAVARAM,3,0.001059,,Bhanumukkala,1,0.000353,,,,,,,,,,1034,16,0.005648
,,,,NANDIGAM,45,0.015885,,Bhatla Palle,2,0.000706,,,,,,,,,,1035,9,0.003177
,,,,NANDIGAMA,22,0.007766,,Bhatlapudi,1,0.000353,,,,,,,,,,1036,40,0.01412
,,,,NANDIKOTKUR,8,0.002824,,Bhatlova,1,0.000353,,,,,,,,,,1037,30,0.01059
,,,,NARASANNAPETA,40,0.01412,,Bheemaboinapalem,2,0.000706,,,,,,,,,,1038,14,0.004942
,,,,NARAYANAVANAM,5,0.001765,,Bheemaganipalle,4,0.001412,,,,,,,,,,1039,16,0.005648
,,,,NARPALA,19,0.006707,,Bheemagundam,1,0.000353,,,,,,,,,,1040,14,0.004942
,,,,NARSIPATNAM,3,0.001059,,Bheemali,1,0.000353,,,,,,,,,,1041,1,0.000353
,,,,NATHAVARAM,12,0.004236,,Bheemavaram,4,0.001412,,,,,,,,,,1042,5,0.001765
,,,,NEKARIKALLU,6,0.002118,,Bhimavaram,5,0.001765,,,,,,,,,,1043,19,0.006707
,,,,NELLIMARLA,27,0.009531,,Bhimavarapukota,2,0.000706,,,,,,,,,,1044,6,0.002118
,,,,NIMMANAPALLE,8,0.002824,,Bhimolu,1,0.000353,,,,,,,,,,1045,39,0.013767
,,,,NINDRA,34,0.012002,,Bhogasamudram,1,0.000353,,,,,,,,,,1046,10,0.00353
,,,,NUZENDLA,6,0.002118,,Bhoomireddipalle,2,0.000706,,,,,,,,,,1047,40,0.01412
,,,,NUZVID,4,0.001412,,Bhubandavalasa,4,0.001412,,,,,,,,,,1048,32,0.011296
,,,,OBULADEVARACHERUVU,23,0.008119,,Bhumanapalle,1,0.000353,,,,,,,,,,1049,10,0.00353
,,,,OBULAVARIPALLE,13,0.004589,,Bhupana Guntla,3,0.001059,,,,,,,,,,1050,12,0.004236
,,,,OJILI,1,0.000353,,Bhupasamudram,1,0.000353,,,,,,,,,,1051,6,0.002118
,,,,ONGOLE,8,0.002824,,Bhupathi Palle,1,0.000353,,,,,,,,,,1052,119,0.042007
,,,,ORVAKAL,41,0.014473,,Bhyravanithippa,1,0.000353,,,,,,,,,,1053,132,0.046596
,,,,OWK,5,0.001765,,Bidimi,1,0.000353,,,,,,,,,,1054,30,0.01059
,,,,PACHIPENTA,45,0.015885,,Bidurukontham,5,0.001765,,,,,,,,,,1055,94,0.033182
,,,,PADMANABHAM,16,0.005648,,Bijiganipalle,1,0.000353,,,,,,,,,,1056,95,0.033535
,,,,PAGIDYALA,1,0.000353,,Billananduru,2,0.000706,,,,,,,,,,1057,52,0.018356
,,,,PAKALA,26,0.009178,,Bingini Palle,6,0.002118,,,,,,,,,,1058,92,0.032476
,,,,PALAKONDA,19,0.006707,,Birlangi,1,0.000353,,,,,,,,,,1059,39,0.013767
,,,,PALAMANER,14,0.004942,,Bisanatham,1,0.000353,,,,,,,,,,1060,47,0.016591
,,,,PALASA,41,0.014473,,Bitrapadu,2,0.000706,,,,,,,,,,1061,22,0.007766
,,,,PALASAMUDRAM,41,0.014473,,Bobbe Palle,2,0.000706,,,,,,,,,,1063,111,0.039183
,,,,PAMIDI,20,0.00706,,Bobbilipeta,1,0.000353,,,,,,,,,,1064,22,0.007766
,,,,PAMULAPADU,15,0.005295,,Bodaguttapalle,3,0.001059,,,,,,,,,,1065,90,0.03177
,,,,PAMUR,63,0.022239,,Bodanampadu,1,0.000353,,,,,,,,,,1066,55,0.019415
,,,,PANYAM,4,0.001412,,Bodapalem,1,0.000353,,,,,,,,,,1067,58,0.020474
,,,,PARAVADA,9,0.003177,,Bodavada,2,0.000706,,,,,,,,,,1068,78,0.027534
,,,,PARCHUR,19,0.006707,,Bodavula Dinne,3,0.001059,,,,,,,,,,1069,36,0.012708
,,,,PARIGI,19,0.006707,,Bodawadamandagunta,2,0.000706,,,,,,,,,,1070,59,0.020827
,,,,PARVATHIPURAM,19,0.006707,,Boddabada,1,0.000353,,,,,,,,,,1071,169,0.059657
,,,,PATHAPATNAM,28,0.009884,,Boddakali,3,0.001059,,,,,,,,,,1072,99,0.034947
,,,,PATTIKONDA,22,0.007766,,Boddam,2,0.000706,,,,,,,,,,1073,54,0.019062
,,,,PAYAKARAOPETA,3,0.001059,,Boddapadu,2,0.000706,,,,,,,,,,1075,34,0.012002
,,,,PEAPALLY,15,0.005295,,Boddavaram,1,0.000353,,,,,,,,,,1101,4,0.001412
,,,,PEDA  ARAVEEDU,6,0.002118,,Boddecherla,1,0.000353,,,,,,,,,,1102,1,0.000353
,,,,PEDABAYALU,3,0.001059,,Boddikura Padu,2,0.000706,,,,,,,,,,1104,24,0.008472
,,,,PEDACHERLO PALLE,49,0.017297,,Bodduvani Palem,1,0.000353,,,,,,,,,,1106,43,0.015179
,,,,PEDDA KADUBUR,3,0.001059,,Bodevandlapalle,13,0.004589,,,,,,,,,,1107,35,0.012355
,,,,PEDDA THIPPASAMUDRAM,51,0.018003,,Bodiganidoddi,1,0.000353,,,,,,,,,,1108,6,0.002118
,,,,PEDDAMANDYAM,80,0.02824,,Bodiguttapalle,4,0.001412,,,,,,,,,,1109,5,0.001765
,,,,PEDDAMUDIUM,1,0.000353,,Bodireddigaripalle,2,0.000706,,,,,,,,,,1110,10,0.00353
,,,,PEDDAPANJANI,93,0.032829,,Bodlapadu,1,0.000353,,,,,,,,,,1111,8,0.002824
,,,,PEDDAPAPPUR,26,0.009178,,Bodumalluvaripalle,2,0.000706,,,,,,,,,,1112,3,0.001059
,,,,PEDDAVADUGUR,23,0.008119,,Boduvalasa,3,0.001059,,,,,,,,,,1113,9,0.003177
,,,,PELLAKUR,1,0.000353,,Boganampadu,16,0.005648,,,,,,,,,,1115,10,0.00353
,,,,PENAGALUR,13,0.004589,,Boggupalle,1,0.000353,,,,,,,,,,1116,5,0.001765
,,,,PENDLIMARRI,23,0.008119,,Bogolu,5,0.001765,,,,,,,,,,1117,1,0.000353
,,,,PENUGANCHIPROLU,5,0.001765,,Bojjinayanipalle,2,0.000706,,,,,,,,,,1118,1,0.000353
,,,,PENUKONDA,56,0.019768,,Bokkasam Palem,3,0.001059,,,,,,,,,,1119,6,0.002118
,,,,PENUMURU,52,0.018356,,Bolla Palle,2,0.000706,,,,,,,,,,1124,2,0.000706
,,,,PICHATUR,13,0.004589,,Bollavaram,4,0.001412,,,,,,,,,,1126,28,0.009884
,,,,PIDUGURALLA,1,0.000353,,Bommagundanahalli,3,0.001059,,,,,,,,,,1127,80,0.02824
,,,,PILERU,73,0.025769,,Bommaiahgari Palle,5,0.001765,,,,,,,,,,1128,44,0.015532
,,,,PODALAKUR,4,0.001412,,Bommanahal,1,0.000353,,,,,,,,,,1130,5,0.001765
,,,,PODILI,21,0.007413,,Bommarajupalle,2,0.000706,,,,,,,,,,1131,16,0.005648
,,,,POLAKI,8,0.002824,,Bommika,1,0.000353,,,,,,,,,,1132,12,0.004236
,,,,PONDURU,6,0.002118,,Bommika Jagannadhapuram,1,0.000353,,,,,,,,,,1133,6,0.002118
,,,,PONNALURU,81,0.028593,,Bomminaidu Valasa,1,0.000353,,,,,,,,,,1134,10,0.00353
,,,,PORUMAMILLA,21,0.007413,,Bommireddi Palle,2,0.000706,,,,,,,,,,1135,12,0.004236
,,,,PRATHIPADU,13,0.004589,,Bonamala,4,0.001412,,,,,,,,,,1136,7,0.002471
,,,,PULICHERLA,19,0.006707,,Bondalakunta,5,0.001765,,,,,,,,,,1138,2,0.000706
,,,,PULIVENDLA,9,0.003177,,Bondankal,7,0.002471,,,,,,,,,,1139,13,0.004589
,,,,PULLALACHERUVU,46,0.016238,,Bondapalle,3,0.001059,,,,,,,,,,1140,38,0.013414
,,,,PULLAMPETA,8,0.002824,,Bonnuvada,2,0.000706,,,,,,,,,,1141,22,0.007766
,,,,PUNGANUR,59,0.020827,,Bontha Vari Palle,3,0.001059,,,,,,,,,,1142,10,0.00353
,,,,PUSAPATIREGA,4,0.001412,,Bonthalapalle,3,0.001059,,,,,,,,,,1144,13,0.004589
,,,,PUTHALAPATTU,81,0.028593,,Bonthu,5,0.001765,,,,,,,,,,1145,7,0.002471
,,,,PUTLUR,26,0.009178,,Booragamanda,1,0.000353,,,,,,,,,,1146,2,0.000706
,,,,PUTTAPARTHI,37,0.013061,,Boorlapalle,3,0.001059,,,,,,,,,,1147,4,0.001412
,,,,PUTTUR,15,0.005295,,Boppaipuram,9,0.003177,,,,,,,,,,1148,11,0.003883
,,,,RACHERLA,57,0.020121,,Boppepalle,2,0.000706,,,,,,,,,,1149,7,0.002471
,,,,RAJAM,15,0.005295,,Bore,1,0.000353,,,,,,,,,,1150,3,0.001059
,,,,RAJAMPET,39,0.013767,,Borigivalasa,10,0.00353,,,,,,,,,,1151,12,0.004236
,,,,RAJAVOMMANGI,4,0.001412,,Borivanka,3,0.001059,,,,,,,,,,1152,3,0.001059
,,,,RAMABHADRAPURAM,19,0.006707,,Borramambapuram,1,0.000353,,,,,,,,,,1153,8,0.002824
,,,,RAMACHANDRAPURAM,7,0.002471,,Borramamidi,1,0.000353,,,,,,,,,,1155,12,0.004236
,,,,RAMAGIRI,25,0.008825,,Borrampeta,1,0.000353,,,,,,,,,,1156,35,0.012355
,,,,RAMAKUPPAM,88,0.031064,,Borubhadra,7,0.002471,,,,,,,,,,1157,31,0.010943
,,,,RAMAPURAM,29,0.010237,,Botla Gudur,7,0.002471,,,,,,,,,,1158,52,0.018356
,,,,RAMASAMUDRAM,38,0.013414,,Botlacheruvu,1,0.000353,,,,,,,,,,1159,60,0.02118
,,,,RAMBILLI,1,0.000353,,Boya Chinnaganna Palle,1,0.000353,,,,,,,,,,1160,32,0.011296
,,,,RAMPACHODAVARAM,4,0.001412,,Boyala Palle,3,0.001059,,,,,,,,,,1161,49,0.017297
,,,,RANASTALAM,24,0.008472,,Boyala Tadipatri,3,0.001059,,,,,,,,,,1162,27,0.009531
,,,,RAPTADU,9,0.003177,,Boyala Uppalur,2,0.000706,,,,,,,,,,1164,29,0.010237
,,,,RAPUR,1,0.000353,,Boyalapalle,1,0.000353,,,,,,,,,,1165,6,0.002118
,,,,RAVIKAMATAM,7,0.002471,,Boyamadugula,8,0.002824,,,,,,,,,,1166,3,0.001059
,,,,RAYACHOTI,26,0.009178,,Boyanapalle,6,0.002118,,,,,,,,,,1167,20,0.00706
,,,,RAYADURG,18,0.006354,,Brahmana Palle,1,0.000353,,,,,,,,,,1168,15,0.005295
,,,,REDDIGUDEM,2,0.000706,,Brahmana Yaleru,1,0.000353,,,,,,,,,,1169,5,0.001765
,,,,REGIDIAMADALAVALASA,32,0.011296,,Brahmana Yerragudi,9,0.003177,,,,,,,,,,1170,1,0.000353
,,,,RENIGUNTA,38,0.013414,,Brahmanadoddi,1,0.000353,,,,,,,,,,1171,3,0.001059
,,,,RODDAM,34,0.012002,,Brahmanapalle,9,0.003177,,,,,,,,,,1173,9,0.003177
,,,,ROLLA,13,0.004589,,Brahmasamudram,2,0.000706,,,,,,,,,,1174,4,0.001412
,,,,ROLUGUNTA,8,0.002824,,Brundavanam,4,0.001412,,,,,,,,,,1175,4,0.001412
,,,,ROMPICHERLA,48,0.016944,,Buchivanatham,1,0.000353,,,,,,,,,,1176,4,0.001412
,,,,ROWTHULAPUDI,7,0.002471,,Budamkayala Padu,1,0.000353,,,,,,,,,,1201,1,0.000353
,,,,RUDRAVARAM,3,0.001059,,Budarayavalasa,3,0.001059,,,,,,,,,,1202,9,0.003177
,,,,S RAYAVARAM,7,0.002471,,Budatanapalle,1,0.000353,,,,,,,,,,1203,35,0.012355
,,,,S.MYDUKUR,2,0.000706,,Budathavalasa,5,0.001765,,,,,,,,,,1204,2,0.000706
,,,,SABBAVARAM,20,0.00706,,Budavada,2,0.000706,,,,,,,,,,1205,23,0.008119
,,,,SALUR,21,0.007413,,Budawada,2,0.000706,,,,,,,,,,1206,1,0.000353
,,,,SAMBEPALLE,42,0.014826,,Buddepalle,1,0.000353,,,,,,,,,,1207,5,0.001765
,,,,SANJAMALA,2,0.000706,,Budidavedu,5,0.001765,,,,,,,,,,1208,13,0.004589
,,,,SANKHAVARAM,1,0.000353,,Budigumma,2,0.000706,,,,,,,,,,1209,32,0.011296
,,,,SANTHABOMMALI,37,0.013061,,Budili,14,0.004942,,,,,,,,,,1210,21,0.007413
,,,,SANTHAKAVITI,5,0.001765,,Budithi,2,0.000706,,,,,,,,,,1212,35,0.012355
,,,,SANTHAMAGULURU,22,0.007766,,Budumuru,3,0.001059,,,,,,,,,,1213,5,0.001765
,,,,SANTHANUTHALA PADU,5,0.001765,,Buduruvada,2,0.000706,,,,,,,,,,1214,28,0.009884
,,,,SANTHIPURAM,182,0.064246,,Bugganapalli,6,0.002118,,,,,,,,,,1215,25,0.008825
,,,,SARAVAKOTA,89,0.031417,,Bukkacherla,3,0.001059,,,,,,,,,,1217,9,0.003177
,,,,SARUBUJJILI,19,0.006707,,Bukkapatnam,6,0.002118,,,,,,,,,,1218,1,0.000353
,,,,SATYAVEDU,4,0.001412,,Bukkapuram,3,0.001059,,,,,,,,,,1219,4,0.001412
,,,,SAVALYAPURAM,4,0.001412,,Bukkarayasamudram,2,0.000706,,,,,,,,,,1220,10,0.00353
,,,,SEETHAMPETA,114,0.040242,,Bullasamudram,1,0.000353,,,,,,,,,,1221,28,0.009884
,,,,SEETHANAGARAM,10,0.00353,,Burada Palem,1,0.000353,,,,,,,,,,1222,3,0.001059
,,,,SEETHARAMAPURAM,3,0.001059,,Buradapadu,1,0.000353,,,,,,,,,,1224,1,0.000353
,,,,SETTUR,25,0.008825,,Buradapeta,3,0.001059,,,,,,,,,,1225,37,0.013061
,,,,SIDHOUT,43,0.015179,,Burakayalakota,4,0.001412,,,,,,,,,,1226,5,0.001765
,,,,SIMHADRIPURAM,15,0.005295,,Burandoddi,2,0.000706,,,,,,,,,,1227,34,0.012002
,,,,SINGANAMALA,12,0.004236,,Buravalli,2,0.000706,,,,,,,,,,1228,12,0.004236
,,,,SINGARAYAKONDA,34,0.012002,,Burja,1,0.000353,,,,,,,,,,1229,1,0.000353
,,,,SIRVEL,2,0.000706,,Burjapadu,3,0.001059,,,,,,,,,,1231,47,0.016591
,,,,SODAM,40,0.01412,,Burugugudem,1,0.000353,,,,,,,,,,1232,12,0.004236
,,,,SOMALA,32,0.011296,,Bussaiahgaripalle,2,0.000706,,,,,,,,,,1233,17,0.006001
,,,,SOMANDEPALLE,22,0.007766,,Buttayagudem,1,0.000353,,,,,,,,,,1234,19,0.006707
,,,,SOMPETA,16,0.005648,,Bydalapuram,2,0.000706,,,,,,,,,,1235,18,0.006354
,,,,SRI AVADHUTHA KASINAYANA,10,0.00353,,Byluppala,1,0.000353,,,,,,,,,,1236,2,0.000706
,,,,SRIKAKULAM,16,0.005648,,Bypalle,1,0.000353,,,,,,,,,,1237,7,0.002471
,,,,SRIKALAHASTI,46,0.016238,,Bytamanjulur,2,0.000706,,,,,,,,,,1238,25,0.008825
,,,,SRIRANGARAJAPURAM,140,0.04942,,C G Chamarthivarikhandrika,1,0.000353,,,,,,,,,,1239,34,0.012002
,,,,SRUNGAVARAPUKOTA,3,0.001059,,C G Mamidalavarikhandrika,2,0.000706,,,,,,,,,,1240,2,0.000706
,,,,SULLURPETA,7,0.002471,,C.Kodigepalle,2,0.000706,,,,,,,,,,1241,13,0.004589
,,,,SYDAPURAM,1,0.000353,,C.Kothapalle,1,0.000353,,,,,,,,,,1242,64,0.022592
,,,,T SUNDUPALLE,67,0.023651,,Chabala,1,0.000353,,,,,,,,,,1243,3,0.001059
,,,,T.NARASAPURAM,2,0.000706,,Chadalawada,1,0.000353,,,,,,,,,,1245,15,0.005295
,,,,TADA,4,0.001412,,Chadalla,2,0.000706,,,,,,,,,,1246,36,0.012708
,,,,TADIMARRI,25,0.008825,,Chagaleru,5,0.001765,,,,,,,,,,1247,70,0.02471
,,,,TADPATRI,10,0.00353,,Chagallu,1,0.000353,,,,,,,,,,1248,41,0.014473
,,,,TALUPULA,12,0.004236,,Chagaluru,21,0.007413,,,,,,,,,,1249,4,0.001412
,,,,TANAKAL,122,0.043066,,Chakalakonda,1,0.000353,,,,,,,,,,1250,14,0.004942
,,,,TANGUTUR,121,0.042713,,Chakarajuvemula,1,0.000353,,,,,,,,,,1251,35,0.012355
,,,,TARLUPADU,46,0.016238,,Chakirala,1,0.000353,,,,,,,,,,1252,22,0.007766
,,,,TEKKALI,27,0.009531,,Chakkaralla,3,0.001059,,,,,,,,,,1253,9,0.003177
,,,,THALLUR,10,0.00353,,Chakrayapeta,3,0.001059,,,,,,,,,,1254,54,0.019062
,,,,THAMBALLAPALLE,42,0.014826,,Chalamangalam,2,0.000706,,,,,,,,,,1255,32,0.011296
,,,,THAVANAMPALLE,45,0.015885,,Chalamcherla,1,0.000353,,,,,,,,,,1256,3,0.001059
,,,,THERLAM,26,0.009178,,Chalikam,3,0.001059,,,,,,,,,,1257,8,0.002824
,,,,THONDUR,55,0.019415,,Chalivendala,6,0.002118,,,,,,,,,,1258,30,0.01059
,,,,THOTTAMBEDU,12,0.004236,,Challagirigala,3,0.001059,,,,,,,,,,1259,25,0.008825
,,,,TIRUPATI (RURAL),1,0.000353,,Challagirigella,1,0.000353,,,,,,,,,,1260,18,0.006354
,,,,TIRUVURU,1,0.000353,,Challavaripalle,2,0.000706,,,,,,,,,,1261,4,0.001412
,,,,TRIPURANTHAKAM,11,0.003883,,Chamachenubylu,1,0.000353,,,,,,,,,,1262,75,0.026475
,,,,TUGGALI,24,0.008472,,Chamalagondi,6,0.002118,,,,,,,,,,1263,41,0.014473
,,,,TUNI,2,0.000706,,Chamaluru,5,0.001765,,,,,,,,,,1264,45,0.015885
,,,,UDAYAGIRI,10,0.00353,,Chandaluru,2,0.000706,,,,,,,,,,1265,2,0.000706
,,,,ULAVAPADU,2,0.000706,,Chandana,5,0.001765,,,,,,,,,,1266,25,0.008825
,,,,URAVAKONDA,16,0.005648,,Chandavaram,2,0.000706,,,,,,,,,,1267,14,0.004942
,,,,UYYALAWADA,3,0.001059,,Chandra Sekhara Puram,5,0.001765,,,,,,,,,,1268,24,0.008472
,,,,VADAMALAPETA,18,0.006354,,Chandragudem,5,0.001765,,,,,,,,,,1269,19,0.006707
,,,,VAJRAKARUR,25,0.008825,,Chandrapadu,1,0.000353,,,,,,,,,,1270,19,0.006707
,,,,VAJRAPUKOTHURU,38,0.013414,,Chandrapalle,1,0.000353,,,,,,,,,,1271,7,0.002471
,,,,VALLUR,3,0.001059,,Chandrupatla,2,0.000706,,,,,,,,,,1272,40,0.01412
,,,,VANGARA,5,0.001765,,Chanugondla,1,0.000353,,,,,,,,,,1273,18,0.006354
,,,,VARADAIAHPALEM,3,0.001059,,Chapala Madugu,4,0.001412,,,,,,,,,,1274,26,0.009178
,,,,VARIKUNTAPADU,2,0.000706,,Chappidipalle,9,0.003177,,,,,,,,,,1275,16,0.005648
,,,,VATSAVAI,7,0.002471,,Charala,6,0.002118,,,,,,,,,,1276,21,0.007413
,,,,VAYALPAD,42,0.014826,,Charanadasupuram,4,0.001412,,,,,,,,,,1277,3,0.001059
,,,,VEDURUKUPPAM,89,0.031417,,Charupalle,7,0.002471,,,,,,,,,,1278,14,0.004942
,,,,VEERABALLE,48,0.016944,,Chatrai,2,0.000706,,,,,,,,,,1279,11,0.003883
,,,,VEERAGHATTAM,58,0.020474,,Chatrapuram,1,0.000353,,,,,,,,,,1280,10,0.00353
,,,,VEERAPUNAYUNIPALLE,13,0.004589,,Chattevaripalem,5,0.001765,,,,,,,,,,1281,11,0.003883
,,,,VEERULLAPADU,2,0.000706,,Chatukupadu,1,0.000353,,,,,,,,,,1282,11,0.003883
,,,,VELAIRPADU,1,0.000353,,Cheedikada,1,0.000353,,,,,,,,,,1283,32,0.011296
,,,,VELDURTHI,5,0.001765,,Cheekalaguriki,3,0.001059,,,,,,,,,,1284,70,0.02471
,,,,VELIGANDLA,98,0.034594,,Cheekatipalle,18,0.006354,,,,,,,,,,1285,12,0.004236
,,,,VEMPALLE,17,0.006001,,Cheekavolu,1,0.000353,,,,,,,,,,1286,1,0.000353
,,,,VEMULA,14,0.004942,,Cheemalamarri,1,0.000353,,,,,,,,,,1287,18,0.006354
,,,,VENKATAGIRIKOTA,57,0.020121,,Cheemanapalle,9,0.003177,,,,,,,,,,1288,11,0.003883
,,,,VEPADA,16,0.005648,,Cheepurupalle,1,0.000353,,,,,,,,,,1289,3,0.001059
,,,,VIDAPANAKAL,15,0.005295,,Chejerla,6,0.002118,,,,,,,,,,1290,40,0.01412
,,,,VIJAYAPURAM,7,0.002471,,Chekkunatham,1,0.000353,,,,,,,,,,1291,41,0.014473
,,,,VIJAYAWADA (RURAL),2,0.000706,,Chelimella,4,0.001412,,,,,,,,,,1292,13,0.004589
,,,,VINJAMUR,3,0.001059,,Chellelichelimala,6,0.002118,,,,,,,,,,1293,6,0.002118
,,,,VINUKONDA,1,0.000353,,Chellur,5,0.001765,,,,,,,,,,1294,4,0.001412
,,,,VISSANNAPET,29,0.010237,,Chembakur,13,0.004589,,,,,,,,,,1295,21,0.007413
,,,,VIZIANAGARAM,1,0.000353,,Chemuru,2,0.000706,,,,,,,,,,1296,11,0.003883
,,,,VOLETIVARIPALEM,29,0.010237,,Chenchugudi,1,0.000353,,,,,,,,,,1297,16,0.005648
,,,,VONTIMITTA,35,0.012355,,Chennaiahgaripalle,1,0.000353,,,,,,,,,,1298,7,0.002471
,,,,Y.RAMAVARAM,9,0.003177,,Chennampalle,5,0.001765,,,,,,,,,,1299,12,0.004236
,,,,YADAMARRI,25,0.008825,,Chennamukkapalle,1,0.000353,,,,,,,,,,1301,9,0.003177
,,,,YADIKI,58,0.020474,,Chennapanayuni Palle,3,0.001059,,,,,,,,,,1302,8,0.002824
,,,,YEDDANAPUDI,26,0.009178,,Chennareddipalle,1,0.000353,,,,,,,,,,1303,4,0.001412
,,,,YELAMANCHILI,4,0.001412,,Chennavaram,1,0.000353,,,,,,,,,,1305,3,0.001059
,,,,YELESWARAM,3,0.001059,,Chennekothapalle,1,0.000353,,,,,,,,,,1306,2,0.000706
,,,,YELLANUR,24,0.008472,,Chennipadu,5,0.001765,,,,,,,,,,1307,13,0.004589
,,,,YEMMIGANUR,11,0.003883,,Cherakupalle,1,0.000353,,,,,,,,,,1308,6,0.002118
,,,,YERPEDU,23,0.008119,,Cherlopalle,9,0.003177,,,,,,,,,,1309,4,0.001412
,,,,YERRAGONDAPALEM,31,0.010943,,Cherlopalli,1,0.000353,,,,,,,,,,1310,5,0.001765
,,,,YERRAGUNTLA,1,0.000353,,Cherukulapadu,4,0.001412,,,,,,,,,,1312,1,0.000353
,,,,YERRAVARIPALEM,56,0.019768,,Cherukur,6,0.002118,,,,,,,,,,1313,14,0.004942
,,,,ZARUGUMILLI,28,0.009884,,Cherukuru,13,0.004589,,,,,,,,,,1315,5,0.001765
,,,,(blank),,,,Cherukuvaripalle,6,0.002118,,,,,,,,,,1316,4,0.001412
,,,,Grand Total,10797,3.811341,,Cheruvu Komma Palem,2,0.000706,,,,,,,,,,1317,5,0.001765
,,,,,,,,Cheruvu Mundara Khandriga,1,0.000353,,,,,,,,,,1318,2,0.000706
,,,,,,,,Chetnepalle,2,0.000706,,,,,,,,,,1320,5,0.001765
,,,,,,,,Chidimi,3,0.001059,,,,,,,,,,1321,11,0.003883
,,,,,,,,Chidimidari Seetharamarajupeta,1,0.000353,,,,,,,,,,1322,2,0.000706
,,,,,,,,Chigarapalle,1,0.000353,,,,,,,,,,1323,8,0.002824
,,,,,,,,Chigeli,2,0.000706,,,,,,,,,,1324,1,0.000353
,,,,,,,,Chiguruwada South Khandriga,1,0.000353,,,,,,,,,,1325,14,0.004942
,,,,,,,,Chikilinta,1,0.000353,,,,,,,,,,1326,24,0.008472
,,,,,,,,Chilakaladona,27,0.009531,,,,,,,,,,1327,20,0.00706
,,,,,,,,Chilakalapudi (Rural),1,0.000353,,,,,,,,,,1328,2,0.000706
,,,,,,,,Chilakapadu,1,0.000353,,,,,,,,,,1329,11,0.003883
,,,,,,,,Chilamathur,3,0.001059,,,,,,,,,,1330,18,0.006354
,,,,,,,,Chilamkur,6,0.002118,,,,,,,,,,1331,2,0.000706
,,,,,,,,Chillamakulapalle,1,0.000353,,,,,,,,,,1332,2,0.000706
,,,,,,,,Chillamuru,1,0.000353,,,,,,,,,,1333,6,0.002118
,,,,,,,,Chimata,2,0.000706,,,,,,,,,,1334,3,0.001059
,,,,,,,,China Dornala,2,0.000706,,,,,,,,,,1335,2,0.000706
,,,,,,,,China Irlapadu,1,0.000353,,,,,,,,,,1336,5,0.001765
,,,,,,,,China Obeneni Palle,1,0.000353,,,,,,,,,,1337,5,0.001765
,,,,,,,,China Sirlam,1,0.000353,,,,,,,,,,1338,6,0.002118
,,,,,,,,China Thayyur,18,0.006354,,,,,,,,,,1339,1,0.000353
,,,,,,,,Chinaalavala Padu,1,0.000353,,,,,,,,,,1340,10,0.00353
,,,,,,,,Chinaboddepalle,1,0.000353,,,,,,,,,,1341,36,0.012708
,,,,,,,,Chinagangavaram,4,0.001412,,,,,,,,,,1342,5,0.001765
,,,,,,,,Chinagolla Palle,5,0.001765,,,,,,,,,,1343,3,0.001059
,,,,,,,,Chinagora,1,0.000353,,,,,,,,,,1344,4,0.001412
,,,,,,,,Chinakandla Gunta,6,0.002118,,,,,,,,,,1345,4,0.001412
,,,,,,,,Chinakotha Palle,1,0.000353,,,,,,,,,,1347,17,0.006001
,,,,,,,,Chinamanagundam,1,0.000353,,,,,,,,,,1348,21,0.007413
,,,,,,,,Chinapavani,3,0.001059,,,,,,,,,,1349,5,0.001765
,,,,,,,,Chinarama,5,0.001765,,,,,,,,,,1350,9,0.003177
,,,,,,,,Chinasana,1,0.000353,,,,,,,,,,1351,2,0.000706
,,,,,,,,Chinavari Madugu,3,0.001059,,,,,,,,,,1352,9,0.003177
,,,,,,,,Chinayerasala,1,0.000353,,,,,,,,,,1353,6,0.002118
,,,,,,,,Chinna Boggupalle,1,0.000353,,,,,,,,,,1354,7,0.002471
,,,,,,,,Chinna Dasaripalle,3,0.001059,,,,,,,,,,1355,34,0.012002
,,,,,,,,Chinna Kadubur,1,0.000353,,,,,,,,,,1357,2,0.000706
