101,7,0.002471
102,6,0.002118
103,48,0.016944
105,59,0.020827
106,11,0.003883
107,1,0.000353
108,7,0.002471
109,2,0.000706
110,10,0.00353
111,23,0.008119
112,14,0.004942
113,21,0.007413
114,9,0.003177
115,5,0.001765
116,32,0.011296
117,1,0.000353
118,2,0.000706
201,10,0.00353
202,2,0.000706
204,7,0.002471
205,37,0.013061
206,19,0.006707
207,8,0.002824
208,23,0.008119
209,37,0.013061
210,67,0.023651
211,59,0.020827
212,44,0.015532
213,48,0.016944
214,8,0.002824
215,5,0.001765
216,6,0.002118
221,12,0.004236
222,44,0.015532
223,63,0.022239
224,52,0.018356
302,65,0.022945
303,92,0.032476
304,37,0.013061
305,53,0.018709
306,66,0.023298
307,32,0.011296
308,121,0.042713
309,61,0.021533
311,21,0.007413
312,48,0.016944
313,38,0.013414
314,29,0.010237
315,45,0.015885
316,14,0.004942
317,17,0.006001
318,17,0.006001
319,41,0.014473
320,63,0.022239
321,17,0.006001
322,16,0.005648
323,15,0.005295
324,92,0.032476
325,58,0.020474
326,7,0.002471
327,4,0.001412
328,32,0.011296
329,58,0.020474
330,70,0.02471
331,23,0.008119
332,8,0.002824
333,44,0.015532
334,16,0.005648
335,26,0.009178
338,9,0.003177
341,13,0.004589
342,19,0.006707
343,55,0.019415
401,7,0.002471
404,244,0.086132
405,105,0.037065
406,35,0.012355
410,43,0.015179
411,6,0.002118
412,151,0.053303
413,82,0.028946
414,29,0.010237
415,15,0.005295
416,72,0.025416
417,13,0.004589
418,110,0.03883
419,49,0.017297
420,158,0.055774
421,40,0.01412
422,61,0.021533
501,24,0.008472
502,75,0.026475
503,25,0.008825
504,38,0.013414
505,106,0.037418
506,40,0.01412
507,31,0.010943
508,34,0.012002
509,17,0.006001
510,37,0.013061
512,7,0.002471
513,5,0.001765
515,2,0.000706
516,46,0.016238
601,18,0.006354
602,28,0.009884
603,12,0.004236
604,17,0.006001
605,12,0.004236
606,46,0.016238
608,4,0.001412
610,6,0.002118
611,2,0.000706
613,1,0.000353
614,10,0.00353
615,15,0.005295
616,9,0.003177
617,2,0.000706
618,57,0.020121
619,3,0.001059
620,42,0.014826
621,14,0.004942
622,76,0.026828
623,27,0.009531
624,46,0.016238
625,88,0.031064
626,52,0.018356
627,93,0.032829
628,75,0.026475
629,30,0.01059
723,4,0.001412
727,8,0.002824
728,56,0.019768
729,58,0.020474
732,203,0.071659
733,20,0.00706
734,68,0.024004
735,112,0.039536
739,132,0.046596
741,38,0.013414
743,3,0.001059
744,4,0.001412
747,57,0.020121
750,54,0.019062
