Mandasa;Gopitoor;0100233056051400;29.04.2016;120;5;0.5;
Palasa;Gopivallabhapuram;0100232070011900 ;22.04.2016;251;5;1;
Vajrapukotturu;Govindapuram (st veedhi);0100331038013800;01.05.2016;1589;5;0.5;
Seethampeta;Goyyaguda; 0100713046071501;21.04.16;122;5;2;5
Seethampeta;GUDDIMEEDAGUDA; GUDDIMEEDAGUDA;03.05.16;111;5;1;5
Polaki;Gullavanipeta;0100421013021300;24.04.2016;605;5;2;
Palasa;Himagiri;100232013070600;25.05.2015;229;5.KL;1;5
Mandasa;Honnali;0100233009010800;02.05.2016;903;5;0.5;
Ichapuram;Innesupeta;0100137022021500;12.05.2016;576;5;1;
Ichapuram;Innesupeta;100137022021500;02.05.2015;576;5.KL;1;5
Seethampeta;IPPAMANUGUDA; 0100713088062100;04.05.16;64;5;1;5
Meliaputti;Jadupalli;0100626022011400;30.04.2016;1574;5;2;
Seethampeta;Janninaiduguda; 0100713046071500;21.04.16;38;5;2;5
Polaki;Jilleduvalasa;0100421001010100;10.05.2016;854;5;3;
Polaki;Jilleduvalasa;100421001010100;26.05.2015;854;5.KL;2;10
Seethampeta;Jodumanuguda; 0100713092012000;26.04.16;75;5;1;5
Polaki;Jogampeta;0100421014021400;24.04.2016;488;5;1;
Palasa;Kamalapuram;0100332070021900;22.04.2016;241;5;1;
Seethampeta;Kamguda; 0112913046141500;21.04.16;82;5;2;5
Seethampeta;KANGARUGUDA; 0100713070051800;28.04.16;74;5;1;5
Santhabommali;Kasipuram;100429005010300;08.05.2015;705;5.KL;2;10
Seethampeta;Kodipillalaguda; 0100713101062300;29.04.16;90;5;1;5
Polaki;Koduru; 0100421012011000;16.05.2016;1030;5;2;
Seethampeta;Komatiguda; 0100713002020103;21.04.16;41;5;2;5
Nandigam;Kotaikondapeta;0100330101022500;28.04.2016;255;5;3;
Santhabommali;Kotapadu;100429013010300;07.05.2015;562;5.KL;2;10
Seethampeta;Kothaguda; 0112913115042300;29.04.16;67;5;1;5
Santhabommali;Kothalingudu; 0100329020051700;12.04.2016;275;5;1;
Santhabommali;Kothalingudu;100329020051700;25.05.2015;275;5.KL;1;5
Kotabommali;Kothapeta;0100428021011900;13.04.2016;1778;5;1;
Kotabommali;Kottapeta;100428021011900;03.05.2015;1778;5.KL;3;15
Polaki;Kottarevu;0100421014081500;24.04.2016;1148;5;10;
Santhabommali;Kotturu;100429018021500;07.05.2015;1072;5.KL;2;10
Polaki;Koviripeta;0100421014101500;24.04.2016;454;5;4;
Seethampeta;Kummarigandi; 0100713106052400;25.04.16;351;5;2;5
Seethampeta;Kurasadiguda; 0100713105092400;28.04.16;87;5;1;10
Seethampeta;Lakakiguda; 0112913081052000;26.04.16;47;5;1;5
Seethampeta;LAMBAGUDA; 0100713059031900;04.05.16;71;5;2;5
Vajrapukotturu;Lingalapaudu;0100331048024900;01.05.2016;254;5;0.5;
Palasa;Loddabadra;0100232012010300;24.04.2016;996;5;1;
Palasa;Lothuru;100232001010100;25.05.2015;435;5.KL;1;5
Kanchili;M.S.Palli;100135022011200;24.05.2015;546;5.KL;4;20
Seethampeta;Majjiguda; 0100713050071700;21.04.16;55;5;2;10
Polaki;Makivalasa;100421021010100;26.05.2015;821;5.KL;2;10
Mandasa;Mandasa; 0100233028011700;01.04.2016;9314;5;1;
Mandasa;Mandasa;100233028011700 ;27.04.2015;8719;5.KL;10;50
Seethampeta;Merugupaiguda; 0100713116042300;29.04.16;27;5;1;5
Kanchili;MS Palli;0100135022011200;06.05.2016;546;5;3;
Seethampeta;Mulaguda; 0100713003090200;21.04.16;94;5;2;5
Sompeta;Mulapalem;100234030012000;09.05.2015;176;5.KL;1;5
Santhabommali;Mulapeta; 0100429020011800;12.04.2016;1081;5;0.5;
Meliaputti;Murikuntibhadra;0100626016011300;25.04.2016;322;5;1;
Kanchili;N.M.Ampuram colony;0112035029031300;06.05.2016;419;5;4;
Seethampeta;NADIMIBILLAGUDA; 0112913105142400;03.05.16;73;5;1;5
Seethampeta;Nadimibudagarai; 0100713056021800;28.04.16;14;5;1;5
Seethampeta;Nagulaguda; 0100713003120300;21.04.16;114;5;2;5
Nandigam;Nandigam;0100330078012600;21.04.2016;4100;5;1;
Mandasa;Narayanapuram;0100233073013400;10.05.2016;854;5;1;
Kotabommali;Narayanapuram;100428012021000;25.05.2015;270;5.KL;1;5
Santhabommali;Navabpeta;100329012020900;23/5/2015;99;5.KL;2;10
Seethampeta;NEREDAMUNUGUDA; 0100713104042100;04.05.16;50;5;1;5
Mandasa;Padmapuram;0100233002060200;29.04.2016;180;5;1;
Meliaputti;Patha Rangadugati;0100626043011400;24.04.2016;25;5;1;
Santhabommali;Pathalingudu; 0100329020041700;12.04.2016;266;5;3;
Santhabommali;Pathalingudu;100329020041700;25.05.2015;266;5.KL;1;5
Santhabommali;Pathameghavaram;0100429022021900;18.04.2016;573;5;2;
Seethampeta;Peddaguda; 0100713046131500;21.04.16;141;5;2;5
Santhabommali;Peddakoviripeta;100429037043300;15.05.2015;312;5.KL;1;5
Ichapuram;PeddaLaxmipuram;100137028042000;08.05.2015;254;5.KL;1;5
Tekkali;Peddarokalapalli;100427017010700;24.05.2015;356;5.KL;2;10
Nandigam;Penturu;0100330094012600;21.04.2016;1456;5;1;
Mandasa;Pettuva;0100233023021100;24.04.2016;170;5;0.5;
Mandasa;Pilli Budarasingi;0100233003020300;02.05.2016;302;5;2;
Polaki;Pinnintipeta;0100421012021000;25.04.2016;787;5;2;
Pathapatnam;Puthikaguda;0100425010020400;26.04.2016;30;5;2;
