District,count,,Mandal,Count,,Village,Count,,Basin,Count,,Subbasin,Count,,Microbasin,Count
,,,,,,Chandrapalle,264,,,,,,,,,
,,,,,,Chandrappavalasa,5,,,,,,,,,
,,,,,,Chandrupatla,185,,,,,,,,,
,,,,,,Chanubanda,684,,,,,,,,,
,,,,,,Chanugondla,303,,,,,,,,,
,,,,,,Chapala Madugu,519,,,,,,,,,
,,,,,,Chapirevula,119,,,,,,,,,
,,,,,,Chatla Mitta,393,,,,,,,,,
,,,,,,Chatrai,780,,,,,,,,,
,,,,,,Chattannavaram,5,,,,,,,,,
,,,,,,Chatti Reddy Palle,35,,,,,,,,,
,,,,,,Chatukupadu,1,,,,,,,,,
,,,,,,Chedurthipadu,5,,,,,,,,,
,,,,,,Cheedepudi,180,,,,,,,,,
,,,,,,Cheekatipalle,2,,,,,,,,,
,,,,,,Cheemalapadu,384,,,,,,,,,
,,,,,,Cheemalapenta,30,,,,,,,,,
,,,,,,Cheepurupalle,16,,,,,,,,,
,,,,,,Cheervanuppala Padu,3,,,,,,,,,
,,,,,,Chegireddipadu,21,,,,,,,,,
,,,,,,Chekura Padu,1,,,,,,,,,
,,,,,,Chelimella,344,,,,,,,,,
,,,,,,Chellapuram,9,,,,,,,,,
,,,,,,Chellelichelimala,158,,,,,,,,,
,,,,,,Chellimpeta,3,,,,,,,,,
,,,,,,Chemudu,2,,,,,,,,,
,,,,,,Chenna Reddi Palle,145,,,,,,,,,
,,,,,,Chennakkapalle,202,,,,,,,,,
,,,,,,Chennampalle,208,,,,,,,,,
,,,,,,Chennapanayuni Palle,50,,,,,,,,,
,,,,,,Chennaraopalem,16,,,,,,,,,
,,,,,,Chennavaram,59,,,,,,,,,
,,,,,,Chennipadu,44,,,,,,,,,
,,,,,,Chennubhotla Palem,28,,,,,,,,,
,,,,,,Chennupalle,5,,,,,,,,,
,,,,,,Chennur,515,,,,,,,,,
,,,,,,Chennuru,1,,,,,,,,,
,,,,,,Chennuruvaripalem,67,,,,,,,,,
,,,,,,Cherakucherla,97,,,,,,,,,
,,,,,,Cherlapalle,32,,,,,,,,,
,,,,,,Cherlokothuru,113,,,,,,,,,
,,,,,,Cherukulapadu,232,,,,,,,,,
,,,,,,Cherukuru,70,,,,,,,,,
,,,,,,Cherupalle,20,,,,,,,,,
,,,,,,Cheruvu Komma Palem,361,,,,,,,,,
,,,,,,Cheruvu Kommu Palem,38,,,,,,,,,
,,,,,,Cheruvu Madhavaram,93,,,,,,,,,
,,,,,,Cheruvupalle,1,,,,,,,,,
,,,,,,Chetla Mallapuram,38,,,,,,,,,
,,,,,,Chetnihalli,203,,,,,,,,,
,,,,,,Chevitikallu,64,,,,,,,,,
,,,,,,Chevuru,8,,,,,,,,,
,,,,,,Chevuturu,135,,,,,,,,,
,,,,,,Chigeli,23,,,,,,,,,
,,,,,,Chikinala,41,,,,,,,,,
,,,,,,Chikkavaram,91,,,,,,,,,
,,,,,,Chilaka Cherla Gudem,8,,,,,,,,,
,,,,,,Chilakala,196,,,,,,,,,
,,,,,,Chilakaladona,17,,,,,,,,,
,,,,,,Chilakalapalem,17,,,,,,,,,
,,,,,,Chilakalapudi,71,,,,,,,,,
,,,,,,Chilakalapudi (Rural),110,,,,,,,,,
,,,,,,Chilakaloor,32,,,,,,,,,
,,,,,,Chilakamudi,5,,,,,,,,,
,,,,,,Chilakapadu,43,,,,,,,,,
,,,,,,Chilamkur,154,,,,,,,,,
,,,,,,Chilamkuru,123,,,,,,,,,
,,,,,,Chilekampalle,118,,,,,,,,,
,,,,,,Chilkalapalle,1,,,,,,,,,
,,,,,,Chillaboyinapalle,223,,,,,,,,,
,,,,,,Chillakallu,137,,,,,,,,,
,,,,,,Chilukuru,31,,,,,,,,,
,,,,,,Chimakurthi,292,,,,,,,,,
,,,,,,Chimata,40,,,,,,,,,
,,,,,,China Avutapalle,26,,,,,,,,,
,,,,,,China Cumbum,66,,,,,,,,,
,,,,,,China Dornala,262,,,,,,,,,
,,,,,,China Irlapadu,76,,,,,,,,,
,,,,,,China Kallepalle,30,,,,,,,,,
,,,,,,China Modugapalle,3,,,,,,,,,
,,,,,,China Obeneni Palle,121,,,,,,,,,
,,,,,,China Ogirala,81,,,,,,,,,
,,,,,,China Ramanayyapeta,1,,,,,,,,,
,,,,,,China Ravipadu,99,,,,,,,,,
,,,,,,China Uyyalawada,8,,,,,,,,,
,,,,,,China Venkana Palem,1,,,,,,,,,
,,,,,,China Yerukapadu,11,,,,,,,,,
,,,,,,Chinaalavala Padu,107,,,,,,,,,
,,,,,,Chinabantupalle,17,,,,,,,,,
,,,,,,Chinabattivalasa,3,,,,,,,,,
,,,,,,Chinabhogila,10,,,,,,,,,
,,,,,,Chinaganjam,87,,,,,,,,,
,,,,,,Chinagolla Palle,7,,,,,,,,,
,,,,,,Chinakandla Gunta,85,,,,,,,,,
,,,,,,Chinakotha Palle,367,,,,,,,,,
,,,,,,Chinala Trapi,196,,,,,,,,,
,,,,,,Chinamanagundam,2,,,,,,,,,
,,,,,,Chinamuttevi,20,,,,,,,,,
,,,,,,Chinanadipalle,49,,,,,,,,,
,,,,,,Chinankalam,2,,,,,,,,,
,,,,,,Chinaparupudi,19,,,,,,,,,
,,,,,,Chinapavani,69,,,,,,,,,
,,,,,,Chinapulipaka,121,,,,,,,,,
,,,,,,Chinaravyam,22,,,,,,,,,
,,,,,,Chinarikatla,343,,,,,,,,,
,,,,,,Chinavari Madugu,15,,,,,,,,,
,,,,,,Chinavootagedda,2,,,,,,,,,
,,,,,,Chindukuru,173,,,,,,,,,
,,,,,,Chinna Bodhanam,145,,,,,,,,,
,,,,,,Chinna Gonehal,29,,,,,,,,,
,,,,,,Chinna Harivanam,36,,,,,,,,,
,,,,,,Chinna Hulthi,73,,,,,,,,,
,,,,,,Chinna Kadubur,103,,,,,,,,,
,,,,,,Chinna Kambaloor,333,,,,,,,,,
,,,,,,Chinna Kopperla,11,,,,,,,,,
,,,,,,Chinna Tekur,431,,,,,,,,,
,,,,,,Chinna Vangali,76,,,,,,,,,
,,,,,,Chinnachepalle,174,,,,,,,,,
,,,,,,Chinnadandluru,341,,,,,,,,,
,,,,,,Chinnagani Palle,240,,,,,,,,,
,,,,,,Chinnahothur,9,,,,,,,,,
,,,,,,Chinnahyta,15,,,,,,,,,
,,,,,,Chinnakothiliki,118,,,,,,,,,
,,,,,,Chinnamandem,11,,,,,,,,,
,,,,,,Chinnampet,221,,,,,,,,,
,,,,,,Chinnapendekal,283,,,,,,,,,
,,,,,,Chinnaputha,2,,,,,,,,,
,,,,,,Chinnaradoddi,3,,,,,,,,,
,,,,,,Chinnatumbalam,124,,,,,,,,,
,,,,,,Chinnavullagallu,53,,,,,,,,,
,,,,,,Chinnayyapeta,7,,,,,,,,,
,,,,,,Chinta Gunta,31,,,,,,,,,
,,,,,,Chinta Kommadinne,164,,,,,,,,,
,,,,,,Chintagum Palle,112,,,,,,,,,
,,,,,,Chintakunta,612,,,,,,,,,
,,,,,,Chintala Cheruvu,148,,,,,,,,,
,,,,,,Chintala Palem,18,,,,,,,,,
,,,,,,Chintalapadu,96,,,,,,,,,
,,,,,,Chintalapalle,162,,,,,,,,,
,,,,,,Chintalapudi,10,,,,,,,,,
,,,,,,Chintalavalli,276,,,,,,,,,
,,,,,,Chintalayapalle,57,,,,,,,,,
,,,,,,Chintaparthi,2,,,,,,,,,
,,,,,,Chintarajupalle,138,,,,,,,,,
,,,,,,Chinthagum Palle,350,,,,,,,,,
,,,,,,Chinthakunta,96,,,,,,,,,
,,,,,,Chinthala Palem,66,,,,,,,,,
,,,,,,Chinthala Palle,165,,,,,,,,,
,,,,,,Chinthalapalem,2,,,,,,,,,
,,,,,,Chinthalapeta,2,,,,,,,,,
,,,,,,Chinthapallipeta,1,,,,,,,,,
,,,,,,Chinthapudi,10,,,,,,,,,
,,,,,,Chippagiri,6,,,,,,,,,
,,,,,,Chirala (Rural),83,,,,,,,,,
,,,,,,Chiramandoddi,41,,,,,,,,,
,,,,,,Chirichintala,9,,,,,,,,,
,,,,,,Chirivada,2,,,,,,,,,
,,,,,,Chirla Dinne,202,,,,,,,,,
,,,,,,Chirrikura Padu,9,,,,,,,,,
,,,,,,Chirtapalle,156,,,,,,,,,
,,,,,,Chirthanakal,37,,,,,,,,,
,,,,,,Chiruvolu,116,,,,,,,,,
,,,,,,Chiruvolu Lanka,64,,,,,,,,,
,,,,,,Chittapur,175,,,,,,,,,
,,,,,,Chittela,163,,,,,,,,,
,,,,,,Chittimandalam,1,,,,,,,,,
,,,,,,Chitturpu,122,,,,,,,,,
,,,,,,Chitturu,8,,,,,,,,,
,,,,,,Chityala,283,,,,,,,,,
,,,,,,Chodavaram,202,,,,,,,,,
,,,,,,Chokkanahalli,73,,,,,,,,,
,,,,,,Chokkanapalle,1,,,,,,,,,
,,,,,,Chollaveedu,183,,,,,,,,,
,,,,,,Chopparametla,68,,,,,,,,,
,,,,,,Choragudi,153,,,,,,,,,
,,,,,,Chorlangi,1,,,,,,,,,
,,,,,,Chowta Gogula Palle,44,,,,,,,,,
,,,,,,Chowtakur,143,,,,,,,,,
,,,,,,Chowtapa Charla,8,,,,,,,,,
,,,,,,Chowtapalle,31,,,,,,,,,
,,,,,,Chuchirevula Gudem,12,,,,,,,,,
,,,,,,Chudi,217,,,,,,,,,
,,,,,,Chukkavalasa,61,,,,,,,,,
,,,,,,Chunchu Yerragudi,336,,,,,,,,,
,,,,,,Chundi,192,,,,,,,,,
,,,,,,Cumbampadu,269,,,,,,,,,
,,,,,,Cumbum,92,,,,,,,,,
,,,,,,D.Venkayyapeta,1,,,,,,,,,
,,,,,,Dabbakupalle,57,,,,,,,,,
,,,,,,Dachavaram,6,,,,,,,,,
,,,,,,Dadanaguruvai Palle,4,,,,,,,,,
,,,,,,Daddawada,64,,,,,,,,,
,,,,,,Dadireddi Pallle,8,,,,,,,,,
,,,,,,Dadireddipalle,174,,,,,,,,,
,,,,,,Dagaravalasa,3,,,,,,,,,
,,,,,,Dakaram,2,,,,,,,,,
,,,,,,Daliparru,6,,,,,,,,,
,,,,,,Damagatla,141,,,,,,,,,
,,,,,,Damarasingi,17,,,,,,,,,
,,,,,,Damuluru,75,,,,,,,,,
,,,,,,Dandangi,1,,,,,,,,,
,,,,,,Dandikuppam,1,,,,,,,,,
,,,,,,Dangeru,22,,,,,,,,,
,,,,,,Dannanapeta,2,,,,,,,,,
,,,,,,Dantalavanipenta,235,,,,,,,,,
,,,,,,Dappalampadu,89,,,,,,,,,
,,,,,,Darakanipadu,216,,,,,,,,,
,,,,,,Darjipalle,9,,,,,,,,,
,,,,,,Darsi,282,,,,,,,,,
,,,,,,Darsi Thimmakka Palle,30,,,,,,,,,
,,,,,,Darsiagraharam,1,,,,,,,,,
,,,,,,Darsigunta Peta,18,,,,,,,,,
,,,,,,Dasalla Palle,147,,,,,,,,,
,,,,,,Dasullapalem,172,,,,,,,,,
,,,,,,Dasumanthapuram,10,,,,,,,,,
,,,,,,Dathara Krishnapuram,22,,,,,,,,,
,,,,,,Dattapuram,111,,,,,,,,,
,,,,,,Dattivalasa,18,,,,,,,,,
,,,,,,Davagudur,6,,,,,,,,,
,,,,,,Davuluru,93,,,,,,,,,
,,,,,,Dayyalaguddam,71,,,,,,,,,
,,,,,,Dechupalem,20,,,,,,,,,
,,,,,,Deebaguntla,91,,,,,,,,,
,,,,,,Degalahal,5,,,,,,,,,
,,,,,,Dekanakonda,103,,,,,,,,,
,,,,,,Devada,59,,,,,,,,,
,,,,,,Devagudipalle,1,,,,,,,,,
,,,,,,Devamada,69,,,,,,,,,
,,,,,,Devanabanda,45,,,,,,,,,
,,,,,,Devanakonda,48,,,,,,,,,
,,,,,,Devanur,64,,,,,,,,,
,,,,,,Devapatla,281,,,,,,,,,
,,,,,,Devarabanda,322,,,,,,,,,
,,,,,,Devarabetta,248,,,,,,,,,
,,,,,,Devaragunta,256,,,,,,,,,
,,,,,,Devarajugattu,328,,,,,,,,,
,,,,,,Devarakota,47,,,,,,,,,
,,,,,,Devaram Padu,1,,,,,,,,,
,,,,,,Devarapalem,310,,,,,,,,,
,,,,,,Devarapalle,318,,,,,,,,,
,,,,,,Devarapodilam,53,,,,,,,,,
,,,,,,Devavaram,46,,,,,,,,,
,,,,,,Devibetta,86,,,,,,,,,
,,,,,,Devubutchamma Peta,8,,,,,,,,,
,,,,,,Devunikollam,4,,,,,,,,,
,,,,,,Dhanapuram,128,,,,,,,,,
,,,,,,Dhanukuvada,2,,,,,,,,,
,,,,,,Dharamavaram,33,,,,,,,,,
,,,,,,Dharmajigudem,3,,,,,,,,,
,,,,,,Dharmapuram,1,,,,,,,,,
,,,,,,Dharmavaram,421,,,,,,,,,
,,,,,,Dhenuva Konda,52,,,,,,,,,
,,,,,,Dhone @ Dronachalam,670,,,,,,,,,
,,,,,,Dibbanadoddi,45,,,,,,,,,
,,,,,,Dibbanakal,48,,,,,,,,,
,,,,,,Digavalli,432,,,,,,,,,
,,,,,,Diguvagottiveedu,26,,,,,,,,,
,,,,,,Diguvamendangi,2,,,,,,,,,
,,,,,,Diguvapadu,19,,,,,,,,,
,,,,,,Dinnedevarapadu,45,,,,,,,,,
,,,,,,Dirisavancha,66,,,,,,,,,
,,,,,,Divamdinne,8,,,,,,,,,
,,,,,,Dodda Devarapadu,28,,,,,,,,,
,,,,,,Doddanakeri,277,,,,,,,,,
,,,,,,Doddavaram,234,,,,,,,,,
,,,,,,Doddavarappadu,4,,,,,,,,,
,,,,,,Doddi Chintala,285,,,,,,,,,
,,,,,,Dokiparru,4,,,,,,,,,
,,,,,,Domam,6,,,,,,,,,
,,,,,,Dommaladinne,11,,,,,,,,,
,,,,,,Dommigani Gadabavalasa,16,,,,,,,,,
,,,,,,Donakonda,154,,,,,,,,,
,,,,,,Donda Padu,15,,,,,,,,,
,,,,,,Dondapadu,7,,,,,,,,,
,,,,,,Dondleru,14,,,,,,,,,
,,,,,,Done Atkuru,58,,,,,,,,,
,,,,,,Donekal,7,,,,,,,,,
,,,,,,Donkalakotha Patnam,4,,,,,,,,,
,,,,,,Donkalavelaga Valasa,3,,,,,,,,,
,,,,,,Donkinivalasa,4,,,,,,,,,
,,,,,,Donkumanipalle,6,,,,,,,,,
,,,,,,Dornala,279,,,,,,,,,
,,,,,,Dornipadu,2,,,,,,,,,
,,,,,,Dosakayalapadu,285,,,,,,,,,
,,,,,,Dronadula,6,,,,,,,,,
,,,,,,Dubagunta,156,,,,,,,,,
,,,,,,Dudadudi Kotakonda,158,,,,,,,,,
,,,,,,Duddi,186,,,,,,,,,
,,,,,,Dudekonda,231,,,,,,,,,
,,,,,,Dudyala,294,,,,,,,,,
,,,,,,Dugdasagaram,19,,,,,,,,,
,,,,,,Duggeru,1,,,,,,,,,
,,,,,,Duggiralapadu,123,,,,,,,,,
,,,,,,Dugutta,1,,,,,,,,,
,,,,,,Dulibhadra,1,,,,,,,,,
,,,,,,Dummeda,57,,,,,,,,,
,,,,,,Dundiralapadu,93,,,,,,,,,
,,,,,,Dupadu,565,,,,,,,,,
,,,,,,Duppalavalasa,18,,,,,,,,,
,,,,,,Durvesi,182,,,,,,,,,
,,,,,,DUVVAM,15,,,,,,,,,
,,,,,,Dyvala Ravuru,4,,,,,,,,,
,,,,,,E.Thandrapadu,17,,,,,,,,,
,,,,,,East Choutapalem,45,,,,,,,,,
,,,,,,East Veeraya Palem,71,,,,,,,,,
,,,,,,East Venkata Puram,25,,,,,,,,,
,,,,,,Echalahal,35,,,,,,,,,
,,,,,,Edamakallu,101,,,,,,,,,
,,,,,,Edara,289,,,,,,,,,
,,,,,,Edavali,174,,,,,,,,,
,,,,,,Edavalli,125,,,,,,,,,
,,,,,,Edduladoddi,74,,,,,,,,,
,,,,,,Eddupenta,230,,,,,,,,,
,,,,,,Edlanka,1,,,,,,,,,
,,,,,,Edulagudem,122,,,,,,,,,
,,,,,,Edulamaddali,54,,,,,,,,,
,,,,,,Edupugallu,268,,,,,,,,,
,,,,,,Edurupadu,233,,,,,,,,,
,,,,,,Edurur,16,,,,,,,,,
,,,,,,Egalapadu,77,,,,,,,,,
,,,,,,Eggoni,25,,,,,,,,,
,,,,,,Eguvagottiveedu,118,,,,,,,,,
,,,,,,Ekarlapalle,4,,,,,,,,,
,,,,,,Elamarru,219,,,,,,,,,
,,,,,,Elaprolu,2,,,,,,,,,
,,,,,,Elchur,65,,,,,,,,,
,,,,,,Ellajjanuru,1,,,,,,,,,
,,,,,,Ellapuram,12,,,,,,,,,
,,,,,,Ellavathula,95,,,,,,,,,
,,,,,,Elukapadu,11,,,,,,,,,
,,,,,,Emboy,919,,,,,,,,,
,,,,,,Enakandla,321,,,,,,,,,
,,,,,,Enamadala,115,,,,,,,,,
,,,,,,ENAMALAKUDURU,100,,,,,,,,,
,,,,,,Endakuduru,44,,,,,,,,,
,,,,,,Enigabala,159,,,,,,,,,
,,,,,,Enikepadu,34,,,,,,,,,
,,,,,,Epuru,7,,,,,,,,,
,,,,,,Ernapadu,641,,,,,,,,,
,,,,,,Errabadu,56,,,,,,,,,
,,,,,,Errabommanapalle,135,,,,,,,,,
,,,,,,Erragudi,47,,,,,,,,,
,,,,,,Erragudidinne,72,,,,,,,,,
,,,,,,Erramadu,51,,,,,,,,,
,,,,,,Erramatam,90,,,,,,,,,
,,,,,,Etcherla,14,,,,,,,,,
,,,,,,Ethamukkala,545,,,,,,,,,
,,,,,,Eturu,90,,,,,,,,,
,,,,,,Fathelanka,133,,,,,,,,,
,,,,,,FOREST,2695,,,,,,,,,
,,,,,,G Dharbakulavarikhandrika,11,,,,,,,,,
,,,,,,G.Hosalli,33,,,,,,,,,
,,,,,,G.Jambuladinne,64,,,,,,,,,
,,,,,,G.Singavaram,142,,,,,,,,,
,,,,,,Gadabavalasa,46,,,,,,,,,
,,,,,,Gaddamanugu,93,,,,,,,,,
,,,,,,Gaddapuvalasa,14,,,,,,,,,
,,,,,,Gadigarevula,117,,,,,,,,,
,,,,,,Gadikota,469,,,,,,,,,
,,,,,,Gadivemula,290,,,,,,,,,
,,,,,,Gaggatur,15,,,,,,,,,
,,,,,,Gajarayunivalasa,2,,,,,,,,,
,,,,,,Gajjala Konda,343,,,,,,,,,
,,,,,,Gajjehalli,52,,,,,,,,,
,,,,,,Gajulapalle,614,,,,,,,,,
,,,,,,GAJUWAKA (M),5,,,,,,,,,
,,,,,,Galavilli,11,,,,,,,,,
,,,,,,Gali Chennaiah Palem,90,,,,,,,,,
,,,,,,Galijerugulla,348,,,,,,,,,
,,,,,,Galiveedu,125,,,,,,,,,
,,,,,,Gampalagudem,150,,,,,,,,,
,,,,,,Ganapavaram,628,,,,,,,,,
,,,,,,Gandepalle,33,,,,,,,,,
,,,,,,Gandigundam,1,,,,,,,,,
,,,,,,Gandikovvur,99,,,,,,,,,
,,,,,,Gandla Seetharam Puram,66,,,,,,,,,
,,,,,,Gandrai,77,,,,,,,,,
,,,,,,Ganekal,96,,,,,,,,,
,,,,,,Ganesuni Palle,2,,,,,,,,,
,,,,,,Ganeswara Puram,38,,,,,,,,,
,,,,,,Ganga Palem,134,,,,,,,,,
,,,,,,Ganga Varam,1,,,,,,,,,
,,,,,,Gangada,2,,,,,,,,,
,,,,,,Gangadona Konda,75,,,,,,,,,
,,,,,,Gangamambapuram,1,,,,,,,,,
,,,,,,Ganganapalle,61,,,,,,,,,
,,,,,,Gangannadora Palem,3,,,,,,,,,
,,,,,,Gangannapadu,2,,,,,,,,,
,,,,,,Gangannapalavalasa @ Tatavaripalavalasa,3,,,,,,,,,
,,,,,,Gangapalem,10,,,,,,,,,
,,,,,,Gangaperuru,282,,,,,,,,,
,,,,,,Gangapuram,1,,,,,,,,,
,,,,,,Gangavalli,3,,,,,,,,,
,,,,,,Gangavaram,473,,,,,,,,,
,,,,,,Gangayapalle,2,,,,,,,,,
,,,,,,Ganginenipalem,62,,,,,,,,,
,,,,,,Ganguru,72,,,,,,,,,
,,,,,,Gani,181,,,,,,,,,
,,,,,,Ganiatukuru,114,,,,,,,,,
,,,,,,Ganivani Padu,74,,,,,,,,,
,,,,,,Ganjihalli,168,,,,,,,,,
,,,,,,Ganjipalem,26,,,,,,,,,
,,,,,,Ganna Varam,41,,,,,,,,,
,,,,,,Gannavaram,90,,,,,,,,,
,,,,,,Gannepalle,351,,,,,,,,,
,,,,,,Ganuga Penta,57,,,,,,,,,
,,,,,,Ganugapadu,682,,,,,,,,,
,,,,,,Ganugapenta,183,,,,,,,,,
,,,,,,Ganugulagondi,5,,,,,,,,,
,,,,,,Garbham,113,,,,,,,,,
,,,,,,Gargeyapuram,181,,,,,,,,,
,,,,,,Garida,10,,,,,,,,,
,,,,,,Garikapadu,25,,,,,,,,,
,,,,,,Garikaparru,34,,,,,,,,,
,,,,,,Garikapativari Khandrika,8,,,,,,,,,
,,,,,,Garikapeta,1,,,,,,,,,
,,,,,,Garikavalasa,8,,,,,,,,,
,,,,,,Garimana Penta,44,,,,,,,,,
,,,,,,GARIVIDI,26,,,,,,,,,
,,,,,,Garla Peta,136,,,,,,,,,
,,,,,,Garladinne,243,,,,,,,,,
,,,,,,Garlapadu,3,,,,,,,,,
,,,,,,Garlavalasa,3,,,,,,,,,
,,,,,,Garugubilli,25,,,,,,,,,
,,,,,,Garugupalle,60,,,,,,,,,
,,,,,,Gatchalavalasa,36,,,,,,,,,
,,,,,,Gavigatlu,74,,,,,,,,,
,,,,,,Gavinivari Palem,78,,,,,,,,,
,,,,,,Geddakancharam,3,,,,,,,,,
,,,,,,Gesikapalle,27,,,,,,,,,
,,,,,,Ghantasala,115,,,,,,,,,
,,,,,,Giddalur,142,,,,,,,,,
,,,,,,Giddaluru,23,,,,,,,,,
,,,,,,Gobburu,249,,,,,,,,,
,,,,,,Gochekka,6,,,,,,,,,
,,,,,,Godavarru,310,,,,,,,,,
,,,,,,Godiganuru,204,,,,,,,,,
,,,,,,Goguladinne,58,,,,,,,,,
,,,,,,Gokarajupalle,1,,,,,,,,,
,,,,,,Gokarlapalle,11,,,,,,,,,
,,,,,,Gokavaram,161,,,,,,,,,
,,,,,,Golagam,18,,,,,,,,,
,,,,,,Golla Palle,244,,,,,,,,,
,,,,,,Golladi,15,,,,,,,,,
,,,,,,Gollagutta,47,,,,,,,,,
,,,,,,Gollalamulagam,33,,,,,,,,,
,,,,,,Gollalapalem,24,,,,,,,,,
,,,,,,Gollalavalasa,15,,,,,,,,,
,,,,,,Gollamandala,101,,,,,,,,,
,,,,,,Gollamudi,34,,,,,,,,,
,,,,,,Gollanapalle,101,,,,,,,,,
,,,,,,Gollapalle,231,,,,,,,,,
,,,,,,GOLLAPALLI,9,,,,,,,,,
,,,,,,Gollapeta,1,,,,,,,,,
,,,,,,Gollapudi,20,,,,,,,,,
,,,,,,Gollavalasa,30,,,,,,,,,
,,,,,,Gollavidipi,410,,,,,,,,,
,,,,,,Goluguvalasa,3,,,,,,,,,
,,,,,,Gonabavi,59,,,,,,,,,
,,,,,,Gonasapudi,3,,,,,,,,,
,,,,,,Gonavaram,253,,,,,,,,,
,,,,,,Gondipalle,11,,,,,,,,,
,,,,,,Gondiparla,33,,,,,,,,,
,,,,,,Gonegandla,1331,,,,,,,,,
,,,,,,Gonugunta,95,,,,,,,,,
,,,,,,Gonumakulapalle,54,,,,,,,,,
,,,,,,Gooty Erragudi,252,,,,,,,,,
,,,,,,Gopalakrishnarangarayapuram,2,,,,,,,,,
,,,,,,GOPALAPATNAM,2,,,,,,,,,
,,,,,,Gopalapuram,40,,,,,,,,,
,,,,,,Gopalarayudupeta,2,,,,,,,,,
,,,,,,Gopanapalle,54,,,,,,,,,
,,,,,,Gopannavalasa,15,,,,,,,,,
,,,,,,Gopapuram,1,,,,,,,,,
,,,,,,Gopavaram,844,,,,,,,,,
,,,,,,Gopavarapugudem,35,,,,,,,,,
,,,,,,Gopayapalle,11,,,,,,,,,
,,,,,,Gopinenipalem,23,,,,,,,,,
,,,,,,Gopuvanipalem,45,,,,,,,,,
,,,,,,Gorantla,129,,,,,,,,,
,,,,,,Gorivimakulapalle,6,,,,,,,,,
,,,,,,Gorlapeta,2,,,,,,,,,
,,,,,,Gorlapeta Jagannadhapuram,1,,,,,,,,,
,,,,,,Gorre Padu,94,,,,,,,,,
,,,,,,Gorugunthala Padu,90,,,,,,,,,
,,,,,,Gorukallu,124,,,,,,,,,
,,,,,,Gosala,107,,,,,,,,,
,,,,,,Gosaveedu,117,,,,,,,,,
,,,,,,Goshada,2,,,,,,,,,
,,,,,,Gosigundala,24,,,,,,,,,
,,,,,,Gospadu,58,,,,,,,,,
,,,,,,Gosulaveedu,31,,,,,,,,,
,,,,,,Gotlagattu,82,,,,,,,,,
,,,,,,Gotlam,2,,,,,,,,,
,,,,,,Gotlamitta,23,,,,,,,,,
,,,,,,Gotlur,145,,,,,,,,,
,,,,,,Gotnandi,7,,,,,,,,,
,,,,,,Gottipadia,132,,,,,,,,,
,,,,,,Gottipalle,28,,,,,,,,,
,,,,,,Gottumukkala,84,,,,,,,,,
,,,,,,Govardhanagiri,395,,,,,,,,,
,,,,,,Govindapalle,8,,,,,,,,,
,,,,,,Govindpalle,282,,,,,,,,,
,,,,,,Gowdegallu,67,,,,,,,,,
,,,,,,Gowkanapalle,12,,,,,,,,,
,,,,,,Gowravaram,3,,,,,,,,,
,,,,,,Gubagundam,229,,,,,,,,,
,,,,,,Gudapadu,37,,,,,,,,,
,,,,,,Gudavalli,69,,,,,,,,,
,,,,,,Gudem,27,,,,,,,,,
,,,,,,Gudem  Madhavaram,40,,,,,,,,,
,,,,,,Gudikal,301,,,,,,,,,
,,,,,,Gudikambali,115,,,,,,,,,
,,,,,,Gudimetla,253,,,,,,,,,
,,,,,,Gudipadu,803,,,,,,,,,
,,,,,,Gudivada (Rural),13,,,,,,,,,
,,,,,,Gudlanayanipalle,1,,,,,,,,,
,,,,,,Gudluru,409,,,,,,,,,
,,,,,,Gudur,625,,,,,,,,,
,,,,,,Guduru,2,,,,,,,,,
,,,,,,Guduru Moravai Palle,1,,,,,,,,,
,,,,,,Gulamaliabad,224,,,,,,,,,
,,,,,,Gulivindada Agraharam,19,,,,,,,,,
,,,,,,Gulladurthi,1,,,,,,,,,
,,,,,,Gullapudi,378,,,,,,,,,
,,,,,,Gulyam,110,,,,,,,,,
,,,,,,GUMADAM MUNICIPALITY,6,,,,,,,,,
,,,,,,Gummadapuram,43,,,,,,,,,
,,,,,,Gummadidurru,109,,,,,,,,,
,,,,,,Gummalam Padu,32,,,,,,,,,
,,,,,,Gummalampadu,4,,,,,,,,,
,,,,,,Gummanur,39,,,,,,,,,
,,,,,,Gummidiguda,2,,,,,,,,,
,,,,,,Gumparamandinne,11,,,,,,,,,
,,,,,,Gundla Palle,12,,,,,,,,,
,,,,,,Gundla Samudram,156,,,,,,,,,
,,,,,,Gundla Singavaram,158,,,,,,,,,
,,,,,,Gundlacheruvu,73,,,,,,,,,
,,,,,,Gundlakonda,134,,,,,,,,,
,,,,,,Gundlamoola,57,,,,,,,,,
,,,,,,Gundlapalem,195,,,,,,,,,
,,,,,,Gundrevula,41,,,,,,,,,
,,,,,,Gundupapala,14,,,,,,,,,
,,,,,,Gundusettipalle,3,,,,,,,,,
,,,,,,Gunduvari Laxmipuram,43,,,,,,,,,
,,,,,,Gunidam,13,,,,,,,,,
,,,,,,Gunnikuntla,2,,,,,,,,,
,,,,,,Guntachennam Palle,4,,,,,,,,,
,,,,,,Gunthakandala,118,,,,,,,,,
,,,,,,Gunthanala,7,,,,,,,,,
,,,,,,Guntu Palle,407,,,,,,,,,
,,,,,,Guntupalle,364,,,,,,,,,
,,,,,,Guntuvaripalle,91,,,,,,,,,
,,,,,,Guraja,1,,,,,,,,,
