District,count,,Mandal,Count,,Village,Count,,Basin,Count,,Subbasin,Count,,Microbasin,Count
,,,HIRAMANDALAM,3,,Anakarlapudi,23,,,,,,,,642,1099
,,,HOLAGUNDA,1628,,Anamanamur,45,,,,,,,,643,1698
,,,IBRAHIMPATNAM,538,,Anandapuram,66,,,,,,,,644,391
,,,INKOLLU,43,,Anantha Palle,26,,,,,,,,645,59
,,,JAGGAYYAPETA,1379,,Ananthapuram,2,,,,,,,,646,1
,,,JAMMALAMADUGU,31,,Ananthasagaram,70,,,,,,,,649,7
,,,JANAKAVARAMPANGULURU,547,,Ananthavaram,9,,,,,,,,650,3
,,,JUPADU BUNGALOW,2424,,Anasabhadra,2,,,,,,,,651,15
,,,KAJULURU,1,,Anavaram,3,,,,,,,,652,81
,,,KAKUMANU,6,,Andrangi,1,,,,,,,,653,71
,,,KALAKADA,1,,Angaluru,51,,,,,,,,654,44
,,,KALASAPADU,20,,Angaskal,108,,,,,,,,656,1
,,,KALLUR,2785,,Anigandlapadu,156,,,,,,,,707,1
,,,KAMALAPURAM,2580,,Anikalla Palle,9,,,,,,,,708,9
,,,KANCHIKACHERLA,601,,Anikera,10,,,,,,,,721,1
,,,KANDUKUR,1070,,Animela,284,,,,,,,,722,21
,,,KANIGIRI,2732,,Anjaneyapuram,89,,,,,,,,724,2
,,,KANKIPADU,2315,,Ankepalle,341,,,,,,,,727,132
,,,KAPILESWARAPURAM,18,,Ankireddipalle,28,,,,,,,,730,30
,,,KARAMCHEDU,59,,Anna Varam,100,,,,,,,,732,7
,,,KAVALI,6,,Annada Puram,3,,,,,,,,735,3
,,,KODUMUR,2370,,Annamrajuvalasa,4,,,,,,,,756,9
,,,KODURU,29,,Annangi,47,,,,,,,,803,113
,,,KOILKUNTLA,743,,Annasamudram,449,,,,,,,,804,2667
,,,KOLIMIGUNDLA,1188,,Annavaram,454,,,,,,,,805,1416
,,,KOLLUR,1,,Anneboinapalle,185,,,,,,,,806,2357
,,,KOMARADA,13,,Anneraopeta,82,,,,,,,,808,2017
,,,KOMAROLU,1583,,Anugonda,35,,,,,,,,809,2118
,,,KONAKANAMITLA,2632,,Anumanchipalle,101,,,,,,,,810,897
,,,KONDAPI,1174,,Anumollanka,89,,,,,,,,811,2536
,,,KONDAPURAM,87,,Anumula Palle,169,,,,,,,,812,3102
,,,KORISAPADU,465,,Anupur,30,,,,,,,,813,532
,,,KOSIGI,3552,,Appalammapeta,15,,,,,,,,814,264
,,,KOTHA PATNAM,3997,,Appalapuram,13,,,,,,,,816,438
,,,KOTHAPALLE,1174,,Appanaveedu,1,,,,,,,,817,1592
,,,KOWTHALAM,2470,,Appandoravalasa,6,,,,,,,,818,153
,,,KRISHNAGIRI,3058,,Appannavalasa,28,,,,,,,,819,3672
,,,KRUTHIVENNU,7,,Apparaopalle,76,,,,,,,,820,969
,,,KUNAVARAM,120,,Appikatla,36,,,,,,,,821,2473
,,,KUPPAM,69,,Arasabalaga,6,,,,,,,,823,640
,,,KURICHEDU,1418,,Arasada,5,,,,,,,,824,992
,,,KURNOOL,1968,,Aravallipadu,24,,,,,,,,825,1261
,,,KURUPAM,145,,Araveedu,182,,,,,,,,826,3108
,,,LAKKIREDDIPALLE,51,,Ardhaveedu,269,,,,,,,,827,1008
,,,LAKSHMINARSUPETA,26,,Arekal,61,,,,,,,,828,3252
,,,LAVERU,10,,Aridivalasa,27,,,,,,,,829,2792
,,,LINGAPALEM,24,,Arikatota,3,,,,,,,,830,2601
,,,LINGASAMUDRAM,1263,,Arikera,262,,,,,,,,831,2497
,,,MADDIKERA (EAST),555,,Arinam Akkivalasa,27,,,,,,,,832,5462
,,,MADDIPADU,707,,Aripirala,2,,,,,,,,833,1673
,,,MAHANANDI,4129,,Arivemula,54,,,,,,,,834,2952
,,,MAKKUVA,80,,Arjunapuram,1,,,,,,,,835,1666
,,,MANDAVALLI,2,,Arlabanda,63,,,,,,,,836,4079
,,,MANTRALAYAM,1501,,Arlapadu,123,,,,,,,,837,1715
,,,MARKAPUR,3937,,Arthamuru,55,,,,,,,,838,1657
,,,MARRIPUDI,2917,,Arugolanu,15,,,,,,,,839,2590
,,,MARTUR,1041,,Arugolanupeta,350,,,,,,,,840,2699
,,,MERAKAMUDIDAM,700,,Aspari,78,,,,,,,,841,688
,,,MIDTHUR,2402,,Aswaraopalem,1,,,,,,,,842,2936
,,,MOPIDEVI,1677,,Aswarayuni Palem,69,,,,,,,,843,3603
,,,MOVVA,979,,Atkuru,94,,,,,,,,844,56
,,,MUDDANUR,17,,Atlapragada,121,,,,,,,,845,3318
,,,MUDINEPALLE,15,,Atmakur,647,,,,,,,,846,2722
,,,MUNDLAMURU,2687,,Atmaramuni Agraharam,33,,,,,,,,847,545
,,,MUSUNURU,3835,,Atukuru,78,,,,,,,,848,296
,,,MYLAVARAM,3070,,Audi Pudi,3,,,,,,,,849,292
,,,NAGULUPPALAPADU,134,,Auranga Bad,95,,,,,,,,850,8364
,,,NAMBULIPULIKUNTA,12,,Avagudem,31,,,,,,,,851,461
,,,NANDALUR,1820,,Avanigadda,176,,,,,,,,852,191
,,,NANDAVARAM,1845,,Avisanavaripalem,1,,,,,,,,853,247
,,,NANDIGAMA,977,,Avulamanda,216,,,,,,,,854,2218
,,,NANDIKOTKUR,1660,,Ayinamukkala,335,,,,,,,,855,864
,,,NANDIVADA,62,,Ayodhya,43,,,,,,,,856,911
,,,NANDYAL,1700,,Ayyagari Palle,125,,,,,,,,857,2591
,,,NARASARAOPET,1,,Ayyalur (Rural),402,,,,,,,,859,3441
,,,NELLIMARLA,862,,Ayyanapalem,22,,,,,,,,860,940
,,,NUZVID,4656,,Ayyanki,26,,,,,,,,861,2576
,,,ONGOLE,271,,Ayyannakota,32,,,,,,,,862,680
,,,ORVAKAL,2873,,Ayyaparaju Palem,88,,,,,,,,901,1
,,,OWK,1894,,Ayyavari Kodur,97,,,,,,,,903,150
,,,PACHIPENTA,137,,Ayyavari Palle,46,,,,,,,,906,228
,,,PAGIDYALA,824,,Ayyavarigudem,1,,,,,,,,907,21
,,,PAMARRU,690,,Ayyavaripalle,120,,,,,,,,1009,30
,,,PAMIDIMUKKALA,2110,,B.Thandrapadu,35,,,,,,,,1011,39
,,,PAMULAPADU,1850,,Bachepalle,401,,,,,,,,1013,6
,,,PAMUR,1342,,Bada Puram,43,,,,,,,,1017,1
,,,PANYAM,2274,,Badam,9,,,,,,,,1035,1
,,,PARCHUR,57,,Badangi,2,,,,,,,,1068,171
,,,PARVATHIPURAM,112,,Baddepudi,186,,,,,,,,1069,26
,,,PATTIKONDA,1578,,Badekhanpeta,47,,,,,,,,1070,52
,,,PEAPALLY,4321,,Badinehal,35,,,,,,,,1071,263
,,,PEDA  ARAVEEDU,4536,,Badineni Palle,14,,,,,,,,1072,111
,,,PEDACHERLO PALLE,3404,,Baduguleru,129,,,,,,,,1073,73
,,,PEDANA,72,,Badveedu,383,,,,,,,,1075,14
,,,PEDAPADU,37,,Baggamdhoravalasa,1,,,,,,,,1103,96
