Habitation_name,code,date,population_served,Tanker_capacity,Trips,Quantity,cost_of_trip,amount
JALLAPPA KOTALU,,01/01/17,260,5.00,1.00,5.00,430,430
BANDLASETTY PALLI,,01/01/17,260,5.00,3.00,15.00,430,1290
THANJAMMAKOTTALU,,01/01/17,260,5.00,2.00,10.00,430,860
Cheegalapalli,,07.02.2017,1053,5.00,3.00,15.00,430,1290
V.Mittapalli ,,01/01/17,1002,5.00,1.00,5.00,430,430
Thimmapuram,,01/01/17,523,5.00,1.00,5.00,430,430
Ragimanumitta ,,01/01/17,480,5.00,3.00,15.00,430,1290
Vanaguttapalli,,01/01/17,480,5.00,2.00,10.00,430,860
Peddintikotalu and mulugappa kotalu,,01/01/17,300,5.00,2.00,10.00,430,860
Vasanadu ,,02.01.2017,738,5,1,5.00,430,430
Chinna Vasanadu,,02.01.2017,192,5,1,5.00,430,430
Naniyala Thanda,,01/01/17,298, 5.00 , 2.00 ,10.00,430,860
Jogiindlu,,01/01/17,66, 5.00 , 1.00 ,5.00,430,430
Vardhikuppam,,01/01/17,212, 5.00 , 2.00 ,10.00,430,860
Baipareddypalli,,01/01/17,558, 5.00 , 2.00 ,10.00,430,860
Lakshminagar Yanadhi olony (A. Gutta),,01/01/17,85, 5.00 , 1.00 ,5.00,430,430
BALLA ZPHS School,,10/02/17,150, 5.00 , 1.00 ,5.00,430,430
Giddapalli,,01/01/17,349, 5.00 , 2.00 ,10.00,430,860
Kadamanivanka,,01/01/17,120, 5.00 , 1.00 ,5.00,430,430
Lingapuram,,01/01/17,420, 5.00 , 3.00 ,15.00,430,1290
Nernelli,,01/01/17,271, 5.00 , 2.00 ,10.00,430,860
YADDALAGATTU  ,,01/01/17,126, 5.00 , 1.00 ,5.00,430,430
Peruru,,01/01/17,74, 5.00 , 1.00 ,5.00,430,430
Pamanaboyanapalli,,01/01/17,164, 5.00 , 1.00 ,5.00,430,430
Kanchidasanapalli,,01.03.2017,154, 5.00 , 2.00 ,10.00,430,860
Boyanapalli,,01.03.2017,81, 5.00 , 1.00 ,5.00,430,430
Gorivimakulapalli ZPHS,,01/01/17,125, 5.00 , 1.00 ,5.00,430,430
Gandhinagar,,01/01/17,543, 5.00 , 4.00 ,20.00,430,1720
Bhumandalapuram,,01.03.2017,314, 5.00 , 1.00 ,5.00,430,430
KENCHANABALLA,,01.03.2017,1410, 5.00 , 2.00 ,10.00,430,860
Chintakuppam & MPP School,,01/01/17,260, 5.00 , 3.50 ,17.50,430,1505
Manendram,,01.03.2017,602, 5.00 , 2.00 ,10.00,430,860
 KRISHNARAJAPURAM,,01.03.2017,248, 5.00 , 2.00 ,10.00,430,860
Harijanakota,,01/01/17,96, 5.00 , 1.00 ,5.00,430,430
KEMPASAMUDRAM  & MPP School,,01/01/17,151, 5.00 , 2.50 ,12.50,430,1075
KOTLAGURU  ,,01/01/17,175, 5.00 , 2.00 ,10.00,430,860
Thimmasamudram,,01/01/17,735, 5.00 , 2.00 ,10.00,430,860
ST Boys Hostel,,01/01/17,125, 5.00 , 1.00 ,5.00,430,430
Reddivaripalli,,01/01/17,188, 5.00 , 2.00 ,10.00,430,860
Goolipalli,,01/01/17,587, 5.00 , 2.00 ,10.00,430,860
Govindapalli,,01/01/17,774, 5.00 , 2.00 ,10.00,430,860
Jampuru,,01/01/17,73, 5.00 , 0.50 ,2.50,430,215
Lingapuram,,10/02/17,140, 5.00 , 1.00 ,5.00,430,430
JOWKUPALLE,,10/02/17,329, 5.00 , 1.00 ,5.00,430,430
Addagattu Thanda,,01/01/17,224, 5.00 , 2.00 ,10.00,430,860
Kullaganuru,,01/01/17,410, 5.00 , 2.00 ,10.00,430,860
Bandakothuru Thanda,,01/01/17,240, 5.00 , 1.00 ,5.00,430,430
Podichenu,,01/01/17,240, 5.00 , 2.00 ,10.00,430,860
Tekumanu Thanda,,02/01/17,153, 5.00 , 1.00 ,5.00,430,430
CHIKKAPALLE THANDA,,03/01/17,351, 5.00 , 1.00 ,5.00,430,430
Thulasinaik Thanda,,03/01/17,137, 5.00 , 1.00 ,5.00,430,430
APSWR (BOYS) Model School,,01/01/17,100, 5.00 , 2.00 ,10.00,430,860
KGBV Girls High School,,01/01/17,200, 5.00 , 3.00 ,15.00,430,1290
ST Boys Hostel,,01/01/17,100, 5.00 , 1.00 ,5.00,430,430
KILKIPODU,,02/01/17,233, 5.00 , 2.00 ,10.00,430,860
 KADISINAKUPPAM,,02/01/17,141, 5.00 , 1.00 ,5.00,430,430
Balobanapalli,,01/01/17,396, 5.00 , 2.00 ,10.00,430,860
Santhamitta,,01/01/17,113, 5.00 , 1.50 ,7.50,430,645
Bendanakuppam,,01.03.2016,326,5.00,3.00,15.00,430," 1,290.00 "
Solisettipalle,,19.10.2016,315,5.00,2.00,10.00,430, 860.00 
Karamutla,,02.03.2017,135,5.00,1,5,430, 430.00 
Peddaru,,02.03.2017,750,5.00,2,5,430, 860.00 
Gesikapalle,,02.03.2017,541,5.00,1,5,430, 430.00    
Gangapuram,,19.10.2016,132,5.00,1.00,5.00,430, 430.00 
Kakarlavanka,,25.09.2016,250,5.00,2.00,10.00,430, 860.00 
Kothigutlapalle,,19.10.2016,256,5.00,2.00,10.00,430, 860.00 
Anikera,,02.03.2017,441,5,1,5,430, 430.00 
Bellakogila,,27/1/2016,180,5.00,6.00,30.00,430," 2,580.00 "
Cigarlapalle,,1.11.2016,172,5.00,1.00,5.00,430, 430.00 
Muddanapalli,,02.07.2016,320,5.00,1.00,2.50,430, 430.00 
Rallapalle,,15.02.2017,70,5.00,1,2.50,430, 430.00 
D.T.Palle,,15.02.2017,74,5.00,1,2.50,430, 430.00 
Bevanapalle,,15.02.2017,331,5.00,2,10.00,430, 860.00 
Sogadaballa,,08.04.2016,641,5.00,6.00,25.00,430," 2,580.00 "
Vaddivanikothuru,,08.04.2016,256,5.00,2.00,10.00,430, 860.00 
Settiballa,,05.12.2016,264,5.00,2.00,10.00,430, 860.00 
Chenguballa,,02.03.2017,318,5.00,1,5,430, 430.00 
Chinnari doddi,,10.08.2016,388,5.00,3.00,10.00,430," 1,290.00 "
Konda thimmanapalli,,1.08.2016,350,5.00,3.00,10.00,430," 1,290.00 "
Kothapeta,,10.08.2016,621,5.00,4.00,15.00,430," 1,720.00 "
S.Gollapalle,,10.08.2016,339,5.00,3.00,10.00,430," 1,290.00 "
Chowdampalli ,,2.10.2016,420,5.00,2.00,10.00,430, 860.00 
Dandikuppam SC Hostel,,2.10.2016,250,5.00,1.00,5.00,430, 430.00 
Kondapalli,,01/01/16,186,5.00,2.00,10.00,430, 860.00 
Nallarallapalli,,1.01.2017,235,5.00,2.00,10.00,430, 860.00 
Nimmanapalle,,1.01.2017,195,5.00,1.00,5.00,430, 430.00 
Varadepalle,,01.02.2017,97,5.00,1.00,5.00,430, 430.00 
Gunjarlapalle,,24.02.2017,567,5,4,5,430," 1,720.00 "
Chinthakampalli,,01/01/16,262,5.00,2.00,10.00,430, 860.00 
Kareganuru,,01/01/16,217,5.00,2.00,10.00,430, 860.00 
Peddabommanapalli,,01/01/16,692,5.00,7.00,20.00,430," 3,010.00 "
Kasturiba School,,1.11.2016,200,5.00,3.00,15.00,430," 1,290.00 "
Madhanapalle,,6.11.2016,513,5.00,3.00,15.00,430," 1,290.00 "
Poduru,,1.01.2017,621,5.00,3.00,15.00,430," 1,290.00 "
Kadapalle,,10.02.2017,907,5,5,5,430," 2,150.00 "
Poduchenlu,,04.01.2017,265,5,2,5,430, 860.00 
Beeranakupam,,5.11.2016,135,5.00,1.00,5.00,430, 430.00 
Kadiriobanapalli,,5.11.2016,189,5.00,1.00,5.00,430, 430.00 
Preethi Chamaneru,,26.09.2016,629,5.00,4.00,20.00,430," 1,720.00 "
Tambiganipalle,,5.11.2015,423,5.00,3.00,15.00,430," 1,290.00 "
Chinnakarlagatta,,01.01.2016,265,5.00,3.00,15.00,430," 1,290.00 "
Gadduru,,05.11.2016,413,5.00,2.00,10.00,430, 860.00 
Kenamakulapalli,,20.04.2016,920,5.00,6.00,30.00,430," 2,580.00 "
Kenamakulapalli(scattered houses),,23.09.2016,121,5.00,1.00,5.00,430, 430.00 
Siddavooru and Mallappa indlu,,20.05.2016,164,5.00,2.00,10.00,430, 860.00 
Arimuthanapalle,,26.01.2016,391,5.00,2.00,10.00,430, 860.00 
Boyanapalle,,24.01.2016,1005,5.00,2.00,10.00,430, 860.00 
MSR Colony,,1.02.2016,35,5.00,0.25,1.25,430, 107.50 
High school,,25.02.2017,167,5,1,5,430, 430.00 
Àmmarvarupeta,,01.09.2016,134,5.00,1.00,5.00,430, 430.00 
Bennayanavuru,,15.11.2016,112,5.00,1.00,5.00,430, 430.00 
Chillimanupalli,,24.04.2016,110,5.00,1.00,5.00,430, 430.00 
Jeedimanupalle,,01.09.2016,164,5.00,1.00,5.00,430, 430.00 
Oddumadi,,13.03.2016,180,5.00,2.00,10.00,430, 860.00 
Redlapalle,,25.09.2016,612,5.00,6.00,20.00,430," 2,580.00 "
Kolamadugu,,01.12.2016,474,5.00,4.00,20.00,430," 1,720.00 "
Ktpalli Ramnagar colony,,1.01.2017,130,5.00,1.00,5.00,430, 430.00 
Mulluru,,01.12.2016,818,5.00,3.00,15.00,430," 1,290.00 "
Gollapalli,,3.11.2016,150,5.00,1.00,5.00,430, 430.00 
Mattam,,8.11.2016,348,5.00,3.00,15.00,430," 1,290.00 "
Ponnepalli,,01.03.2016,311,5.00,3.00,15.00,430," 1,290.00 "
Ramanadhapuram,,23.08.2016,150,5.00,1.00,5.00,430, 430.00 
Santhuru,,01.03.2017,837,5.00,4.00,20, 430.00 ,1720
Jalliganipalli,,3.05.2016,240,5.00,3.00,15.00,430," 1,290.00 "
Narasimhepalle,,24.02.2016,263,5.00,2,5.00,430, 860.00 
Nadimpalle,,10.09.2016,1105,5.00,10.00,50.00,430," 4,300.00 "
Nallapareddivuru,,15.02.2017,682,5.00,1,5.00,430, 430.00 
Chinnagandlapalle,,15.02.2017,567,5.00,3,15.00,430," 1,290.00 "
Regadadinnepalli,,01/01/16,469,5.00,3.00,15.00,430," 1,290.00 "
Anchanayani Kuppam,,1.11.2016,245,5.00,1.00,5.00,430, 430.00 
Gollapalle Dinne,,1.11.2016,120,5.00,1.00,5.00,430, 430.00 
Kothagadda,,1.11.2016,283,5.00,2.00,10.00,430, 860.00 
Kothaindlu,,1.11.2016,86,5.00,1.00,5.00,430, 430.00 
Odduvanka,,1.11.2016,269,5.00,1.00,5.00,430, 430.00 
Sivaramapuram,,25.11.2016,523,5.00,2.00,10.00,430, 860.00 
Gatturu,,01.01.2016,856,5.00,4.00,20.00,430," 1,720.00 "
Gundisettipalle,,10.11.2016,892,5.00,2.00,10.00,430, 860.00 
Kuthegani palli,6,15/02/16,265,5.00,2.00,10.00,430, 860.00 
Nayanapalli,,1.11.2016,489,5.00,3.00,15.00,430," 1,290.00 "
Sonneganipalle,,01/01/16,356,5.00,2.00,10.00,430, 860.00 
Model School,,15.11.2016,500,5.00,2.00,10.00,430, 860.00 
Thulasinayanapalli,,01.09.2016,452,5.00,3.00,15.00,430," 1,290.00 "
Thumsi,,01/01/16,502,5.00,8.00,40.00,430," 3,440.00 "
Thumsi road,,23.08.2016,340,5.00,1.00,5.00,430, 430.00 
Buradasiddanapalle,,01.12.2016,98,5.00,1.00,5.00,430, 430.00 
Appinapalli,,01.03.2017,1490,5,2,10,430,860
Kumbarlapalli,,01.03.2017,180,5,2,10,430,860
Deyalagadda,,01.03.2017,59,5,1,5,430,430
Bommarajupalli Bommarajupalli,,05.03.2017,714,5,2,10,430,860
Challapalle,,14.02.2017,276,5.00,2,10.00,430,860
Chadepalle,,14.02.2017,463,5.00,4,20.00,430,1720
Dommaramitta,,07.07.2016,137,5.00,1,5.00,430,430
Nakkanapalli(Nagalakunta),,01.03.2017,100,5.00,0.5,2.50,430,215
Jounipalle,,20.10.2016,1730,5.00,10,50.00,430,4300
Cheruvumundaravuru,,05.03.2017,316,5.00,2,10.00,430,860
C.Ellagaram,,01.07.2016,1426,5.00,10,50.00,430,4300
Divuva Gandharamakulapalli,,01.07.2016,865,5.00,5,25.00,430,2150
Eguva Gandharamakulapalli,,01.07.2016,595,5.00,5,25.00,430,2150
Mahamadpuram,,14.02.2017,352,5.00,3,15.00,430,1290
Mudaramdoddi,,14.02.2017,2044,5.00,3,15.00,430,1290
Suddalakuppam,,14.02.2017,940,5.00,5,25.00,430,2150
Chinthakayalabanda,,14.02.2017,209,5.00,1,5.00,430,430
Nernipalle, 1014266048032100,01.07.2016,1036,5.00,10,50.00,430,4300
Raghavapalle,,15.02.2017,198,5.00,1.5,7.50,430,645
K.C.Palle,1014336015011800,11.01.2016,847,5,6.0,30,430,2580
Y.kurrappalle,1014336015051800,15.04.2016,161,5,1.0,5,430,430
pilligundlapalli,104336006050800,20.04.2016,121,5,1.0,5,430,430
A.Kothuru,1014336006030800,20.04.2016,402,5,2.0,10,430,860
Dasarlapalli,1014336006030800,20.04.2016,346,5,1.0,5,430,430
Mittaembadi,1014336015061800,01.12.16,121,5,1.0,5,430,430
ZPHS SCHOOL,1014336015011800,01.08.2016,500,5,1.0,5,430,430
Gundevaripalle,1014336006030800,02.12.2016,500,5,1.0,5,430,430
D.BOOMPALLE,1014336006030800,2.12.16,500,5,1.0,5,430,430
SC Girls Hostal,1014336006030800,20.02.17,60,5,0.5,2.5,430,215
Paigadda & HW,104336006050800,20.02.17,230,5,1.0,5,430,430
GBH(SW)No.3MPL,Nakkaladinni, 1014435012280800,18.07.2016,116,5,2.00,10,430,860
Govt (SW) Girls Hostel No.1,  near MPDO office, 1014435012280800,18.07.2016,81,5,1.00,5,430,430
Govt (SW) College Girls Hostel,MPL near MLL, 1014435012280800,18.07.2016,186,5,2.00,10,430,860
Govt.Girls High school I & PD compound near MLL Hospital, 1014435012280800,18.07.2016,680,5,2.00,10,430,860
Govt. Girls Elementary school I & PD compound near MLL Hospital, 1014435012280800,18.07.2016,312,5,1,5,430,430
Govt APTWR school (Boys) near MLL hospital, 1014435012280800,18.07.2016,120,5,1,5,430,430
Govt.TW College Boys Hostel, Neerugattupalli(mayabazar), 1014435012280800,01.08.2016,100,5,2,10,430,860
Govt.ST Tribal welfare college boys hostel Neerugattuvaripalli (pathapalli road), 1014435012280800,30.01.2017,90,5,1,5,430,430
APSWSR Junior college Chandra nagar, 1014435012280800,9.02.2017,643,5,3,15,430,1290
Govt.College Boys B.C Hostel Madanapalli, 1014435012280800,01.03.2017,90,5,1,5,430,430
Govt.B.C Boys Hostel Madanapalli, 1014435018261300,01.03.2017,100,5,1,5,430,430
Govt.College BC Girls Hostel Madanapalli, 1014435012280800,01.03.2017,200,5,1,5,430,430
Madhurivaripalli, 1014435012280800,23.01.2017,244,5,2,10,430,860
Malepadu,1014336006030800,20.02.2017,315,5,2,,430,860
Jowkupalli, 1014435018261300,20.02.2017,128,5,0.5,,430,215
Kukatimanugadda, 1014435018261300,20.02.2017,103,5,0.5,,430,215
Bodinayunipalle, 1014337008100900,12.01.2016,456,5,3,15,430,1290
Santhinagar, 1014337008100700,25.04.2016,254,5,2,10,430,860
Siddareddigaripalle, 1014337012061400,12.01.2016,100,5,1,5,430,430
Jowkothur, 1014337013031500,24.09.2016,224,5,1,5,430,430
Nadimigadadesi, 1014337004090500,11.11.2016,236,5,2,10,430,860
Obireddipalle, 1014337012121400,03.02.2017,319,5,2,10,430,860
Akkimvaripalle, 1014337002050200,21.01.2017,244,5,2,10,430,860
Sugalimitta, 1014337004160600,18.05.2016,352,5,2,10,430,860
Vankireddigaripalle, 1014730003240400,06.02.2017,325,5,2,10,430,860
Kuravapalle, 1014740007060900,20.02.2017,407,5,3,15,430,1290
Guvvalagutta ST, 1014339007170602,02.02.2017,64,5,0.5,2.5,430,215
Payalagutta ST, 1014339007010600,02.02.2017,23,5,0.5,2.5,430,215
madigapalli,  1014608006070500  ,21.12.2016,158,5,2,10,430,860
Diguvathanda,  1014608004170300  ,24.01.2017,638,5,3,15,430,1290
Social Welfara Girls Hostal, 1014504011071100,01.01.2017,208,5,2,10,430,860
KTA Gudibanda,  1014608011081000  ,27.02.2017,669,5,3,15,430,1290
Varamreddigaripalli,1014731002060200,23.02.2017,323,5,1,5,430,430
Talapala,1014731002010200,23.02.2017,1585,5,8,40,430,3440
Chavidikadapalli,  1014608006040500 ,16.02.2017,271,5,2,10,430,860
Avulaiahgaripalli,1014731003070300,01.03.2017,371,5,3,15,430,1290
Surayanaik Thnda,1014731003080300,01.03.2017,253,5,2,10,430,860
GODUVARIPALLE, 1014504017081400,28.12.2016,88,5,0.50,2.5,430,215
CHINNAMEKALAPALLE, 1014504017091400,28.12.2016,168,5,1.00,5,430,430
 PEDDAMEKALAPALLE, 1014504017101400,28.12.2016,175,5,1.00,5,430,430
AMALLABANDAKOTA, 1014504017101400,14.01.2017,152,5,1.00,5,430,430
AVULAREDDIPALLI, 1014504017101400,06.01.2017,125,5,1.00,5,430,430
KAPUPALLE, 1014504011071100,15.12.2016,205,5,2.00,10,430,860
BANDAMEDAPALLI,1014504011061100,15.12.2016,365,5,2.00,10,430,860
BOMMAKKAPALLI, 1014504011181100,15.12.2016,472,5,2.00,10,430,860
UYYALAVARIPALLE,1014504003060300,02.02.2017,361,5,2.00,10,430,860
KGBC SCHOOL, PTM,1014504010010900,17.02.2017,180,5,2.00,10,430,860
RAPOORIVANDLA PALLE,1014504007070700,17.02.2017,621,5,4.00,20,430,1720
SAMADLA PALLI,1014504011021100,05.03.2017,439,5,2.00,10,430,860
MALLAVNDLA PALLI,1014504016081300,05.03.2017,159,5,1.00,5,430,430
THURAKAPALE, 1014501009191400,27.02.2017,858,5,3.00,15,430,1290
KATTIREDDYGARIPALLE, 1014501005110500,06.03.2017,175,5,1.00,5,430,430
MATLIVARIPALLE, 1014501002270300,27.02.2017,105,5,1.00,5,430,430
PASALAVANDLAPALLE, 1014501002250300,04.3.2017,138,5,1.00,5,430,430
KALICHERLA, 1014501006010700,04.03.2017,2734,5,2.00,10,430,860
BANDAKINDA THANDA, 1014501003040400,15.12.2016,228,5,2.00,10,430,860
DAMLANAIK THANDA, 1014501003090400,1.1.2017,164,5,1.00,5,430,430
BOYAPALLE, 1014501003050400,1.2.2017,76,5,1.00,5,430,430
MADIGAPALLE, 1014501003080400,1.1.2017,108,5,1.00,5,430,430
MUSALIKUNTA, 1014501003010100,15.02.2017,1218,5,3.00,15,430,1290
MITTAVANDLAPALLE, 1014501006281000,01.01.2017,316,5,2.00,10,430,860
SUGALITHANDA, 1014501006271000,10.2.2017,321,5,1.00,5,430,430
VADDIPALLI, 1014501006241000,05.3.2017,432,5,1.00,5,430,430
PATHURU TURAKAPALLE, 1014501006261000,03.3.2017,1034,5,1.00,5,430,430
PAPEPALLI, 1014501001010100,04.1.2017,567,5,2.00,10,430,860
CHERUVUKINDAPALLI, 1014501002060200,01.03.2017,639,5,2.00,10,430,860
CHINNAKURAVAPALLE, 1014501002030200,04.03.2017,109,5,1.00,5,430,430
SIDDAVARAM & KGVB SCHOOL, 1014501007011100,15.02.2017,215,5,3.00,15,430,1290
CHUNCHUVARIPALLE & Bestha palle,1014503004050300,06.02.2017,393,5,3.0,15,430,1290
Kothapalle, 1014503004070300,13.02.2017,265,5,2.0,10,430,860
Nayunivaripalle, 1014503016101200,01.03.2017,277,5,2.0,10,430,860
T Chowdasamudram, 1014503004010300,04.03.2017,781,5,4.0,20,430,1720
Galetivaripalle, 1014503009020700,06.03.2017,197,5,1.0,5,430,430
Govindhuvaripalle Erragundlapalle ,1014502004070500,10.02.2017,553,5,4.0,20,430,1720
BONASUVARIPALLE,1014502002070300,02.02.2017,228,5,2.0,10,430,860
EV PALLE MADIGAPALLE, 1014502002040300,04.03.2017,225,5,3.0,15,430,1290
MODEL SCHOLL,1014502002060300,01.02.2017,520,5,1.0,5,430,430
JR COLLEGE AND ZPHS,1014502002060300,03.03.2017,500,5,1.0,5,430,430
KAYALAPALLE, 1014502002230200,02.03.2017,268,5,2.0,10,430,860
PULASAMVAIPALLE,1014502002060300,04.03.2017,520,5,1.0,5,430,430
OKKAVARIPALLE, 1014502010041000,04.03.2017,125,5,1.0,5,430,430
Reddivaripalli,1014710002020200,05.03.2017,262,5,2,10,430,860
