FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
31,Polygon,31,31,31,31,31,31,707,7,7,GUNTUR,ATCHAMPET,Atchampet,675,ACHAMPETA,0,0,160,0.00112,1,0.000353,0,0,8,0.092074,0,0
32,Polygon,32,32,32,32,32,32,343,3,43,VISHAKAPATNAM,ATCHUTAPURAM,Atchutapuram,572,ATCHUTAPURAM,14,0.004942,60,0.00042,10,0.00353,1,0.000353,97,0.206149,1,0.000353
33,Polygon,33,33,33,33,33,33,1128,11,28,KADAPA,ATLUR,Atlur,117,ATLUR,1,0.000353,427,0.002989,41,0.014473,11,0.003883,59,0.271749,7,0.002471
34,Polygon,34,34,34,34,34,34,1224,12,24,ANANTAPUR,ATMAKUR1,Atmakur1,69,ATMAKUR,52,0.018356,893,0.006251,145,0.051185,13,0.004589,45,0.397915,11,0.003883
35,Polygon,35,35,35,35,35,35,1311,13,11,KURNOOL,ATMAKUR2,Atmakur2,638,ATMAKUR (KURNOOL),14,0.004942,225,0.001575,116,0.040948,4,0.001412,23,0.484158,14,0.004942
36,Polygon,36,36,36,36,36,36,912,9,12,NELLORE,ATMAKUR4,Atmakur4,625,ATMAKUR (NELLORE),14,0.004942,468,0.003276,7,0.002471,5,0.001765,14,0.061342,3,0.001059
37,Polygon,37,37,37,37,37,37,443,4,43,EAST GODAVARI,ATREYAPURAM,Atreyapuram,513,ATREYAPURAM,0,0,10,0.00007,0,0,0,0,2,0.001852,0,0
38,Polygon,38,38,38,38,38,38,532,5,32,WEST GODAVARI,ATTILI,Attili,441,ATTILI,0,0,0,0,0,0,0,0,0,0,0,0
39,Polygon,39,39,39,39,39,39,634,6,34,KRISHNA,AVANIGADDA,Avanigadda,672,AVANIGADA,0,0,45,0.000315,0,0,0,0,0,0,0,0
40,Polygon,40,40,40,40,40,40,1108,11,8,KADAPA,B.KODUR,B.Kodur,81,B KODUR,0,0,626,0.004382,55,0.019415,1,0.000353,15,0.040218,8,0.002824
41,Polygon,41,41,41,41,41,41,1005,10,5,CHITTOOR,B.KOTHAKOTA,B.Kothakota,122,B KOTHAKOTA,24,0.008472,448,0.003136,38,0.013414,7,0.002471,111,0.497489,9,0.003177
42,Polygon,42,42,42,42,42,42,214,2,14,VIZIANAGARAM,BADANGI,Badangi,537,BADANGI,18,0.006354,685,0.004795,78,0.027534,5,0.001765,21,0.023495,0,0
43,Polygon,43,43,43,43,43,43,1111,11,11,KADAPA,BADVEL,Badvel,103,BADVEL,4,0.001412,392,0.002744,52,0.018356,9,0.003177,40,0.078988,4,0.001412
44,Polygon,44,44,44,44,44,44,1061,10,61,CHITTOOR,BAIREDDIPALLE,Baireddipalle,205,BAIREDDI PALLE,3,0.001059,260,0.00182,38,0.013414,72,0.025416,168,0.594646,44,0.015532
45,Polygon,45,45,45,45,45,45,936,9,36,NELLORE,BALAYAPALLE,Balayapalle,254,BALAYAPALLE,0,0,550,0.00385,16,0.005648,5,0.001765,74,0.658378,22,0.007766
46,Polygon,46,46,46,46,46,46,209,2,9,VIZIANAGARAM,BALIJIPETA,Balijipeta,517,BALAJIPETA,0,0,381,0.002667,2,0.000706,3,0.001059,22,0.028034,0,0
47,Polygon,47,47,47,47,47,47,817,8,17,PRAKASAM,BALLIKURAVA,Ballikurava,249,BALLIKURUVA,15,0.005295,365,0.002555,15,0.005295,6,0.002118,13,0.251404,16,0.005648
48,Polygon,48,48,48,48,48,48,1344,13,44,KURNOOL,BANAGANAPALLE,Banaganapalle,73,BANAGANAPALLE,83,0.029299,156,0.001092,124,0.043772,7,0.002471,31,0.376673,4,0.001412
49,Polygon,49,49,49,49,49,49,1333,13,33,KURNOOL,BANDI ATMAKUR,Bandi Atmakur,37,BANDI ATMAKUR,41,0.014473,54,0.000378,12,0.004236,0,0,20,0.284209,0,0
50,Polygon,50,50,50,50,50,50,1057,10,57,CHITTOOR,BANGARUPALEM,Bangarupalem,209,BANGARUPALEM,56,0.019768,518,0.003626,73,0.025769,19,0.006707,113,0.380615,9,0.003177
51,Polygon,51,51,51,51,51,51,645,6,45,KRISHNA,BANTUMILLI,Bantumilli,414,BANTUMILLI,0,0,31,0.000217,0,0,0,0,0,0,0,0
52,Polygon,52,52,52,52,52,52,757,7,57,GUNTUR,BAPATLA,Bapatla,408,BAPATLA,0,0,385,0.002695,0,0,0,0,9,0.138778,0,0
53,Polygon,53,53,53,53,53,53,626,6,26,KRISHNA,BAPULAPADU,Bapulapadu,670,BAPULAPAD,31,0.010943,248,0.001736,9,0.003177,6,0.002118,59,0.353066,15,0.005295
