FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
131,Polygon,131,131,131,131,131,131,805,8,5,PRAKASAM,DONAKONDA,Donakonda,236,DONAKONDA,32,0.011296,431,0.003017,81,0.028593,48,0.016944,44,0.269162,20,0.00706
132,Polygon,132,132,132,132,132,132,944,9,44,NELLORE,DORAVARISATRAM,Doravarisatram,287,DORAVARISATRAM,0,0,137,0.000959,0,0,6,0.002118,2,0.022356,21,0.007413
133,Polygon,133,133,133,133,133,133,807,8,7,PRAKASAM,DORNALA,Dornala,233,DORNALA,170,0.06001,584,0.004088,82,0.028946,24,0.008472,35,0.812732,12,0.004236
134,Polygon,134,134,134,134,134,134,1341,13,41,KURNOOL,DORNIPADU,Dornipadu,19,DORNIPADU,15,0.005295,30,0.00021,0,0,10,0.00353,0,0,1,0.000353
135,Polygon,135,135,135,135,135,135,728,7,28,GUNTUR,DUGGIRALA,Duggirala,321,DUGGIRALA,0,0,89,0.000623,0,0,0,0,1,0.083833,0,0
136,Polygon,136,136,136,136,136,136,304,3,4,VISHAKAPATNAM,DUMBRIGUDA,Dumbriguda,456,DUMBRIGUDA,81,0.028593,0,0,0,0,0,0,2,0.007095,0,0
137,Polygon,137,137,137,137,137,137,719,7,19,GUNTUR,DURGI,Durgi,295,DURGI,195,0.068835,311,0.002177,11,0.003883,9,0.003177,11,0.651044,0,0
138,Polygon,138,138,138,138,138,138,909,9,9,NELLORE,DUTTALUR,Duttalur,211,DUTTALUR,56,0.019768,305,0.002135,48,0.016944,0,0,42,0.213984,9,0.003177
139,Polygon,139,139,139,139,139,139,1105,11,5,KADAPA,DUVVUR,Duvvur,61,DUVVUR,3,0.001059,271,0.001897,50,0.01765,2,0.000706,7,0.008331,0,0
140,Polygon,140,140,140,140,140,140,512,5,12,WEST GODAVARI,DWARAKA TIRUMALA,Dwaraka Tirumala,385,DWARAKA TIRUMALA,13,0.004589,1451,0.010157,4,0.001412,5,0.001765,103,0.455721,3,0.001059
141,Polygon,141,141,141,141,141,141,737,7,37,GUNTUR,EDLAPADU,Edlapadu,353,EDLAPADU,0,0,269,0.001883,0,0,0,0,7,0.009926,0,0
142,Polygon,142,142,142,142,142,142,523,5,23,WEST GODAVARI,ELURU,Eluru,410,ELURU,0,0,53,0.000371,1,0.000353,0,0,10,0.038528,0,0
143,Polygon,143,143,143,143,143,143,108,1,8,SRIKAKULAM,ETCHERLA,Etcherla,587,ETCHERLA,4,0.001412,207,0.001449,85,0.030005,38,0.013414,209,0.145909,32,0.011296
144,Polygon,144,144,144,144,144,144,313,3,13,VISHAKAPATNAM,G K VEEDHI,G K Veedhi,484,GUDEM KOTHAVEEDHI,90,0.03177,0,0,1,0.000353,0,0,0,0,0,0
145,Polygon,145,145,145,145,145,145,311,3,11,VISHAKAPATNAM,G MADUGULA,G Madugula,488,GANGARAJU MADUGULA,45,0.015885,0,0,0,0,0,0,100,0.109938,0,0
146,Polygon,146,146,146,146,146,146,609,6,9,KRISHNA,G.KONDURU,G.Konduru,317,G KONDURU,98,0.034594,436,0.003052,16,0.005648,6,0.002118,44,0.642664,10,0.00353
147,Polygon,147,147,147,147,147,147,1332,13,32,KURNOOL,GADIVEMULA,Gadivemula,40,GADIVEMULA,31,0.010943,47,0.000329,19,0.006707,0,0,3,0.174264,1,0.000353
148,Polygon,148,148,148,148,148,148,219,2,19,VIZIANAGARAM,GAJAPATHINAGARAM,Gajapathinagaram,552,GAJAPATHINAGARAM,9,0.003177,1892,0.013244,181,0.063893,23,0.008119,154,0.267997,9,0.003177
149,Polygon,149,149,149,149,149,149,330,3,30,VISHAKAPATNAM,GAJUWAKA,Gajuwaka,547,GAJUWAKA,9,0.003177,8,0.000056,0,0,0,0,5,0.004825,0,0
150,Polygon,150,150,150,150,150,150,1150,11,50,KADAPA,GALIVEEDU,Galiveedu,170,GALIVEEDU,8,0.002824,584,0.004088,108,0.038124,87,0.030711,330,0.946753,39,0.013767
151,Polygon,151,151,151,151,151,151,612,6,12,KRISHNA,GAMPALAGUDEM,Gampalagudem,337,GAMPALAGUDEM,11,0.003883,572,0.004004,42,0.014826,15,0.005295,11,0.059818,5,0.001765
152,Polygon,152,152,152,152,152,152,526,5,26,WEST GODAVARI,GANAPAVARAM,Ganapavaram,434,GANAPAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
153,Polygon,153,153,153,153,153,153,427,4,27,EAST GODAVARI,GANDEPALLE,Gandepalle,476,GANDEPALLE,19,0.006707,524,0.003668,14,0.004942,14,0.004942,101,0.213099,0,0
154,Polygon,154,154,154,154,154,154,1243,12,43,ANANTAPUR,GANDLAPENTA,Gandlapenta,135,GANDLAPENTA,40,0.01412,722,0.005054,95,0.033535,21,0.007413,101,0.153443,60,0.02118
155,Polygon,155,155,155,155,155,155,1049,10,49,CHITTOOR,GANGADHARANELLORE,Gangadharanellore,195,GANGADHARA NELLORE,6,0.002118,702,0.004914,64,0.022592,63,0.022239,136,0.399947,19,0.006707
156,Polygon,156,156,156,156,156,156,1059,10,59,CHITTOOR,GANGAVARAM1,Gangavaram1,207,GANGAVARAM,3,0.001059,467,0.003269,32,0.011296,58,0.020474,171,0.544345,23,0.008119
157,Polygon,157,157,157,157,157,157,412,4,12,EAST GODAVARI,GANGAVARAM2,Gangavaram2,631,GANGAVARAM (EAST GODAVARI),192,0.067776,2,0.000014,17,0.006001,2,0.000706,102,0.193852,13,0.004589
158,Polygon,158,158,158,158,158,158,105,1,5,SRIKAKULAM,GANGUVARISIGADAM,Ganguvarisigadam,560,GANGUVARI SINGADAM,1,0.000353,180,0.00126,142,0.050126,4,0.001412,447,0.64839,8,0.002824
159,Polygon,159,159,159,159,159,159,621,6,21,KRISHNA,GANNAVARAM,Gannavaram,366,GANNAVARAM,25,0.008825,214,0.001498,3,0.001059,6,0.002118,33,1.550762,0,0
160,Polygon,160,160,160,160,160,160,229,2,29,VIZIANAGARAM,GANTYADA,Gantyada,588,GANTYADA,3,0.001059,984,0.006888,158,0.055774,36,0.012708,265,0.87281,14,0.004942
161,Polygon,161,161,161,161,161,161,120,1,20,SRIKAKULAM,GARA,Gara,591,GARA,1,0.000353,96,0.000672,32,0.011296,11,0.003883,182,0.308308,3,0.001059
162,Polygon,162,162,162,162,162,162,222,2,22,VIZIANAGARAM,GARIVIDI,Garividi,571,GARIVIDI,13,0.004589,1464,0.010248,325,0.114725,25,0.008825,192,0.648181,12,0.004236
163,Polygon,163,163,163,163,163,163,1213,12,13,ANANTAPUR,GARLADINNE,Garladinne,33,GARLADINNE,20,0.00706,653,0.004571,184,0.064952,14,0.004942,4,0.091685,28,0.009884
164,Polygon,164,164,164,164,164,164,205,2,5,VIZIANAGARAM,GARUGUBILLI,Garugubilli,501,GARUGUBILLI,0,0,560,0.00392,2,0.000706,9,0.003177,53,0.149022,0,0
165,Polygon,165,165,165,165,165,165,631,6,31,KRISHNA,GHANTASALA,Ghantasala,391,GHANTASALA,0,0,27,0.000189,0,0,0,0,0,0,0,0
166,Polygon,166,166,166,166,166,166,836,8,36,PRAKASAM,GIDDALUR,Giddalur,303,GIDDALURU,117,0.041301,856,0.005992,97,0.034241,52,0.018356,41,0.356596,44,0.015532
167,Polygon,167,167,167,167,167,167,417,4,17,EAST GODAVARI,GOKAVARAM,Gokavaram,447,GOKAVARAM,71,0.025063,663,0.004641,20,0.00706,0,0,109,0.025989,2,0.000706
168,Polygon,168,168,168,168,168,168,408,4,8,EAST GODAVARI,GOLLAPROLU,Gollaprolu,422,GOLLAPROLU,0,0,333,0.002331,22,0.007766,0,0,28,0.055538,0,0
169,Polygon,169,169,169,169,169,169,315,3,15,VISHAKAPATNAM,GOLUGONDA,Golugonda,480,GOLUGONDA,12,0.004236,403,0.002821,76,0.026828,21,0.007413,110,0.205914,0,0
170,Polygon,170,170,170,170,170,170,1320,13,20,KURNOOL,GONEGANDLA,Gonegandla,615,GONEGANDLA,40,0.01412,288,0.002016,51,0.018003,3,0.001059,2,0.005063,4,0.001412
171,Polygon,171,171,171,171,171,171,1206,12,6,ANANTAPUR,GOOTY,Gooty,593,GOOTY,13,0.004589,1064,0.007448,200,0.0706,16,0.005648,56,1.101763,27,0.009531
172,Polygon,172,172,172,172,172,172,505,5,5,WEST GODAVARI,GOPALAPURAM,Gopalapuram,374,GOPALAPURAM,22,0.007766,664,0.004648,1,0.000353,10,0.00353,83,0.481867,0,0
173,Polygon,173,173,173,173,173,173,1112,11,12,KADAPA,GOPAVARAM,Gopavaram,100,GOPAVARAM,18,0.006354,473,0.003311,76,0.026828,10,0.00353,16,0.231414,5,0.001765
174,Polygon,174,174,174,174,174,174,1248,12,48,ANANTAPUR,GORANTLA,Gorantla,121,GORANTLA,26,0.009178,978,0.006846,182,0.064246,51,0.018003,202,1.637136,80,0.02824
175,Polygon,175,175,175,175,175,175,1342,13,42,KURNOOL,GOSPADU,Gospadu,79,GOSPADU,2,0.000706,228,0.001596,2,0.000706,1,0.000353,3,0.052818,0,0
176,Polygon,176,176,176,176,176,176,1260,12,60,ANANTAPUR,GUDIBANDA,Gudibanda,147,GUDIBANDA,18,0.006354,806,0.005642,223,0.078719,19,0.006707,74,0.896018,34,0.012002
177,Polygon,177,177,177,177,177,177,1055,10,55,CHITTOOR,GUDIPALA,Gudipala,190,GUDIPALA,15,0.005295,567,0.003969,38,0.013414,42,0.014826,101,0.284778,12,0.004236
178,Polygon,178,178,178,178,178,178,642,6,42,KRISHNA,GUDIVADA,Gudivada,415,GUDIVADA,0,0,1,0.000007,0,0,0,0,0,0,0,0
179,Polygon,179,179,179,179,179,179,643,6,43,KRISHNA,GUDLAVALLERU,Gudlavalleru,418,GUDLAVALLERU,0,0,28,0.000196,0,0,0,0,0,0,0,0
180,Polygon,180,180,180,180,180,180,854,8,54,PRAKASAM,GUDLURU,Gudluru,339,GUDLURU,10,0.00353,636,0.004452,47,0.016591,2,0.000706,46,0.539243,36,0.012708
181,Polygon,181,181,181,181,181,181,1065,10,65,CHITTOOR,GUDUPALLE,Gudupalle,201,GUDI PALLE,15,0.005295,898,0.006286,104,0.036712,103,0.036359,124,0.137838,41,0.014473
182,Polygon,182,182,182,182,182,182,1306,13,6,KURNOOL,GUDUR1,Gudur1,637,GUDUR (KURNOOL),29,0.010237,117,0.000819,50,0.01765,1,0.000353,1,0.02177,2,0.000706
183,Polygon,183,183,183,183,183,183,932,9,32,NELLORE,GUDUR2,Gudur2,262,GUDUR,0,0,306,0.002142,20,0.00706,4,0.001412,17,0.102026,33,0.011649
184,Polygon,184,184,184,184,184,184,638,6,38,KRISHNA,GUDURU,Guduru,630,GUDUR (KRISHNA),0,0,18,0.000126,0,0,0,0,0,0,0,0
185,Polygon,185,185,185,185,185,185,1219,12,19,ANANTAPUR,GUMMAGATTA,Gummagatta,45,GUMMAGATTA,5,0.001765,683,0.004781,104,0.036712,29,0.010237,24,0.272146,13,0.004589
186,Polygon,186,186,186,186,186,186,202,2,2,VIZIANAGARAM,GUMMALAKSHMIPURAM,Gummalakshmipuram,504,GUMMALAKSHMIPURAM,111,0.039183,0,0,122,0.043066,5,0.001765,38,0.409441,9,0.003177
187,Polygon,187,187,187,187,187,187,1205,12,5,ANANTAPUR,GUNTAKAL,Guntakal,596,GUNTAKAL,31,0.010943,738,0.005166,140,0.04942,51,0.018003,26,0.767379,16,0.005648
188,Polygon,188,188,188,188,188,188,726,7,26,GUNTUR,GUNTUR,Guntur,627,GUNTUR MANDAL,3,0.001059,74,0.000518,0,0,0,0,9,0.108554,0,0
189,Polygon,189,189,189,189,189,189,703,7,3,GUNTUR,GURAZALA,Gurazala,277,GURAZALA,2,0.000706,388,0.002716,2,0.000706,0,0,20,0.110777,0,0
190,Polygon,190,190,190,190,190,190,221,2,21,VIZIANAGARAM,GURLA,Gurla,580,GURLA,24,0.008472,1313,0.009191,197,0.069541,69,0.024357,149,0.43439,0,0
191,Polygon,191,191,191,191,191,191,1007,10,7,CHITTOOR,GURRAMKONDA,Gurramkonda,116,GURRAMKONDA,45,0.015885,167,0.001169,85,0.030005,19,0.006707,128,1.129737,32,0.011296
192,Polygon,192,192,192,192,192,192,1354,13,54,KURNOOL,HALAHARVI,Halaharvi,102,HALAHARVI,22,0.007766,219,0.001533,20,0.00706,3,0.001059,3,0.042637,7,0.002471
193,Polygon,193,193,193,193,193,193,832,8,32,PRAKASAM,HANUMANTHUNIPADU,Hanumanthunipadu,291,HANUMANTHUNIPADU,43,0.015179,294,0.002058,69,0.024357,101,0.035653,13,0.082983,50,0.01765
194,Polygon,194,194,194,194,194,194,1257,12,57,ANANTAPUR,HINDUPUR,Hindupur,158,HINDUPUR,6,0.002118,230,0.00161,92,0.032476,40,0.01412,28,0.477876,31,0.010943
195,Polygon,195,195,195,195,195,195,116,1,16,SRIKAKULAM,HIRAMANDALAM,Hiramandalam,592,HIRAMANDALAM,6,0.002118,157,0.001099,126,0.044478,24,0.008472,237,0.31744,3,0.001059
196,Polygon,196,196,196,196,196,196,1324,13,24,KURNOOL,HOLAGUNDA,Holagunda,603,HOLAGUNDA,15,0.005295,158,0.001106,76,0.026828,18,0.006354,13,0.10331,7,0.002471
197,Polygon,197,197,197,197,197,197,303,3,3,VISHAKAPATNAM,HUKUMPETA,Hukumpeta,660,HUKUMPETA,51,0.018003,0,0,0,0,0,0,0,0,0,0
198,Polygon,198,198,198,198,198,198,451,4,51,EAST GODAVARI,I. POLAVARAM,I. Polavaram,548,I POLAVARAM,0,0,20,0.00014,0,0,0,0,0,0,0,0
199,Polygon,199,199,199,199,199,199,608,6,8,KRISHNA,IBRAHIMPATNAM2,Ibrahimpatnam2,315,IBRAHIMPATNAM,27,0.009531,227,0.001589,5,0.001765,3,0.001059,9,0.214609,0,0
200,Polygon,200,200,200,200,200,200,137,1,37,SRIKAKULAM,ICHCHAPURAM,Ichchapuram,64,ICHCHAPURAM,2,0.000706,30,0.00021,61,0.021533,41,0.014473,136,0.289982,10,0.00353
201,Polygon,201,201,201,201,201,201,927,9,27,NELLORE,INDUKURPET,Indukurpet,232,INDUKURPET,0,0,0,0,0,0,0,0,0,0,0,0
202,Polygon,202,202,202,202,202,202,825,8,25,PRAKASAM,INKOLLU,Inkollu,281,INKOLLU,0,0,88,0.000616,1,0.000353,1,0.000353,2,0.019582,1,0.000353
203,Polygon,203,203,203,203,203,203,741,7,41,GUNTUR,IPUR,Ipur,677,IPURU,247,0.087191,168,0.001176,1,0.000353,0,0,10,0.144111,0,0
204,Polygon,204,204,204,204,204,204,531,5,31,WEST GODAVARI,IRAGAVARAM,Iragavaram,444,IRAGAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
205,Polygon,205,205,205,205,205,205,1052,10,52,CHITTOOR,IRALA,Irala,192,IRALA,16,0.005648,232,0.001624,30,0.01059,7,0.002471,69,0.416193,27,0.009531
206,Polygon,206,206,206,206,206,206,418,4,18,EAST GODAVARI,JAGGAMPETA,Jaggampeta,449,JAGGAMPETA,36,0.012708,479,0.003353,29,0.010237,0,0,148,0.159375,13,0.004589
207,Polygon,207,207,207,207,207,207,601,6,1,KRISHNA,JAGGAYYAPETA,Jaggayyapeta,310,JAGGAYYAPETA,63,0.022239,661,0.004627,35,0.012355,4,0.001412,16,0.296698,0,0
208,Polygon,208,208,208,208,208,208,904,9,4,NELLORE,JALADANKI,Jaladanki,216,JALADANKI,27,0.009531,220,0.00154,5,0.001765,1,0.000353,57,0.15475,10,0.00353
209,Polygon,209,209,209,209,209,209,123,1,23,SRIKAKULAM,JALUMURU,Jalumuru,32,JALUMURU,0,0,147,0.001029,69,0.024357,47,0.016591,275,0.281765,7,0.002471
210,Polygon,210,210,210,210,210,210,233,2,33,VIZIANAGARAM,JAMI,Jami,605,JAMI,0,0,530,0.00371,56,0.019768,21,0.007413,79,0.336116,0,0
211,Polygon,211,211,211,211,211,211,1116,11,16,KADAPA,JAMMALAMADUGU,Jammalamadugu,92,JAMMALAMADUGU,4,0.001412,168,0.001176,78,0.027534,5,0.001765,22,0.073238,6,0.002118
212,Polygon,212,212,212,212,212,212,826,8,26,PRAKASAM,JANAKAVARAMPANGULURU,Janakavarampanguluru,678,JANAKAVARAMPANGULU,1,0.000353,473,0.003311,27,0.009531,18,0.006354,14,0.154304,6,0.002118
213,Polygon,213,213,213,213,213,213,507,5,7,WEST GODAVARI,JANGAREDDIGUDEM,Jangareddigudem,369,JANGAREDDIGUDEM,12,0.004236,728,0.005096,8,0.002824,12,0.004236,44,0.416357,16,0.005648
214,Polygon,214,214,214,214,214,214,501,5,1,WEST GODAVARI,JEELUGU MILLI,Jeelugu Milli,360,JEELUGUMILLI,64,0.022592,517,0.003619,33,0.011649,5,0.001765,33,0.19337,24,0.008472
215,Polygon,215,215,215,215,215,215,204,2,4,VIZIANAGARAM,JIYYAMMAVALASA,Jiyyammavalasa,498,JIYYAMMA VALASA,0,0,1,0.000007,60,0.02118,15,0.005295,1,0.000763,3,0.001059
216,Polygon,216,216,216,216,216,216,1315,13,15,KURNOOL,JUPADU BUNGALOW,Jupadu Bungalow,565,JUPADU BUNGALOW,12,0.004236,26,0.000182,61,0.021533,5,0.001765,16,0.255978,1,0.000353
217,Polygon,217,217,217,217,217,217,322,3,22,VISHAKAPATNAM,K KOTAPADU,K Kotapadu,512,K KOTAPADU,56,0.019768,485,0.003395,55,0.019415,27,0.009531,295,0.563276,0,0
218,Polygon,218,218,218,218,218,218,1023,10,23,CHITTOOR,K.V.B.PURAM,K.V.B.Puram,682,K V B PURAM,60,0.02118,639,0.004473,35,0.012355,6,0.002118,174,1.023607,20,0.00706
219,Polygon,219,219,219,219,219,219,1131,11,31,KADAPA,KADAPA,Kadapa,622,CUDDAPAH MANDAL,2,0.000706,13,0.000091,1,0.000353,2,0.000706,10,0.04915,0,0
220,Polygon,220,220,220,220,220,220,431,4,31,EAST GODAVARI,KADIAM,Kadiam,487,KADIAM,0,0,1,0.000007,0,0,0,0,16,0.231856,0,0
221,Polygon,221,221,221,221,221,221,1244,12,44,ANANTAPUR,KADIRI,Kadiri,132,KADIRI,43,0.015179,585,0.004095,55,0.019415,12,0.004236,96,0.374619,23,0.008119
222,Polygon,222,222,222,222,222,222,648,6,48,KRISHNA,KAIKALUR,Kaikalur,427,KAIKALUR,0,0,0,0,0,0,0,0,0,0,0,0
223,Polygon,223,223,223,223,223,223,438,4,38,EAST GODAVARI,KAJULURU,Kajuluru,496,KAJULURU,0,0,5,0.000035,0,0,0,0,0,0,0,0
224,Polygon,224,224,224,224,224,224,424,4,24,EAST GODAVARI,KAKINADA (FULLY URBAN),Kakinada (Fully Urban),664,KAKINADA (URBAN),0,0,26,0.000182,0,0,0,0,0,0,0,0
225,Polygon,225,225,225,225,225,225,423,4,23,EAST GODAVARI,KAKINADA (RURAL),Kakinada (Rural),462,KAKINADA (RURAL),0,0,50,0.00035,0,0,0,0,0,0,0,0
226,Polygon,226,226,226,226,226,226,747,7,47,GUNTUR,KAKUMANU,Kakumanu,375,KAKUMANU,0,0,126,0.000882,0,0,0,0,1,0.003266,0,0
227,Polygon,227,227,227,227,227,227,1008,10,8,CHITTOOR,KALAKADA,Kalakada,114,KALAKADA,45,0.015885,56,0.000392,54,0.019062,47,0.016591,113,0.41667,50,0.01765
228,Polygon,228,228,228,228,228,228,1109,11,9,KADAPA,KALASAPADU,Kalasapadu,80,KALASAPADU,12,0.004236,118,0.000826,67,0.023651,9,0.003177,34,0.213329,22,0.007766
229,Polygon,229,229,229,229,229,229,649,6,49,KRISHNA,KALIDINDI,Kalidindi,430,KALIDINDI,0,0,0,0,0,0,0,0,0,0,0,0
230,Polygon,230,230,230,230,230,230,907,9,7,NELLORE,KALIGIRI,Kaligiri,212,KALIGIRI,2,0.000706,403,0.002821,60,0.02118,6,0.002118,3,0.032472,21,0.007413
231,Polygon,231,231,231,231,231,231,1032,10,32,CHITTOOR,KALIKIRI,Kalikiri,167,KALIKIRI,2,0.000706,85,0.000595,65,0.022945,64,0.022592,141,2.815629,41,0.014473
232,Polygon,232,232,232,232,232,232,535,5,35,WEST GODAVARI,KALLA,Kalla,439,KALLA,0,0,0,0,0,0,0,0,0,0,0,0
233,Polygon,233,233,233,233,233,233,1318,13,18,KURNOOL,KALLUR2,Kallur2,586,KALLUR,63,0.022239,214,0.001498,160,0.05648,15,0.005295,9,0.073317,4,0.001412
234,Polygon,234,234,234,234,234,234,922,9,22,NELLORE,KALUVOYA,Kaluvoya,244,KALUVOYA,77,0.027181,442,0.003094,10,0.00353,0,0,29,0.049495,9,0.003177
235,Polygon,235,235,235,235,235,235,1223,12,23,ANANTAPUR,KALYANDURG,Kalyandurg,656,KALYANDURG,95,0.033535,1265,0.008855,213,0.075189,41,0.014473,13,0.238243,100,0.0353
236,Polygon,236,236,236,236,236,236,1125,11,25,KADAPA,KAMALAPURAM,Kamalapuram,125,KAMALAPURAM,5,0.001765,737,0.005159,58,0.020474,9,0.003177,2,0.005837,6,0.002118
237,Polygon,237,237,237,237,237,237,511,5,11,WEST GODAVARI,KAMAVARAPUKOTA,Kamavarapukota,393,KAMAVARAPUKOTA,20,0.00706,711,0.004977,21,0.007413,1,0.000353,7,0.073315,2,0.000706
238,Polygon,238,238,238,238,238,238,1234,12,34,ANANTAPUR,KAMBADUR,Kambadur,99,KAMBADUR,106,0.037418,1094,0.007658,109,0.038477,12,0.004236,102,0.66388,61,0.021533
239,Polygon,239,239,239,239,239,239,1009,10,9,CHITTOOR,KAMBHAMVARIPALLE,Kambhamvaripalle,136,KAMBHAMVARIPALLE,24,0.008472,126,0.000882,102,0.036006,44,0.015532,81,0.199294,45,0.015885
240,Polygon,240,240,240,240,240,240,1233,12,33,ANANTAPUR,KANAGANAPALLE,Kanaganapalle,101,KANAGANAPALLE,157,0.055421,1359,0.009513,172,0.060716,20,0.00706,17,0.287919,61,0.021533
241,Polygon,241,241,241,241,241,241,606,6,6,KRISHNA,KANCHIKACHERLA,Kanchikacherla,318,KANCHIKA CHERLA,10,0.00353,174,0.001218,14,0.004942,3,0.001059,3,0.106327,2,0.000706
242,Polygon,242,242,242,242,242,242,135,1,35,SRIKAKULAM,KANCHILI,Kanchili,71,KANCHILI,13,0.004589,108,0.000756,191,0.067423,32,0.011296,282,0.460161,3,0.001059
243,Polygon,243,243,243,243,243,243,850,8,50,PRAKASAM,KANDUKUR1,Kandukur1,344,KANDUKUR,17,0.006001,290,0.00203,17,0.006001,44,0.015532,7,0.099535,9,0.003177
244,Polygon,244,244,244,244,244,244,1217,12,17,ANANTAPUR,KANEKAL,Kanekal,23,KANEKAL,5,0.001765,525,0.003675,103,0.036359,115,0.040595,50,0.424231,26,0.009178
245,Polygon,245,245,245,245,245,245,831,8,31,PRAKASAM,KANIGIRI,Kanigiri,289,KANIGIRI,92,0.032476,224,0.001568,95,0.033535,96,0.033888,39,0.681774,49,0.017297
246,Polygon,246,246,246,246,246,246,620,6,20,KRISHNA,KANKIPADU,Kankipadu,669,KANKIPADU,0,0,39,0.000273,0,0,0,0,0,0,0,0
247,Polygon,247,247,247,247,247,247,441,4,41,EAST GODAVARI,KAPILESWARAPURAM,Kapileswarapuram,516,KAPILESWARAPURAM,0,0,0,0,0,0,0,0,0,0,0,0
248,Polygon,248,248,248,248,248,248,822,8,22,PRAKASAM,KARAMCHEDU,Karamchedu,284,KARAMCHEDU,0,0,30,0.00021,4,0.001412,0,0,0,0,0,0
249,Polygon,249,249,249,249,249,249,436,4,36,EAST GODAVARI,KARAPA,Karapa,481,KARAPA,0,0,36,0.000252,0,0,0,0,2,0.004663,0,0
250,Polygon,250,250,250,250,250,250,718,7,18,GUNTUR,KAREMPUDI,Karempudi,293,KAREMPUDI,72,0.025416,294,0.002058,2,0.000706,0,0,3,0.011792,0,0
251,Polygon,251,251,251,251,251,251,756,7,56,GUNTUR,KARLAPALEM,Karlapalem,405,KARLAPALEM,0,0,385,0.002695,0,0,0,0,0,0,0,0
252,Polygon,252,252,252,252,252,252,1046,10,46,CHITTOOR,KARVETINAGAR,Karvetinagar,198,KARVETINAGAR,16,0.005648,1341,0.009387,103,0.036359,27,0.009531,119,0.764066,75,0.026475
253,Polygon,253,253,253,253,253,253,335,3,35,VISHAKAPATNAM,KASIMKOTA,Kasimkota,538,KASIMKOTA,20,0.00706,616,0.004312,36,0.012708,14,0.004942,135,0.183423,3,0.001059
254,Polygon,254,254,254,254,254,254,452,4,52,EAST GODAVARI,KATRENIKONA,Katrenikona,551,KATRENIKONA,0,0,3,0.000021,0,0,0,0,0,0,0,0
255,Polygon,255,255,255,255,255,255,905,9,5,NELLORE,KAVALI,Kavali,214,KAVALI,30,0.01059,113,0.000791,11,0.003883,1,0.000353,94,0.529117,5,0.001765
256,Polygon,256,256,256,256,256,256,136,1,36,SRIKAKULAM,KAVITI,Kaviti,60,KAVITI,0,0,38,0.000266,184,0.064952,34,0.012002,101,0.13516,7,0.002471
257,Polygon,257,257,257,257,257,257,1113,11,13,KADAPA,KHAJIPET,Khajipet,98,KHAJIPET,1,0.000353,487,0.003409,39,0.013767,5,0.001765,0,0,2,0.000706
258,Polygon,258,258,258,258,258,258,419,4,19,EAST GODAVARI,KIRLAMPUDI,Kirlampudi,446,KIRLAMPUDI,0,0,45,0.000315,0,0,0,0,24,0.790538,0,0
259,Polygon,259,259,259,259,259,259,917,9,17,NELLORE,KODAVALUR,Kodavalur,221,KODAVALUR,0,0,0,0,0,0,0,0,10,0.036743,1,0.000353
260,Polygon,260,260,260,260,260,260,1319,13,19,KURNOOL,KODUMUR,Kodumur,584,KODUMUR,47,0.016591,22,0.000154,131,0.046243,3,0.001059,4,0.026001,1,0.000353
261,Polygon,261,261,261,261,261,261,1143,11,43,KADAPA,KODUR,Kodur,138,KODUR,4,0.001412,359,0.002513,93,0.032829,6,0.002118,24,0.219316,7,0.002471
262,Polygon,262,262,262,262,262,262,636,6,36,KRISHNA,KODURU,Koduru,407,KODURU,0,0,154,0.001078,0,0,0,0,0,0,0,0
263,Polygon,263,263,263,263,263,263,1343,13,43,KURNOOL,KOILKUNTLA,Koilkuntla,76,KOILKUNTLA,68,0.024004,64,0.000448,42,0.014826,0,0,0,0,9,0.003177
264,Polygon,264,264,264,264,264,264,1346,13,46,KURNOOL,KOLIMIGUNDLA,Kolimigundla,66,KOLIMIGUNDLA,67,0.023651,74,0.000518,28,0.009884,17,0.006001,48,0.392535,17,0.006001
265,Polygon,265,265,265,265,265,265,729,7,29,GUNTUR,KOLLIPARA,Kollipara,316,KOLLIPARA,0,0,158,0.001106,0,0,0,0,0,0,0,0
266,Polygon,266,266,266,266,266,266,730,7,30,GUNTUR,KOLLUR,Kollur,340,KOLLUR,0,0,267,0.001869,0,0,0,0,0,0,0,0
267,Polygon,267,267,267,267,267,267,201,2,1,VIZIANAGARAM,KOMARADA,Komarada,511,KOMARADA,37,0.013061,5,0.000035,51,0.018003,19,0.006707,38,0.085399,3,0.001059
268,Polygon,268,268,268,268,268,268,837,8,37,PRAKASAM,KOMAROLU,Komarolu,297,KOMAROLU,20,0.00706,417,0.002919,90,0.03177,42,0.014826,30,0.101085,27,0.009531
269,Polygon,269,269,269,269,269,269,811,8,11,PRAKASAM,KONAKANAMITLA,Konakanamitla,261,KONAKANAMITLA,62,0.021886,536,0.003752,179,0.063187,35,0.012355,37,0.275195,42,0.014826
270,Polygon,270,270,270,270,270,270,842,8,42,PRAKASAM,KONDAPI,Kondapi,309,KONDAPI,24,0.008472,291,0.002037,43,0.015179,34,0.012002,21,0.113309,76,0.026828
