Krishna,BAPULAPAD,31,0.010943,248,0.001736,9,0.003177,6,0.002118,59,0.353066,15,0.005295
Anantapur,BATHALAPALLE,15,0.005295,1026,0.007182,115,0.040595,18,0.006354,68,0.815377,33,0.011649
Guntur,BELLAMKONDA,0,0,212,0.001484,1,0.000353,0,0,4,0.052174,0,0
Anantapur,BELUGUPPA,14,0.004942,764,0.005348,148,0.052244,32,0.011296,38,0.165734,25,0.008825
Prakasam,BESTAVARIPETA,46,0.016238,426,0.002982,161,0.056833,87,0.030711,29,0.33941,40,0.01412
Kurnool,BETHAMCHERLA,61,0.021533,146,0.001022,133,0.046949,34,0.012002,2,0.031445,11,0.003883
East Godavari,NELLIPAKA,0,0,0,0,0,0,0,0,48,0.085757,0,0
Srikakulam,BHAMINI,14,0.004942,146,0.001022,114,0.040242,20,0.00706,256,0.57502,4,0.001412
Guntur,BHATTIPROLU,0,0,219,0.001533,0,0,0,0,0,0,0,0
Visakhapatnam,BHEEMUNIPATNAM,12,0.004236,81,0.000567,27,0.009531,7,0.002471,38,0.112818,0,0
West Godavari,BHIMADOLE,0,0,659,0.004613,4,0.001412,0,0,36,0.244954,0,0
West Godavari,BHEEMAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
Vizianagaram,BHOGHAPURAM,0,0,539,0.003773,66,0.023298,9,0.003177,83,0.147038,1,0.000353
East Godavari,BICCAVOLU,0,0,29,0.000203,0,0,0,0,25,1.022748,0,0
Vizianagaram,BOBBILI,0,0,1781,0.012467,62,0.021886,33,0.011649,17,0.046052,16,0.005648
Nellore,BOGOLE,0,0,91,0.000637,2,0.000706,0,0,78,0.154526,0,0
Guntur,BOLLAPALLE,639,0.225567,41,0.000287,29,0.010237,4,0.001412,19,0.242788,1,0.000353
Anantapur,BOMMANAHAL,1,0.000353,802,0.005614,30,0.01059,18,0.006354,5,0.077218,44,0.015532
Vizianagaram,BONDAPALLE,13,0.004589,2256,0.015792,165,0.058245,20,0.00706,443,1.323779,10,0.00353
Kadapa,BRAHMAMGARIMATTAM,32,0.011296,505,0.003535,112,0.039536,7,0.002471,2,0.00632,10,0.00353
Anantapur,BRAHMASAMUDRAM,99,0.034947,769,0.005383,132,0.046596,4,0.001412,78,0.520167,7,0.002471
Chittoor,BUCHINAIDU KHANDRI,22,0.007766,454,0.003178,24,0.008472,51,0.018003,141,0.722228,20,0.00706
Nellore,BUCCHIREDDIPALEM,0,0,31,0.000217,0,0,0,0,2,0.023353,0,0
Anantapur,BUKKAPATNAM,17,0.006001,475,0.003325,104,0.036712,11,0.003883,170,1.059856,24,0.008472
Anantapur,BUKKARAYASAMUDRAM,24,0.008472,501,0.003507,143,0.050479,41,0.014473,15,0.578425,9,0.003177
Srikakulam,BURJA,0,0,118,0.000826,236,0.083308,43,0.015179,484,0.635511,18,0.006354
Visakhapatnam,BUTCHAYYAPETA,57,0.020121,577,0.004039,42,0.014826,5,0.001765,123,0.34017,0,0
West Godavari,BUTTAYAGUDEM,146,0.051538,62,0.000434,94,0.033182,38,0.013414,75,0.376153,16,0.005648
Kurnool,C BELAGAL,21,0.007413,110,0.00077,199,0.070247,10,0.00353,0,0,4,0.001412
Kurnool,CHAGALAMARRI,37,0.013061,339,0.002373,67,0.023651,3,0.001059,6,0.137644,3,0.001059
West Godavari,CHAGALLU,0,0,0,0,0,0,0,0,0,0,0,0
Kadapa,CHAKNAYAPET,4,0.001412,165,0.001155,147,0.051891,65,0.022945,57,0.213132,43,0.015179
Krishna,CHALLAPALLE,0,0,16,0.000112,0,0,0,0,0,0,0,0
Krishna,CHANDARLAPADU,37,0.013061,185,0.001295,34,0.012002,10,0.00353,6,0.092449,4,0.001412
Chittoor,CHANDRAGIRI,36,0.012708,727,0.005089,43,0.015179,6,0.002118,9,0.028056,20,0.00706
Prakasam,CHADRASEKARAPURAM,53,0.018709,414,0.002898,91,0.032123,102,0.036006,45,0.246228,69,0.024357
Kadapa,CHAPAD,1,0.000353,206,0.001442,16,0.005648,0,0,0,0,0,0
Krishna,CHATRAI,3,0.001059,320,0.00224,29,0.010237,25,0.008825,110,2.10003,4,0.001412
Guntur,CHEBROLE,0,0,398,0.002786,0,0,0,0,0,0,0,0
Visakhapatnam,CHEEDIKADA,13,0.004589,250,0.00175,13,0.004589,3,0.001059,180,0.493193,3,0.001059
Vizianagaram,CHEEPURUPALLE,0,0,1451,0.010157,400,0.1412,6,0.002118,136,0.277941,11,0.003883
Nellore,CHEJERLA,0,0,219,0.001533,0,0,1,0.000353,36,0.074254,8,0.002824
Anantapur,CHENNE KOTHAPALLE,115,0.040595,1208,0.008456,113,0.039889,19,0.006707,50,0.718206,26,0.009178
Kadapa,CHENNUR,2,0.000706,10,0.00007,10,0.00353,2,0.000706,16,0.07847,2,0.000706
Guntur,CHERUKUPALLE,0,0,631,0.004417,0,0,0,0,0,0,0,0
Guntur,CHILAKALURIPET,0,0,607,0.004249,1,0.000353,2,0.000706,1,0.003309,0,0
Anantapur,CHILAMATHUR,32,0.011296,813,0.005691,157,0.055421,61,0.021533,93,0.906716,138,0.048714
Nellore,CHILLAKUR,0,0,130,0.00091,5,0.001765,0,0,6,0.009526,3,0.001059
Prakasam,CHIMAKURTHI,0,0,522,0.003654,52,0.018356,3,0.001059,22,0.3063,5,0.001765
Prakasam,CHINAGANJAM,0,0,59,0.000413,6,0.002118,1,0.000353,2,0.028366,0,0
Chittoor,CHINNAGOTTIGALLU,14,0.004942,216,0.001512,59,0.020827,64,0.022592,241,0.198145,40,0.01412
Kadapa,CHINNAMANDEM,4,0.001412,238,0.001666,184,0.064952,56,0.019768,164,0.20725,74,0.026122
West Godavari,CHINTALAPUDI,81,0.028593,424,0.002968,40,0.01412,5,0.001765,110,0.770226,0,0
Visakhapatnam,CHINTAPALLE,97,0.034241,0,0,4,0.001412,0,0,44,0.112475,0,0
Kadapa,CHINTHA KOMMADINNE,18,0.006354,284,0.001988,33,0.011649,9,0.003177,27,0.076034,2,0.000706
East Godavari,CHINTUR,0,0,74,0.000518,0,0,0,0,41,0.04016,1,0.000353
Kurnool,CHIPPAGIRI,20,0.00706,148,0.001036,37,0.013061,41,0.014473,1,0.054353,1,0.000353
Prakasam,CHIRALA,0,0,17,0.000119,0,0,0,0,1,0.054223,0,0
Nellore,CHITTAMUR,0,0,26,0.000182,0,0,1,0.000353,5,0.006555,64,0.022592
Chittoor,CHITTOOR MANDAL,12,0.004236,586,0.004102,55,0.019415,9,0.003177,94,0.250819,23,0.008119
Kadapa,CHITVEL,3,0.001059,329,0.002303,107,0.037771,4,0.001412,38,0.716249,28,0.009884
Visakhapatnam,CHODAVARAM,21,0.007413,338,0.002366,19,0.006707,2,0.000706,82,0.257314,1,0.000353
Chittoor,CHOWDEPALLE,5,0.001765,584,0.004088,69,0.024357,78,0.027534,264,0.916593,40,0.01412
Prakasam,CUMBUM,7,0.002471,298,0.002086,47,0.016591,30,0.01059,10,0.08899,11,0.003883
Anantapur,D HIRCHAL,28,0.009884,552,0.003864,176,0.062128,8,0.002824,25,0.232932,11,0.003883
Guntur,DACHEPALLE,0,0,221,0.001547,0,0,0,0,4,0.017604,0,0
Nellore,DAGADARTHI,0,0,121,0.000847,12,0.004236,3,0.001059,45,0.099914,11,0.003883
Nellore,DAKKILI,31,0.010943,316,0.002212,16,0.005648,0,0,1,0.001446,17,0.006001
Prakasam,DARSI,45,0.015885,248,0.001736,102,0.036006,44,0.015532,72,0.217041,16,0.005648
Vizianagaram,DATTIRAJERU,15,0.005295,2063,0.014441,175,0.061775,13,0.004589,339,0.845618,7,0.002471
West Godavari,DENDULURU,0,0,280,0.00196,0,0,0,0,58,0.773528,0,0
Vizianagaram,DENKADA,0,0,573,0.004011,190,0.06707,41,0.014473,146,0.616506,8,0.002824
Kurnool,DEVANAKONDA,62,0.021886,48,0.000336,403,0.142259,94,0.033182,23,0.225075,44,0.015532
Visakhapatnam,DEVARAPALLE (VISAKHAPATNAM),21,0.007413,170,0.00119,1,0.000353,8,0.002824,90,0.264006,6,0.002118
West Godavari,DEVARAPALLE,5,0.001765,268,0.001876,4,0.001412,0,0,29,0.38688,0,0
East Godavari,DEVIPATNAM,39,0.013767,3,0.000021,44,0.015532,8,0.002824,100,0.09809,0,0
Anantapur,DHARMAVARAM,58,0.020474,1072,0.007504,163,0.057539,18,0.006354,88,0.844087,41,0.014473
Kurnool,DHONE,61,0.021533,589,0.004123,211,0.074483,25,0.008825,16,0.190676,13,0.004589
Prakasam,DONAKONDA,32,0.011296,431,0.003017,81,0.028593,48,0.016944,44,0.269162,20,0.00706
Nellore,DORAVARISATRAM,0,0,137,0.000959,0,0,6,0.002118,2,0.022356,21,0.007413
Prakasam,DORNALA,170,0.06001,584,0.004088,82,0.028946,24,0.008472,35,0.812732,12,0.004236
Kurnool,DORNIPADU,15,0.005295,30,0.00021,0,0,10,0.00353,0,0,1,0.000353
Guntur,DUGGIRALA,0,0,89,0.000623,0,0,0,0,1,0.083833,0,0
Visakhapatnam,DUMBRIGUDA,81,0.028593,0,0,0,0,0,0,2,0.007095,0,0
Guntur,DURGI,195,0.068835,311,0.002177,11,0.003883,9,0.003177,11,0.651044,0,0
Nellore,DUTTALUR,56,0.019768,305,0.002135,48,0.016944,0,0,42,0.213984,9,0.003177
Kadapa,DUVVUR,3,0.001059,271,0.001897,50,0.01765,2,0.000706,7,0.008331,0,0
West Godavari,DWARAKA TIRUMALA,13,0.004589,1451,0.010157,4,0.001412,5,0.001765,103,0.455721,3,0.001059
Guntur,EDLAPADU,0,0,269,0.001883,0,0,0,0,7,0.009926,0,0
