dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
1005,10,5,Chittoor,B.KOTHAKOTA,B.Kothakota,122,B KOTHAKOTA,24,0.008472,448,0.003136,38,0.013414,7,0.002471,111,0.497489,9,0.003177
214,2,14,Vizianagaram,BADANGI,Badangi,537,BADANGI,18,0.006354,685,0.004795,78,0.027534,5,0.001765,21,0.023495,0,0
1111,11,11,Kadapa,BADVEL,Badvel,103,BADVEL,4,0.001412,392,0.002744,52,0.018356,9,0.003177,40,0.078988,4,0.001412
1061,10,61,Chittoor,BAIREDDIPALLE,Baireddipalle,205,BAIREDDI PALLE,3,0.001059,260,0.00182,38,0.013414,72,0.025416,168,0.594646,44,0.015532
936,9,36,Nellore,BALAYAPALLE,Balayapalle,254,BALAYAPALLE,0,0,550,0.00385,16,0.005648,5,0.001765,74,0.658378,22,0.007766
209,2,9,Vizianagaram,BALIJIPETA,Balijipeta,517,BALAJIPETA,0,0,381,0.002667,2,0.000706,3,0.001059,22,0.028034,0,0
817,8,17,Prakasam,BALLIKURAVA,Ballikurava,249,BALLIKURUVA,15,0.005295,365,0.002555,15,0.005295,6,0.002118,13,0.251404,16,0.005648
1344,13,44,Kurnool,BANAGANAPALLE,Banaganapalle,73,BANAGANAPALLE,83,0.029299,156,0.001092,124,0.043772,7,0.002471,31,0.376673,4,0.001412
1333,13,33,Kurnool,BANDI ATMAKUR,Bandi Atmakur,37,BANDI ATMAKUR,41,0.014473,54,0.000378,12,0.004236,0,0,20,0.284209,0,0
1057,10,57,Chittoor,BANGARUPALEM,Bangarupalem,209,BANGARUPALEM,56,0.019768,518,0.003626,73,0.025769,19,0.006707,113,0.380615,9,0.003177
645,6,45,Krishna,BANTUMILLI,Bantumilli,414,BANTUMILLI,0,0,31,0.000217,0,0,0,0,0,0,0,0
757,7,57,Guntur,BAPATLA,Bapatla,408,BAPATLA,0,0,385,0.002695,0,0,0,0,9,0.138778,0,0
626,6,26,Krishna,BAPULAPADU,Bapulapadu,670,BAPULAPAD,31,0.010943,248,0.001736,9,0.003177,6,0.002118,59,0.353066,15,0.005295
1231,12,31,Anantapur,BATHALAPALLE,Bathalapalle,49,BATHALAPALLE,15,0.005295,1026,0.007182,115,0.040595,18,0.006354,68,0.815377,33,0.011649
706,7,6,Guntur,BELLAMKONDA,Bellamkonda,275,BELLAMKONDA,0,0,212,0.001484,1,0.000353,0,0,4,0.052174,0,0
1216,12,16,Anantapur,BELUGUPPA,Beluguppa,25,BELUGUPPA,14,0.004942,764,0.005348,148,0.052244,32,0.011296,38,0.165734,25,0.008825
833,8,33,Prakasam,BESTAWARIPETA,Bestawaripeta,305,BESTAVARIPETA,46,0.016238,426,0.002982,161,0.056833,87,0.030711,29,0.33941,40,0.01412
1330,13,30,Kurnool,BETHAMCHERLA,Bethamcherla,590,BETHAMCHERLA,61,0.021533,146,0.001022,133,0.046949,34,0.012002,2,0.031445,11,0.003883
461,4,61,East Godavari,NELLIPAKA,Nellipaka,525,NELLIPAKA,0,0,0,0,0,0,0,0,48,0.085757,0,0
114,1,14,Srikakulam,BHAMINI,Bhamini,598,BHAMINI,14,0.004942,146,0.001022,114,0.040242,20,0.00706,256,0.57502,4,0.001412
751,7,51,Guntur,BHATTIPROLU,Bhattiprolu,397,BHATTIPROLU,0,0,219,0.001533,0,0,0,0,0,0,0,0
327,3,27,Visakhapatnam,BHEEMUNIPATNAM,Bheemunipatnam,519,BHEEMUNIPATNAM,12,0.004236,81,0.000567,27,0.009531,7,0.002471,38,0.112818,0,0
520,5,20,West Godavari,BHIMADOLE,Bhimadole,420,BHIMADOLE,0,0,659,0.004613,4,0.001412,0,0,36,0.244954,0,0
536,5,36,West Godavari,BHIMAVARAM,Bhimavaram,452,BHEEMAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
226,2,26,Vizianagaram,BHOGAPURAM,Bhogapuram,561,BHOGHAPURAM,0,0,539,0.003773,66,0.023298,9,0.003177,83,0.147038,1,0.000353
434,4,34,East Godavari,BICCAVOLU,Biccavolu,485,BICCAVOLU,0,0,29,0.000203,0,0,0,0,25,1.022748,0,0
210,2,10,Vizianagaram,BOBBILI,Bobbili,549,BOBBILI,0,0,1781,0.012467,62,0.021886,33,0.011649,17,0.046052,16,0.005648
906,9,6,Nellore,BOGOLE,Bogole,215,BOGOLE,0,0,91,0.000637,2,0.000706,0,0,78,0.154526,0,0
721,7,21,Guntur,BOLLAPALLE,Bollapalle,308,BOLLAPALLE,639,0.225567,41,0.000287,29,0.010237,4,0.001412,19,0.242788,1,0.000353
1202,12,2,Anantapur,BOMMANAHAL,Bommanahal,606,BOMMANAHAL,1,0.000353,802,0.005614,30,0.01059,18,0.006354,5,0.077218,44,0.015532
220,2,20,Vizianagaram,BONDAPALLE,Bondapalle,577,BONDAPALLE,13,0.004589,2256,0.015792,165,0.058245,20,0.00706,443,1.323779,10,0.00353
1107,11,7,Kadapa,BRAHMAMGARIMATTAM,Brahmamgarimattam,54,BRAHMAMGARIMATTAM,32,0.011296,505,0.003535,112,0.039536,7,0.002471,2,0.00632,10,0.00353
1220,12,20,Anantapur,BRAHMASAMUDRAM,Brahmasamudram,18,BRAHMASAMUDRAM,99,0.034947,769,0.005383,132,0.046596,4,0.001412,78,0.520167,7,0.002471
1016,10,16,Chittoor,BUCHINAIDU  KANDRIGA,Buchinaidu  Kandriga,683,BUCHINAIDU KHANDRI,22,0.007766,454,0.003178,24,0.008472,51,0.018003,141,0.722228,20,0.00706
918,9,18,Nellore,BUCHIREDDIPALEM,Buchireddipalem,679,BUCCHIREDDIPALEM,0,0,31,0.000217,0,0,0,0,2,0.023353,0,0
1250,12,50,Anantapur,BUKKAPATNAM,Bukkapatnam,113,BUKKAPATNAM,17,0.006001,475,0.003325,104,0.036712,11,0.003883,170,1.059856,24,0.008472
1226,12,26,Anantapur,BUKKARAYA  SAMUDRAM,Bukkaraya  Samudram,62,BUKKARAYASAMUDRAM,24,0.008472,501,0.003507,143,0.050479,41,0.014473,15,0.578425,9,0.003177
111,1,11,Srikakulam,BURJA,Burja,613,BURJA,0,0,118,0.000826,236,0.083308,43,0.015179,484,0.635511,18,0.006354
320,3,20,Visakhapatnam,BUTCHAYYAPETA,Butchayyapeta,515,BUTCHAYYAPETA,57,0.020121,577,0.004039,42,0.014826,5,0.001765,123,0.34017,0,0
502,5,2,West Godavari,BUTTAYAGUDEM,Buttayagudem,363,BUTTAYAGUDEM,146,0.051538,62,0.000434,94,0.033182,38,0.013414,75,0.376153,16,0.005648
1305,13,5,Kurnool,C.BELAGAL,C.Belagal,657,C BELAGAL,21,0.007413,110,0.00077,199,0.070247,10,0.00353,0,0,4,0.001412
1339,13,39,Kurnool,CHAGALAMARRI,Chagalamarri,47,CHAGALAMARRI,37,0.013061,339,0.002373,67,0.023651,3,0.001059,6,0.137644,3,0.001059
515,5,15,West Godavari,CHAGALLU,Chagallu,406,CHAGALLU,0,0,0,0,0,0,0,0,0,0,0,0
1135,11,35,Kadapa,CHAKRAYAPET,Chakrayapet,648,CHAKNAYAPET,4,0.001412,165,0.001155,147,0.051891,65,0.022945,57,0.213132,43,0.015179
632,6,32,Krishna,CHALLAPALLE,Challapalle,671,CHALLAPALLE,0,0,16,0.000112,0,0,0,0,0,0,0,0
605,6,5,Krishna,CHANDARLAPADU,Chandarlapadu,326,CHANDARLAPADU,37,0.013061,185,0.001295,34,0.012002,10,0.00353,6,0.092449,4,0.001412
1028,10,28,Chittoor,CHANDRAGIRI,Chandragiri,172,CHANDRAGIRI,36,0.012708,727,0.005089,43,0.015179,6,0.002118,9,0.028056,20,0.00706
